layer,train_dataset,lr_train_acc,lr_explicit_test_acc,lr_implicit_acc,lr_red_team_acc,wlr_train_acc,wlr_explicit_test_acc,wlr_implicit_acc,wlr_red_team_acc,mm_train_acc,mm_explicit_test_acc,mm_implicit_acc,mm_red_team_acc,mm_direction_norm,wmm_train_acc,wmm_explicit_test_acc,wmm_implicit_acc,wmm_red_team_acc,wmm_probe_direction_norm,whitener_reg,whitener_cov_reg_condition_number
0,expanded_explicit_only,1.0,0.995,0.73,0.8789473684210526,1.0,0.97,0.6316666666666667,0.5842105263157895,0.91375,0.915,0.6733333333333333,0.868421052631579,6.4992828369140625,1.0,0.985,0.6316666666666667,0.5578947368421052,1.9716293811798096,0.01,7526.557413180817
1,expanded_explicit_only,1.0,0.99,0.725,0.8947368421052632,1.0,0.95,0.6516666666666666,0.5473684210526316,0.89,0.865,0.5233333333333333,0.7631578947368421,7.131767272949219,1.0,0.98,0.6716666666666666,0.5368421052631579,1.9731884002685547,0.01,6993.552095581997
2,expanded_explicit_only,1.0,0.995,0.73,0.9,1.0,0.965,0.6116666666666667,0.5263157894736842,0.8925,0.885,0.5483333333333333,0.7736842105263158,8.047040939331055,1.0,0.975,0.6683333333333333,0.531578947368421,1.975103497505188,0.01,6778.586860555306
3,expanded_explicit_only,1.0,1.0,0.7366666666666667,0.9263157894736842,1.0,0.955,0.6066666666666667,0.5368421052631579,0.9225,0.945,0.695,0.7157894736842105,9.538021087646484,1.0,0.985,0.6366666666666667,0.5684210526315789,1.9762685298919678,0.01,6635.657658206835
4,expanded_explicit_only,1.0,1.0,0.735,0.9421052631578948,1.0,0.965,0.62,0.5368421052631579,0.775,0.815,0.5483333333333333,0.531578947368421,10.398585319519043,1.0,0.99,0.6416666666666667,0.5789473684210527,1.9779855012893677,0.01,6734.272677442045
5,expanded_explicit_only,1.0,1.0,0.7216666666666667,0.8526315789473684,1.0,0.975,0.5533333333333333,0.5210526315789473,0.865,0.9,0.6366666666666667,0.6736842105263158,12.035577774047852,1.0,0.995,0.58,0.5473684210526316,1.9782776832580566,0.01,6937.231636650625
6,expanded_explicit_only,1.0,1.0,0.7133333333333334,0.9,1.0,0.955,0.62,0.6947368421052632,0.915,0.92,0.6666666666666666,0.9,13.368292808532715,1.0,1.0,0.5966666666666667,0.7315789473684211,1.9791237115859985,0.01,6733.982565012579
7,expanded_explicit_only,1.0,0.99,0.7116666666666667,0.8789473684210526,1.0,0.95,0.595,0.5947368421052631,0.915,0.9,0.6533333333333333,0.8473684210526315,15.618121147155762,1.0,0.99,0.6016666666666667,0.6526315789473685,1.975457787513733,0.01,5925.190049297812
8,expanded_explicit_only,1.0,0.99,0.7066666666666667,0.7789473684210526,1.0,0.945,0.615,0.631578947368421,0.7525,0.815,0.52,0.8631578947368421,17.312454223632812,1.0,0.97,0.635,0.6421052631578947,1.9745975732803345,0.01,6658.838507430399
9,expanded_explicit_only,1.0,0.99,0.71,0.8052631578947368,1.0,0.925,0.6116666666666667,0.5684210526315789,0.73125,0.785,0.515,0.8789473684210526,19.739948272705078,1.0,0.96,0.645,0.7842105263157895,1.9724041223526,0.01,6298.38522767443
10,expanded_explicit_only,1.0,0.99,0.6683333333333333,0.8631578947368421,1.0,0.945,0.62,0.6263157894736842,0.50125,0.5,0.5,0.5157894736842106,22.64537239074707,1.0,0.98,0.635,0.6842105263157895,1.966972827911377,0.01,5605.92413598923
11,expanded_explicit_only,0.9975,0.985,0.66,0.7684210526315789,1.0,0.985,0.66,0.7842105263157895,0.51625,0.49,0.5,0.4842105263157895,9.798301696777344,0.99,0.975,0.6783333333333333,0.7894736842105263,1.7681938409805298,0.01,67349.12536213544
