layer,mm_explicit_test_acc,mm_implicit_acc,mm_direction_norm
0,0.91,0.6883333333333334,5.684401988983154
1,0.88,0.5566666666666666,6.267782211303711
2,0.895,0.595,7.056374549865723
3,0.94,0.7416666666666667,8.36308479309082
4,0.84,0.575,9.094408988952637
5,0.93,0.7083333333333334,10.525959014892578
6,0.905,0.6783333333333333,11.829086303710938
7,0.905,0.725,14.032362937927246
8,0.79,0.52,15.648711204528809
9,0.61,0.5,18.08551788330078
10,0.5,0.5,21.243131637573242
11,0.495,0.5,13.432976722717285
