train_dataset,feature_name,layer,base_train_size,extra_train_size,train_size,lr_explicit_test_acc,lr_implicit_acc,wlr_explicit_test_acc,wlr_implicit_acc,mm_explicit_test_acc,mm_implicit_acc,wmm_explicit_test_acc,wmm_implicit_acc,whitener_cov_reg_condition_number
explicit_train_plus_redteam_20260322-090107,last_answer_token,0,800,190,990,0.865,0.655,0.845,0.57,0.585,0.5083333333333333,0.865,0.62,8478.161879764602
explicit_train_plus_redteam_20260322-090107,last_answer_token,1,800,190,990,0.93,0.69,0.845,0.6383333333333333,0.55,0.5033333333333333,0.89,0.6916666666666667,8441.260688684075
explicit_train_plus_redteam_20260322-090107,last_answer_token,2,800,190,990,0.94,0.705,0.9,0.6483333333333333,0.57,0.5033333333333333,0.915,0.7116666666666667,7670.508100763747
explicit_train_plus_redteam_20260322-090107,last_answer_token,3,800,190,990,0.945,0.76,0.88,0.64,0.71,0.52,0.915,0.7033333333333334,7972.522112005488
explicit_train_plus_redteam_20260322-090107,last_answer_token,4,800,190,990,0.96,0.7883333333333333,0.905,0.675,0.67,0.5066666666666667,0.96,0.7233333333333334,7785.832913133994
explicit_train_plus_redteam_20260322-090107,last_answer_token,5,800,190,990,0.96,0.7583333333333333,0.885,0.6666666666666666,0.5,0.5,0.955,0.7466666666666667,7739.447077751
explicit_train_plus_redteam_20260322-090107,last_answer_token,6,800,190,990,0.97,0.7966666666666666,0.905,0.6566666666666666,0.675,0.5016666666666667,0.97,0.7166666666666667,7601.1419587484825
explicit_train_plus_redteam_20260322-090107,last_answer_token,7,800,190,990,0.97,0.79,0.905,0.6233333333333333,0.615,0.5,0.96,0.7066666666666667,8564.811292609287
explicit_train_plus_redteam_20260322-090107,last_answer_token,8,800,190,990,0.975,0.7783333333333333,0.92,0.6316666666666667,0.73,0.5,0.955,0.72,10157.068440537634
explicit_train_plus_redteam_20260322-090107,last_answer_token,9,800,190,990,0.97,0.7216666666666667,0.9,0.5616666666666666,0.715,0.635,0.94,0.6716666666666666,11131.042297809829
explicit_train_plus_redteam_20260322-090107,last_answer_token,10,800,190,990,0.955,0.74,0.895,0.6533333333333333,0.77,0.515,0.955,0.7016666666666667,10789.431842274998
explicit_train_plus_redteam_20260322-090107,last_answer_token,11,800,190,990,0.935,0.73,0.925,0.685,0.5,0.5,0.955,0.7266666666666667,51936.43620421574
explicit_train_plus_redteam_20260322-090107,mean_answer_tokens,0,800,190,990,0.985,0.81,0.94,0.6333333333333333,0.94,0.7333333333333333,0.975,0.6833333333333333,12638.847250610212
explicit_train_plus_redteam_20260322-090107,mean_answer_tokens,1,800,190,990,0.995,0.815,0.95,0.645,0.935,0.7433333333333333,0.975,0.7316666666666667,11599.31263050845
explicit_train_plus_redteam_20260322-090107,mean_answer_tokens,2,800,190,990,1.0,0.8433333333333334,0.935,0.7216666666666667,0.88,0.5566666666666666,0.98,0.78,9610.31234942962
explicit_train_plus_redteam_20260322-090107,mean_answer_tokens,3,800,190,990,1.0,0.8566666666666667,0.95,0.73,0.95,0.73,0.98,0.7666666666666667,8377.113228884176
explicit_train_plus_redteam_20260322-090107,mean_answer_tokens,4,800,190,990,1.0,0.8633333333333333,0.965,0.67,0.94,0.7266666666666667,0.975,0.7633333333333333,9110.385916614297
explicit_train_plus_redteam_20260322-090107,mean_answer_tokens,5,800,190,990,1.0,0.8916666666666667,0.95,0.7616666666666667,0.895,0.6583333333333333,0.985,0.825,8172.318052783377
explicit_train_plus_redteam_20260322-090107,mean_answer_tokens,6,800,190,990,0.995,0.8866666666666667,0.955,0.7066666666666667,0.915,0.64,0.985,0.8,9600.473902367063
explicit_train_plus_redteam_20260322-090107,mean_answer_tokens,7,800,190,990,0.995,0.8733333333333333,0.955,0.64,0.915,0.7266666666666667,0.99,0.7283333333333334,8945.111205177715
explicit_train_plus_redteam_20260322-090107,mean_answer_tokens,8,800,190,990,0.99,0.8583333333333333,0.935,0.655,0.84,0.555,0.98,0.715,10443.44783486057
explicit_train_plus_redteam_20260322-090107,mean_answer_tokens,9,800,190,990,0.995,0.8433333333333334,0.945,0.695,0.575,0.5,0.985,0.74,9704.227955884326
explicit_train_plus_redteam_20260322-090107,mean_answer_tokens,10,800,190,990,0.995,0.84,0.945,0.6666666666666666,0.5,0.5,0.975,0.7366666666666667,9595.887883723657
explicit_train_plus_redteam_20260322-090107,mean_answer_tokens,11,800,190,990,0.985,0.75,0.985,0.7166666666666667,0.5,0.5,0.995,0.6983333333333334,64302.23619155339
