layer,mm_train_acc,mm_raw_norm,mm_steering_norm
0,0.9275,4.70012903213501,1.0
1,0.78,4.832098007202148,1.0
2,0.84625,5.409242630004883,1.0
3,0.92375,6.300825595855713,1.0
4,0.95,7.826253414154053,1.0
5,0.95125,8.950363159179688,0.9999999403953552
6,0.9375,9.41120433807373,1.0
7,0.935,9.554792404174805,1.0
8,0.93625,9.995842933654785,1.0
9,0.94125,10.755523681640625,1.0
10,0.935,11.6561861038208,0.9999999403953552
11,0.9375,12.896394729614258,0.9999999403953552
12,0.94625,13.657637596130371,1.0
13,0.9125,13.95836067199707,0.9999999403953552
14,0.94125,14.369513511657715,0.9999999403953552
15,0.935,14.400778770446777,1.0
16,0.965,15.38533878326416,1.0
17,0.96625,15.496024131774902,1.0
18,0.9525,15.510756492614746,0.9999999403953552
19,0.9575,15.828468322753906,1.0
20,0.9825,16.290969848632812,0.9999999403953552
21,0.975,16.170028686523438,1.0
22,0.975,16.563827514648438,1.0
23,0.95125,16.844051361083984,0.9999999403953552
24,0.9825,18.09175682067871,0.9999999403953552
25,0.99125,20.313337326049805,1.0
26,0.99,20.61980438232422,1.0
27,0.9875,21.48086929321289,1.0
28,0.99,23.30733871459961,1.0
29,0.99625,26.019916534423828,1.0
30,0.995,27.14569091796875,1.0
31,0.97375,28.0506534576416,0.9999999403953552
32,0.98625,30.687641143798828,1.0
33,0.9125,34.016700744628906,1.0
34,0.905,36.28373718261719,0.9999999403953552
35,0.815,40.57015609741211,0.9999999403953552
36,0.81,44.179439544677734,0.9999999403953552
37,0.81125,47.4601936340332,1.0
38,0.86375,48.51182174682617,1.0
39,0.93,50.51801300048828,1.0
40,0.75375,52.43043518066406,1.0
41,0.7775,54.12029266357422,1.0
42,0.76125,56.05803298950195,1.0
43,0.7025,58.76716995239258,1.0
44,0.5,62.14708709716797,0.9999999403953552
45,0.52875,65.86913299560547,0.9999998807907104
46,0.5,78.68814849853516,1.0
47,0.5,28.49555206298828,0.9999999403953552
