model_alias,layer_source_method,layer_selection,component,median_drop,mean_clipped_drop,q25_drop,q75_drop,n_rows
gpt2,attn,best,attn,-0.16109623511952775,-0.5560007120659092,-1.5581421972556855,0.10206311882137725,7
gpt2,attn,best,mlp,0.25958719135802466,0.19451397926628639,-0.7179723112447195,1.2754990985865966,7
gpt2,attn,best,resid,4.67883585508275,0.2857142857142857,-18.302481696409195,20.757609837967998,7
gpt2,attn,top-k,resid,2.310707487821402,0.09523809523809523,-9.502986902155763,13.791371158392437,21
gpt2,dmm,best,attn,1.0198406297383618,0.014548992079025222,-3.5399108690946512,4.225493136017033,7
gpt2,dmm,best,mlp,-0.7541536277704295,-0.03991802320115001,-2.2150038169818753,1.7319568248164807,7
gpt2,dmm,best,resid,4.59405748943446,0.2857142857142857,-21.65711962267823,29.99074192954775,7
gpt2,dmm,top-k,resid,3.341456886574074,0.2857142857142857,-11.775725187221536,18.32348050084779,21
gpt2,lr,best,attn,0.23813594864019094,0.029373375311563508,-1.9803243053185433,1.7596846680457052,7
gpt2,lr,best,mlp,-0.15680549730619098,0.16240706270553654,-0.5850366836908861,1.2318641518133595,7
gpt2,lr,best,resid,0.8652127625254057,0.10618905013429877,-1.9310327123865183,3.8751917426194833,7
gpt2,lr,top-k,resid,1.3242357025749831,0.2258712746422407,-9.502931245593857,6.422239603702256,21
llama-3.2-3b,attn,best,attn,1.0,1.1773809523809524,0.9375,1.4333333333333331,7
llama-3.2-3b,attn,best,mlp,0.6,0.7488095238095239,0.3875,0.8333333333333334,7
llama-3.2-3b,attn,best,resid,3.958333333333333,2.0,3.7125,5.4,7
llama-3.2-3b,attn,top-k,resid,1.5,0.35119047619047616,-3.55,3.5,21
llama-3.2-3b,dmm,best,attn,0.16666666666666663,0.26071428571428573,0.0625,0.26666666666666666,7
llama-3.2-3b,dmm,best,mlp,0.0,-0.10119047619047619,0.0,0.0625,7
llama-3.2-3b,dmm,best,resid,-0.16666666666666674,0.11369047619047616,-0.44999999999999996,0.58125,7
llama-3.2-3b,dmm,top-k,resid,0.4,0.3751984126984127,-0.16666666666666674,1.0625,21
llama-3.2-3b,lr,best,attn,0.125,0.14166666666666666,0.0,0.26666666666666666,7
llama-3.2-3b,lr,best,mlp,0.125,0.16547619047619047,0.0,0.26666666666666666,7
llama-3.2-3b,lr,best,resid,0.3125,0.07797619047619052,-1.425,1.1916666666666669,7
llama-3.2-3b,lr,top-k,resid,0.8,0.5805555555555555,0.19999999999999996,1.5833333333333335,21
phi-3-mini-4k-instruct,attn,best,attn,0.06060606060606055,0.05356523007610351,0.04362101313320821,0.06478578892371989,7
phi-3-mini-4k-instruct,attn,best,mlp,-0.024390243902439046,-0.029342042474326528,-0.058008658008658065,0.0,7
phi-3-mini-4k-instruct,attn,best,resid,0.12121212121212122,0.08923617933590303,-0.014285714285714235,0.16511936339522548,7
phi-3-mini-4k-instruct,attn,top-k,resid,0.09090909090909083,0.13326539294339365,0.0,0.2692307692307693,21
phi-3-mini-4k-instruct,dmm,best,attn,0.06060606060606055,0.05356523007610351,0.04362101313320821,0.06478578892371989,7
phi-3-mini-4k-instruct,dmm,best,mlp,-0.024390243902439046,-0.029342042474326528,-0.058008658008658065,0.0,7
phi-3-mini-4k-instruct,dmm,best,resid,0.12121212121212122,0.08923617933590303,-0.014285714285714235,0.16511936339522548,7
phi-3-mini-4k-instruct,dmm,top-k,resid,0.12121212121212122,0.0995101138198579,-0.02857142857142847,0.2068965517241379,21
phi-3-mini-4k-instruct,lr,best,attn,0.12121212121212122,0.12367544746494645,0.11483516483516487,0.1299411269974769,7
phi-3-mini-4k-instruct,lr,best,mlp,-0.030303030303030498,-0.023160255179959614,-0.03239289446186,-0.014285714285714235,7
phi-3-mini-4k-instruct,lr,best,resid,0.3448275862068966,0.3276619031575177,0.2863082039911308,0.40472027972027974,7
phi-3-mini-4k-instruct,lr,top-k,resid,0.34090909090909094,0.30038620383447967,0.15909090909090906,0.42307692307692313,21
qwen3-4b,attn,best,attn,0.02083333333333337,0.021070223235973566,0.0,0.03874096614682382,7
qwen3-4b,attn,best,mlp,-0.02092050209205021,-0.01915504828298063,-0.027957283680175138,-0.010204081632652962,7
qwen3-4b,attn,best,resid,1.0394736842105263,1.193406665770269,0.8038275979848006,1.5124497991967871,7
qwen3-4b,attn,top-k,resid,0.32530120481927716,0.6193569534608412,0.23636363636363633,0.8367346938775511,21
qwen3-4b,dmm,best,attn,0.012552301255229992,0.01236745319450965,0.005102040816326592,0.0187500000000001,7
qwen3-4b,dmm,best,mlp,0.03614457831325302,0.0355429963970098,0.021526095573662196,0.04313543599257891,7
qwen3-4b,dmm,best,resid,0.4794921875,0.5616269241436779,0.4088764035949108,0.6412582859848486,7
qwen3-4b,dmm,top-k,resid,0.33333333333333337,0.3309585684700219,0.14225941422594146,0.47751046025104604,21
qwen3-4b,lr,best,attn,-0.09638554216867479,-0.10904414839427999,-0.10921052631578954,-0.0471243042671613,7
qwen3-4b,lr,best,mlp,0.0657894736842104,0.07195658985551999,0.05237732978318749,0.09800170068027214,7
qwen3-4b,lr,best,resid,0.5113636363636365,0.41338598169538665,0.2505020080321285,0.5527412280701756,7
qwen3-4b,lr,top-k,resid,0.3571428571428571,0.4054401997078837,0.3157894736842105,0.5166666666666667,21
