model_alias,layer_source_method,layer_selection,component,median_effect,mean_clipped_effect,q25_effect,q75_effect,n_rows
gpt2,attn,best,attn,-0.2643321513002364,-0.4788411049712333,-0.751247619207775,0.0623405836314162,7
gpt2,attn,best,mlp,0.9608712664666752,0.8920201352683866,0.24440844092289687,1.7337756671164422,7
gpt2,attn,best,resid,-0.2597677266149679,-0.3746896544340101,-1.8339389877368073,0.5746080953498288,7
gpt2,attn,top-k,resid,0.0295835080814272,-0.2451958436557709,-0.7947045780618234,0.238506952285705,21
gpt2,dmm,best,attn,-0.5213764337851929,-0.33821782302207654,-0.651006362154076,0.14651966891857715,7
gpt2,dmm,best,mlp,-0.183629549923936,-0.18816739351220743,-0.5888480661334079,0.02207696380264995,7
gpt2,dmm,best,resid,0.0068643093020667,-0.256493948153873,-1.2641288117363896,0.3629678385468008,7
gpt2,dmm,top-k,resid,0.5290028067232313,0.12293879913737231,-1.0606692577495498,1.0,21
gpt2,lr,best,attn,0.1979905437352246,0.3804347626800606,0.02333183154204066,0.7027958551922864,7
gpt2,lr,best,mlp,0.4204668209876543,0.3005096156199977,-0.009633098310970506,0.5189803947892092,7
gpt2,lr,best,resid,0.186383200730403,-0.04838757719123351,-1.080775036415944,0.7772277690428624,7
gpt2,lr,top-k,resid,0.7311794772880702,0.19230990774604664,-0.2596564134911506,1.0,21
llama-3.2-3b,attn,best,attn,0.2,0.27976190476190477,0.0625,0.31666666666666665,7
llama-3.2-3b,attn,best,mlp,0.0,-0.0869047619047619,-0.0833333333333333,0.1125,7
llama-3.2-3b,attn,best,resid,1.0,1.2249999999999999,0.9375,1.4333333333333333,7
llama-3.2-3b,attn,top-k,resid,0.8333333333333334,0.7325396825396825,0.0,1.2,21
llama-3.2-3b,dmm,best,attn,0.0,0.06190476190476191,0.0,0.05,7
llama-3.2-3b,dmm,best,mlp,0.0,0.06190476190476191,0.0,0.05,7
llama-3.2-3b,dmm,best,resid,0.0,-0.10952380952380951,-0.1,0.05,7
llama-3.2-3b,dmm,top-k,resid,0.0,-0.11904761904761904,-0.2,0.1,21
llama-3.2-3b,lr,best,attn,0.0,-0.10476190476190475,-0.0833333333333333,0.05,7
llama-3.2-3b,lr,best,mlp,0.0,-0.1285714285714286,-0.1,0.05,7
llama-3.2-3b,lr,best,resid,0.0,-0.10952380952380951,-0.1,0.05,7
llama-3.2-3b,lr,top-k,resid,0.0,-0.11904761904761904,-0.2,0.1,21
phi-3-mini-4k-instruct,attn,best,attn,0.0,0.0052469257683723436,-0.01515151515151515,0.029436501261564302,7
phi-3-mini-4k-instruct,attn,best,mlp,0.0,0.009823509823509815,0.0,0.01515151515151515,7
phi-3-mini-4k-instruct,attn,best,resid,0.0,-0.008336983213830513,-0.03239289446185995,0.01428571428571425,7
phi-3-mini-4k-instruct,attn,top-k,resid,0.0285714285714285,0.1204551826082524,0.0,0.3333333333333333,21
phi-3-mini-4k-instruct,dmm,best,attn,0.0,0.0052469257683723436,-0.01515151515151515,0.029436501261564302,7
phi-3-mini-4k-instruct,dmm,best,mlp,0.0,0.009823509823509815,0.0,0.01515151515151515,7
phi-3-mini-4k-instruct,dmm,best,resid,0.0,-0.008336983213830513,-0.03239289446185995,0.01428571428571425,7
phi-3-mini-4k-instruct,dmm,top-k,resid,-0.0303030303030303,-0.023445345288430727,-0.0689655172413793,0.0285714285714285,21
phi-3-mini-4k-instruct,lr,best,attn,0.1818181818181818,0.1990938534011945,0.17711598746081503,0.21773399014778322,7
phi-3-mini-4k-instruct,lr,best,mlp,-0.1515151515151515,-0.15310103009249948,-0.1981351981351981,-0.0954583683767872,7
phi-3-mini-4k-instruct,lr,best,resid,0.896551724137931,0.8954031750619519,0.8822510822510823,0.9028213166144201,7
phi-3-mini-4k-instruct,lr,top-k,resid,0.9310344827586208,0.9358758746960117,0.9090909090909092,0.9696969696969696,21
qwen3-4b,attn,best,attn,0.1666666666666666,0.16860752215148053,0.156060606060606,0.1713003743668795,7
qwen3-4b,attn,best,mlp,0.0,-0.007426341785115772,-0.011182959300114051,0.0,7
qwen3-4b,attn,best,resid,0.631578947368421,0.6299707178646792,0.5756297918948521,0.6784867503486751,7
qwen3-4b,attn,top-k,resid,0.5,0.3429982483182436,-0.0526315789473684,0.5833333333333334,21
qwen3-4b,dmm,best,attn,-0.00418410041841,-0.008051020952914786,-0.0156698564593301,0.0,7
qwen3-4b,dmm,best,mlp,0.1052631578947368,0.11030090934430525,0.1,0.1103393164494713,7
qwen3-4b,dmm,best,resid,0.6447368421052632,0.6364870394037124,0.5851576994434138,0.6784867503486751,7
qwen3-4b,dmm,top-k,resid,-0.0263157894736842,0.1730196155769601,-0.0481927710843373,0.5612244897959183,21
qwen3-4b,lr,best,attn,-0.0120481927710843,-0.014257872301540414,-0.0319727891156462,0.0,7
qwen3-4b,lr,best,mlp,-0.0227272727272727,-0.019407516230917354,-0.0312301838934686,-3.4867503486749746e-05,7
qwen3-4b,lr,best,resid,-0.0208333333333333,-0.020728117660943072,-0.0308684143113312,-0.01284227820372395,7
qwen3-4b,lr,top-k,resid,-0.0263157894736842,-0.04034522023452319,-0.0588235294117647,-0.00836820083682,21
