model_alias,layer_source_method,layer_selection,component,mean_at_minus3,mean_at_zero,mean_at_plus3,plus3_minus_zero,zero_minus_minus3,n_rows
gpt2,attn,best,attn,-0.5278538295200893,-0.49749864850725445,-0.4651271275111607,0.03237152099609375,0.030355181012834853,49
gpt2,attn,best,mlp,-0.5373186383928571,-0.49749864850725445,-0.45608084542410715,0.0414178030831473,0.03981998988560265,49
gpt2,attn,best,resid,-0.5373240879603794,-0.49749864850725445,-0.4560797555106027,0.041418892996651746,0.039825439453125,49
gpt2,attn,top-k,resid,-0.5099167596726191,-0.49749864850725445,-0.48341623942057294,0.014082409086681513,0.01241811116536462,147
gpt2,dmm,best,attn,-0.49114336286272314,-0.49749864850725445,-0.5013852800641742,-0.0038866315569197063,-0.0063552856445313055,49
gpt2,dmm,best,mlp,-0.532487051827567,-0.49749864850725445,-0.45979418073381695,0.0377044677734375,0.0349884033203125,49
gpt2,dmm,best,resid,-0.5324881417410714,-0.49749864850725445,-0.45979527064732145,0.037703377859932996,0.03498949323381695,49
gpt2,dmm,top-k,resid,-0.5229488554454985,-0.49749864850725445,-0.4705995832170759,0.026899065290178548,0.02545020693824407,147
gpt2,lr,best,attn,-0.5251072474888393,-0.49749864850725445,-0.46915108816964285,0.0283475603376116,0.027608598981584853,49
gpt2,lr,best,mlp,-0.540968758719308,-0.49749864850725445,-0.45381382533482145,0.043684823172432996,0.0434701102120536,49
gpt2,lr,best,resid,-0.5409720284598214,-0.49749864850725445,-0.45380946568080355,0.0436891828264509,0.04347337995256695,49
gpt2,lr,top-k,resid,-0.525771731422061,-0.49751172746930805,-0.46860794793991817,0.028903779529389884,0.028260003952752966,147
llama-3.2-3b,attn,best,attn,-1.0357142857142858,-0.8392857142857143,-0.5357142857142857,0.3035714285714286,0.1964285714285715,49
llama-3.2-3b,attn,best,mlp,-1.0714285714285714,-0.8392857142857143,-0.5,0.3392857142857143,0.2321428571428571,49
llama-3.2-3b,attn,best,resid,-1.0892857142857142,-0.8392857142857143,-0.5178571428571429,0.3214285714285714,0.2499999999999999,49
llama-3.2-3b,attn,top-k,resid,-1.0178571428571428,-0.8392857142857143,-0.5059523809523809,0.33333333333333337,0.1785714285714285,147
llama-3.2-3b,dmm,best,attn,-0.7857142857142857,-0.8392857142857143,-0.7321428571428571,0.1071428571428572,-0.0535714285714286,49
llama-3.2-3b,dmm,best,mlp,-0.75,-0.8392857142857143,-0.8035714285714286,0.0357142857142857,-0.0892857142857143,49
llama-3.2-3b,dmm,best,resid,-0.7321428571428571,-0.8392857142857143,-0.8035714285714286,0.0357142857142857,-0.1071428571428572,49
llama-3.2-3b,dmm,top-k,resid,-0.8035714285714286,-0.8392857142857143,-0.6904761904761905,0.14880952380952384,-0.0357142857142857,147
llama-3.2-3b,lr,best,attn,-0.8035714285714286,-0.8392857142857143,-0.6428571428571429,0.1964285714285714,-0.0357142857142857,49
llama-3.2-3b,lr,best,mlp,-0.8035714285714286,-0.8392857142857143,-0.6428571428571429,0.1964285714285714,-0.0357142857142857,49
llama-3.2-3b,lr,best,resid,-0.8214285714285714,-0.8392857142857143,-0.6428571428571429,0.1964285714285714,-0.017857142857142905,49
