model_alias,layer_source_method,median_initial,median_final,median_pre_event_delta,event_rate,n_rows
gpt2,attn,0.8364312028549226,0.14371020831281328,0.1988876440102186,0.5,6
gpt2,dmm,0.8052634441621949,0.4249755890093936,0.2681952495145602,0.5,6
gpt2,lr,0.825143787342766,0.11825955666236095,0.2665999004858459,0.5,6
llama-3.2-3b,attn,0.18632426563567345,0.13943620073709156,0.055428792171016,0.3333333333333333,6
llama-3.2-3b,dmm,0.43748478763937426,0.48165755758213746,0.1057821287817987,0.3333333333333333,6
llama-3.2-3b,lr,0.550803042981993,0.6111446167014141,0.08672629369719856,0.3333333333333333,6
phi-3-mini-4k-instruct,attn,0.47473372892453913,0.3900183457724058,0.2450255968078361,0.5,6
phi-3-mini-4k-instruct,dmm,0.47473372892453913,0.3900183457724058,0.2450255968078361,0.5,6
phi-3-mini-4k-instruct,lr,0.8781671409262647,0.9988360132411165,0.0446437781012342,0.5,6
qwen3-4b,attn,0.8934771822824488,0.5605078563020316,0.00679148603387695,0.6666666666666666,6
qwen3-4b,dmm,0.8693917513258567,0.5579146821642849,0.00937929796738015,0.6666666666666666,6
qwen3-4b,lr,0.6425535559020361,0.716938449888787,0.06360694813104725,0.6666666666666666,6
