experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
ablation,qwen3-4b,Qwen/Qwen3-4B,26,resid,0,clean_minus_corrupted_logit_diff_after_ablation,5.375,-5.0,-9.0625,-0.39156626506024095,,,zero,attn,best,26
ablation,qwen3-4b,Qwen/Qwen3-4B,26,resid,1,clean_minus_corrupted_logit_diff_after_ablation,9.0,-5.9375,-2.515625,0.2290794979079498,,,zero,attn,best,26
ablation,qwen3-4b,Qwen/Qwen3-4B,26,resid,2,clean_minus_corrupted_logit_diff_after_ablation,8.375,-5.375,-1.0,0.3181818181818182,,,zero,attn,best,26
ablation,qwen3-4b,Qwen/Qwen3-4B,26,resid,3,clean_minus_corrupted_logit_diff_after_ablation,3.875,-2.125,-8.625,-1.0833333333333333,,,zero,attn,best,26
ablation,qwen3-4b,Qwen/Qwen3-4B,26,resid,4,clean_minus_corrupted_logit_diff_after_ablation,6.375,-3.125,-3.5,-0.039473684210526314,,,zero,attn,best,26
ablation,qwen3-4b,Qwen/Qwen3-4B,26,resid,5,clean_minus_corrupted_logit_diff_after_ablation,7.375,-4.875,-2.875,0.16326530612244897,,,zero,attn,best,26
ablation,qwen3-4b,Qwen/Qwen3-4B,26,resid,6,clean_minus_corrupted_logit_diff_after_ablation,5.125,-2.375,-7.125,-0.6333333333333333,,,zero,attn,best,26
ablation,qwen3-4b,Qwen/Qwen3-4B,26,attn,0,clean_minus_corrupted_logit_diff_after_ablation,5.375,-5.0,5.5,1.0120481927710843,,,zero,attn,best,26
ablation,qwen3-4b,Qwen/Qwen3-4B,26,attn,1,clean_minus_corrupted_logit_diff_after_ablation,9.0,-5.9375,8.25,0.9497907949790795,,,zero,attn,best,26
ablation,qwen3-4b,Qwen/Qwen3-4B,26,attn,2,clean_minus_corrupted_logit_diff_after_ablation,8.375,-5.375,8.0,0.9727272727272728,,,zero,attn,best,26
ablation,qwen3-4b,Qwen/Qwen3-4B,26,attn,3,clean_minus_corrupted_logit_diff_after_ablation,3.875,-2.125,3.75,0.9791666666666666,,,zero,attn,best,26
ablation,qwen3-4b,Qwen/Qwen3-4B,26,attn,4,clean_minus_corrupted_logit_diff_after_ablation,6.375,-3.125,6.375,1.0,,,zero,attn,best,26
ablation,qwen3-4b,Qwen/Qwen3-4B,26,attn,5,clean_minus_corrupted_logit_diff_after_ablation,7.375,-4.875,6.625,0.9387755102040817,,,zero,attn,best,26
ablation,qwen3-4b,Qwen/Qwen3-4B,26,attn,6,clean_minus_corrupted_logit_diff_after_ablation,5.125,-2.375,5.125,1.0,,,zero,attn,best,26
ablation,qwen3-4b,Qwen/Qwen3-4B,26,mlp,0,clean_minus_corrupted_logit_diff_after_ablation,5.375,-5.0,5.625,1.0240963855421688,,,zero,attn,best,26
ablation,qwen3-4b,Qwen/Qwen3-4B,26,mlp,1,clean_minus_corrupted_logit_diff_after_ablation,9.0,-5.9375,9.3125,1.0209205020920502,,,zero,attn,best,26
ablation,qwen3-4b,Qwen/Qwen3-4B,26,mlp,2,clean_minus_corrupted_logit_diff_after_ablation,8.375,-5.375,8.8125,1.0318181818181817,,,zero,attn,best,26
ablation,qwen3-4b,Qwen/Qwen3-4B,26,mlp,3,clean_minus_corrupted_logit_diff_after_ablation,3.875,-2.125,3.875,1.0,,,zero,attn,best,26
ablation,qwen3-4b,Qwen/Qwen3-4B,26,mlp,4,clean_minus_corrupted_logit_diff_after_ablation,6.375,-3.125,6.25,0.9868421052631579,,,zero,attn,best,26
ablation,qwen3-4b,Qwen/Qwen3-4B,26,mlp,5,clean_minus_corrupted_logit_diff_after_ablation,7.375,-4.875,7.625,1.0204081632653061,,,zero,attn,best,26
ablation,qwen3-4b,Qwen/Qwen3-4B,26,mlp,6,clean_minus_corrupted_logit_diff_after_ablation,5.125,-2.375,5.5,1.05,,,zero,attn,best,26
