experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
ablation,qwen3-4b,Qwen/Qwen3-4B,17,resid,0,clean_minus_corrupted_logit_diff_after_ablation,5.375,-5.0,3.0,0.7710843373493976,,,zero,attn,top-k,"17,25,26"
ablation,qwen3-4b,Qwen/Qwen3-4B,17,resid,1,clean_minus_corrupted_logit_diff_after_ablation,9.0,-5.9375,4.25,0.6820083682008368,,,zero,attn,top-k,"17,25,26"
ablation,qwen3-4b,Qwen/Qwen3-4B,17,resid,2,clean_minus_corrupted_logit_diff_after_ablation,8.375,-5.375,5.125,0.7636363636363637,,,zero,attn,top-k,"17,25,26"
ablation,qwen3-4b,Qwen/Qwen3-4B,17,resid,3,clean_minus_corrupted_logit_diff_after_ablation,3.875,-2.125,2.375,0.75,,,zero,attn,top-k,"17,25,26"
ablation,qwen3-4b,Qwen/Qwen3-4B,17,resid,4,clean_minus_corrupted_logit_diff_after_ablation,6.375,-3.125,4.6875,0.8223684210526315,,,zero,attn,top-k,"17,25,26"
ablation,qwen3-4b,Qwen/Qwen3-4B,17,resid,5,clean_minus_corrupted_logit_diff_after_ablation,7.375,-4.875,4.5,0.7653061224489796,,,zero,attn,top-k,"17,25,26"
ablation,qwen3-4b,Qwen/Qwen3-4B,17,resid,6,clean_minus_corrupted_logit_diff_after_ablation,5.125,-2.375,3.25,0.75,,,zero,attn,top-k,"17,25,26"
ablation,qwen3-4b,Qwen/Qwen3-4B,25,resid,0,clean_minus_corrupted_logit_diff_after_ablation,5.375,-5.0,2.0,0.6746987951807228,,,zero,attn,top-k,"17,25,26"
ablation,qwen3-4b,Qwen/Qwen3-4B,25,resid,1,clean_minus_corrupted_logit_diff_after_ablation,9.0,-5.9375,4.6875,0.7112970711297071,,,zero,attn,top-k,"17,25,26"
ablation,qwen3-4b,Qwen/Qwen3-4B,25,resid,2,clean_minus_corrupted_logit_diff_after_ablation,8.375,-5.375,-1.0625,0.31363636363636366,,,zero,attn,top-k,"17,25,26"
ablation,qwen3-4b,Qwen/Qwen3-4B,25,resid,3,clean_minus_corrupted_logit_diff_after_ablation,3.875,-2.125,-2.5087890625,-0.06396484375,,,zero,attn,top-k,"17,25,26"
ablation,qwen3-4b,Qwen/Qwen3-4B,25,resid,4,clean_minus_corrupted_logit_diff_after_ablation,6.375,-3.125,5.640625,0.9226973684210527,,,zero,attn,top-k,"17,25,26"
ablation,qwen3-4b,Qwen/Qwen3-4B,25,resid,5,clean_minus_corrupted_logit_diff_after_ablation,7.375,-4.875,5.109375,0.8150510204081632,,,zero,attn,top-k,"17,25,26"
ablation,qwen3-4b,Qwen/Qwen3-4B,25,resid,6,clean_minus_corrupted_logit_diff_after_ablation,5.125,-2.375,2.646484375,0.66953125,,,zero,attn,top-k,"17,25,26"
ablation,qwen3-4b,Qwen/Qwen3-4B,26,resid,0,clean_minus_corrupted_logit_diff_after_ablation,5.375,-5.0,-9.0625,-0.39156626506024095,,,zero,attn,top-k,"17,25,26"
ablation,qwen3-4b,Qwen/Qwen3-4B,26,resid,1,clean_minus_corrupted_logit_diff_after_ablation,9.0,-5.9375,-2.515625,0.2290794979079498,,,zero,attn,top-k,"17,25,26"
ablation,qwen3-4b,Qwen/Qwen3-4B,26,resid,2,clean_minus_corrupted_logit_diff_after_ablation,8.375,-5.375,-1.0,0.3181818181818182,,,zero,attn,top-k,"17,25,26"
ablation,qwen3-4b,Qwen/Qwen3-4B,26,resid,3,clean_minus_corrupted_logit_diff_after_ablation,3.875,-2.125,-8.625,-1.0833333333333333,,,zero,attn,top-k,"17,25,26"
ablation,qwen3-4b,Qwen/Qwen3-4B,26,resid,4,clean_minus_corrupted_logit_diff_after_ablation,6.375,-3.125,-3.5,-0.039473684210526314,,,zero,attn,top-k,"17,25,26"
ablation,qwen3-4b,Qwen/Qwen3-4B,26,resid,5,clean_minus_corrupted_logit_diff_after_ablation,7.375,-4.875,-2.875,0.16326530612244897,,,zero,attn,top-k,"17,25,26"
ablation,qwen3-4b,Qwen/Qwen3-4B,26,resid,6,clean_minus_corrupted_logit_diff_after_ablation,5.125,-2.375,-7.125,-0.6333333333333333,,,zero,attn,top-k,"17,25,26"
