experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
ablation,gpt2,gpt2,9,resid,0,clean_minus_corrupted_logit_diff_after_ablation,0.6456069946289062,0.25009918212890625,-1.440826416015625,-4.275327932098765,,,zero,attn,best,9
ablation,gpt2,gpt2,9,resid,1,clean_minus_corrupted_logit_diff_after_ablation,0.4299774169921875,-0.042999267578125,-1.7830028533935547,-3.67883585508275,,,zero,attn,best,9
ablation,gpt2,gpt2,9,resid,2,clean_minus_corrupted_logit_diff_after_ablation,0.2717742919921875,0.35225677490234375,-1.9094600677490234,28.101976490662622,,,zero,attn,best,9
ablation,gpt2,gpt2,9,resid,3,clean_minus_corrupted_logit_diff_after_ablation,0.8039779663085938,0.8049468994140625,-1.3167800903320312,2189.755905511811,,,zero,attn,best,9
ablation,gpt2,gpt2,9,resid,4,clean_minus_corrupted_logit_diff_after_ablation,0.3958587646484375,0.33736419677734375,-1.723978042602539,-35.23989174383723,,,zero,attn,best,9
ablation,gpt2,gpt2,9,resid,5,clean_minus_corrupted_logit_diff_after_ablation,0.5470428466796875,0.4954071044921875,-1.7195568084716797,-42.895944148936174,,,zero,attn,best,9
ablation,gpt2,gpt2,9,resid,6,clean_minus_corrupted_logit_diff_after_ablation,0.38825225830078125,0.5938720703125,-1.5657501220703125,10.502986902155763,,,zero,attn,best,9
ablation,gpt2,gpt2,9,attn,0,clean_minus_corrupted_logit_diff_after_ablation,0.6456069946289062,0.25009918212890625,0.69512939453125,1.1252121913580246,,,zero,attn,best,9
ablation,gpt2,gpt2,9,attn,1,clean_minus_corrupted_logit_diff_after_ablation,0.4299774169921875,-0.042999267578125,0.5061721801757812,1.1610962351195278,,,zero,attn,best,9
ablation,gpt2,gpt2,9,attn,2,clean_minus_corrupted_logit_diff_after_ablation,0.2717742919921875,0.35225677490234375,0.36684417724609375,-0.1812494075267798,,,zero,attn,best,9
ablation,gpt2,gpt2,9,attn,3,clean_minus_corrupted_logit_diff_after_ablation,0.8039779663085938,0.8049468994140625,0.7900238037109375,15.401574803149606,,,zero,attn,best,9
ablation,gpt2,gpt2,9,attn,4,clean_minus_corrupted_logit_diff_after_ablation,0.3958587646484375,0.33736419677734375,0.469512939453125,2.259162645102387,,,zero,attn,best,9
ablation,gpt2,gpt2,9,attn,5,clean_minus_corrupted_logit_diff_after_ablation,0.5470428466796875,0.4954071044921875,0.6429367065429688,2.8571217494089836,,,zero,attn,best,9
ablation,gpt2,gpt2,9,attn,6,clean_minus_corrupted_logit_diff_after_ablation,0.38825225830078125,0.5938720703125,0.45597076416015625,0.6706615709992209,,,zero,attn,best,9
ablation,gpt2,gpt2,9,mlp,0,clean_minus_corrupted_logit_diff_after_ablation,0.6456069946289062,0.25009918212890625,0.542938232421875,0.7404128086419753,,,zero,attn,best,9
ablation,gpt2,gpt2,9,mlp,1,clean_minus_corrupted_logit_diff_after_ablation,0.4299774169921875,-0.042999267578125,0.175537109375,0.4620447140045811,,,zero,attn,best,9
ablation,gpt2,gpt2,9,mlp,2,clean_minus_corrupted_logit_diff_after_ablation,0.2717742919921875,0.35225677490234375,0.2519989013671875,1.2457104938856765,,,zero,attn,best,9
ablation,gpt2,gpt2,9,mlp,3,clean_minus_corrupted_logit_diff_after_ablation,0.8039779663085938,0.8049468994140625,0.6070327758789062,204.25984251968504,,,zero,attn,best,9
ablation,gpt2,gpt2,9,mlp,4,clean_minus_corrupted_logit_diff_after_ablation,0.3958587646484375,0.33736419677734375,0.278106689453125,-1.0130429111777748,,,zero,attn,best,9
ablation,gpt2,gpt2,9,mlp,5,clean_minus_corrupted_logit_diff_after_ablation,0.5470428466796875,0.4954071044921875,0.40467071533203125,-1.7572399527186762,,,zero,attn,best,9
ablation,gpt2,gpt2,9,mlp,6,clean_minus_corrupted_logit_diff_after_ablation,0.38825225830078125,0.5938720703125,0.14351654052734375,2.1902341286037625,,,zero,attn,best,9
