experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,3,resid,0,clean_minus_corrupted_logit_diff_after_ablation,0.75,0.125,-0.5,-1.0,,,zero,attn,top-k,"3,18,20"
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,3,resid,1,clean_minus_corrupted_logit_diff_after_ablation,0.5,-0.125,2.0,3.4,,,zero,attn,top-k,"3,18,20"
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,3,resid,2,clean_minus_corrupted_logit_diff_after_ablation,1.0,0.0,-0.625,-0.625,,,zero,attn,top-k,"3,18,20"
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,3,resid,3,clean_minus_corrupted_logit_diff_after_ablation,1.25,0.5,-0.6875,-1.5833333333333333,,,zero,attn,top-k,"3,18,20"
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,3,resid,4,clean_minus_corrupted_logit_diff_after_ablation,0.75,0.625,0.5625,-0.5,,,zero,attn,top-k,"3,18,20"
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,3,resid,5,clean_minus_corrupted_logit_diff_after_ablation,1.0,-0.25,0.0625,0.25,,,zero,attn,top-k,"3,18,20"
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,3,resid,6,clean_minus_corrupted_logit_diff_after_ablation,0.625,0.25,0.0625,-0.5,,,zero,attn,top-k,"3,18,20"
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,18,resid,0,clean_minus_corrupted_logit_diff_after_ablation,0.75,0.125,5.125,8.0,,,zero,attn,top-k,"3,18,20"
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,18,resid,1,clean_minus_corrupted_logit_diff_after_ablation,0.5,-0.125,4.8125,7.9,,,zero,attn,top-k,"3,18,20"
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,18,resid,2,clean_minus_corrupted_logit_diff_after_ablation,1.0,0.0,4.3125,4.3125,,,zero,attn,top-k,"3,18,20"
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,18,resid,3,clean_minus_corrupted_logit_diff_after_ablation,1.25,0.5,4.625,5.5,,,zero,attn,top-k,"3,18,20"
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,18,resid,4,clean_minus_corrupted_logit_diff_after_ablation,0.75,0.625,5.625,40.0,,,zero,attn,top-k,"3,18,20"
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,18,resid,5,clean_minus_corrupted_logit_diff_after_ablation,1.0,-0.25,5.4375,4.55,,,zero,attn,top-k,"3,18,20"
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,18,resid,6,clean_minus_corrupted_logit_diff_after_ablation,0.625,0.25,4.8125,12.166666666666666,,,zero,attn,top-k,"3,18,20"
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,resid,0,clean_minus_corrupted_logit_diff_after_ablation,0.75,0.125,-2.09375,-3.55,,,zero,attn,top-k,"3,18,20"
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,resid,1,clean_minus_corrupted_logit_diff_after_ablation,0.5,-0.125,-1.953125,-2.925,,,zero,attn,top-k,"3,18,20"
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,resid,2,clean_minus_corrupted_logit_diff_after_ablation,1.0,0.0,-2.5,-2.5,,,zero,attn,top-k,"3,18,20"
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,resid,3,clean_minus_corrupted_logit_diff_after_ablation,1.25,0.5,-1.71875,-2.9583333333333335,,,zero,attn,top-k,"3,18,20"
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,resid,4,clean_minus_corrupted_logit_diff_after_ablation,0.75,0.625,-1.8125,-19.5,,,zero,attn,top-k,"3,18,20"
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,resid,5,clean_minus_corrupted_logit_diff_after_ablation,1.0,-0.25,-2.5,-1.8,,,zero,attn,top-k,"3,18,20"
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,resid,6,clean_minus_corrupted_logit_diff_after_ablation,0.625,0.25,-1.71875,-5.25,,,zero,attn,top-k,"3,18,20"
