experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,5,resid,0,clean_minus_corrupted_logit_diff_after_ablation,2.0,-6.25,2.25,1.0303030303030303,,,zero,attn,top-k,"5,8,17"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,5,resid,1,clean_minus_corrupted_logit_diff_after_ablation,0.75,-8.0,1.5,1.0857142857142856,,,zero,attn,top-k,"5,8,17"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,5,resid,2,clean_minus_corrupted_logit_diff_after_ablation,2.5,-5.75,1.75,0.9090909090909091,,,zero,attn,top-k,"5,8,17"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,5,resid,3,clean_minus_corrupted_logit_diff_after_ablation,1.5,-5.75,1.25,0.9655172413793104,,,zero,attn,top-k,"5,8,17"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,5,resid,4,clean_minus_corrupted_logit_diff_after_ablation,1.5,-5.0,0.25,0.8076923076923077,,,zero,attn,top-k,"5,8,17"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,5,resid,5,clean_minus_corrupted_logit_diff_after_ablation,2.0,-8.25,1.5,0.9512195121951219,,,zero,attn,top-k,"5,8,17"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,5,resid,6,clean_minus_corrupted_logit_diff_after_ablation,2.0,-5.25,2.0,1.0,,,zero,attn,top-k,"5,8,17"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,resid,0,clean_minus_corrupted_logit_diff_after_ablation,2.0,-6.25,2.75,1.0909090909090908,,,zero,attn,top-k,"5,8,17"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,resid,1,clean_minus_corrupted_logit_diff_after_ablation,0.75,-8.0,1.0,1.0285714285714285,,,zero,attn,top-k,"5,8,17"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,resid,2,clean_minus_corrupted_logit_diff_after_ablation,2.5,-5.75,1.5,0.8787878787878788,,,zero,attn,top-k,"5,8,17"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,resid,3,clean_minus_corrupted_logit_diff_after_ablation,1.5,-5.75,0.5,0.8620689655172413,,,zero,attn,top-k,"5,8,17"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,resid,4,clean_minus_corrupted_logit_diff_after_ablation,1.5,-5.0,0.25,0.8076923076923077,,,zero,attn,top-k,"5,8,17"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,resid,5,clean_minus_corrupted_logit_diff_after_ablation,2.0,-8.25,-1.0,0.7073170731707317,,,zero,attn,top-k,"5,8,17"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,resid,6,clean_minus_corrupted_logit_diff_after_ablation,2.0,-5.25,2.0,1.0,,,zero,attn,top-k,"5,8,17"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,17,resid,0,clean_minus_corrupted_logit_diff_after_ablation,2.0,-6.25,-1.0,0.6363636363636364,,,zero,attn,top-k,"5,8,17"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,17,resid,1,clean_minus_corrupted_logit_diff_after_ablation,0.75,-8.0,1.25,1.0571428571428572,,,zero,attn,top-k,"5,8,17"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,17,resid,2,clean_minus_corrupted_logit_diff_after_ablation,2.5,-5.75,-1.25,0.5454545454545454,,,zero,attn,top-k,"5,8,17"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,17,resid,3,clean_minus_corrupted_logit_diff_after_ablation,1.5,-5.75,1.25,0.9655172413793104,,,zero,attn,top-k,"5,8,17"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,17,resid,4,clean_minus_corrupted_logit_diff_after_ablation,1.5,-5.0,-0.25,0.7307692307692307,,,zero,attn,top-k,"5,8,17"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,17,resid,5,clean_minus_corrupted_logit_diff_after_ablation,2.0,-8.25,-1.5,0.6585365853658537,,,zero,attn,top-k,"5,8,17"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,17,resid,6,clean_minus_corrupted_logit_diff_after_ablation,2.0,-5.25,-1.75,0.4827586206896552,,,zero,attn,top-k,"5,8,17"
