experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
ablation,qwen3-4b,Qwen/Qwen3-4B,27,resid,0,clean_minus_corrupted_logit_diff_after_ablation,5.375,-5.0,-5.525390625,-0.050640060240963854,,,zero,dmm,best,27
ablation,qwen3-4b,Qwen/Qwen3-4B,27,resid,1,clean_minus_corrupted_logit_diff_after_ablation,9.0,-5.9375,1.8671875,0.522489539748954,,,zero,dmm,best,27
ablation,qwen3-4b,Qwen/Qwen3-4B,27,resid,2,clean_minus_corrupted_logit_diff_after_ablation,8.375,-5.375,-2.2109375,0.23011363636363635,,,zero,dmm,best,27
ablation,qwen3-4b,Qwen/Qwen3-4B,27,resid,3,clean_minus_corrupted_logit_diff_after_ablation,3.875,-2.125,0.998046875,0.5205078125,,,zero,dmm,best,27
ablation,qwen3-4b,Qwen/Qwen3-4B,27,resid,4,clean_minus_corrupted_logit_diff_after_ablation,6.375,-3.125,3.515625,0.6990131578947368,,,zero,dmm,best,27
ablation,qwen3-4b,Qwen/Qwen3-4B,27,resid,5,clean_minus_corrupted_logit_diff_after_ablation,7.375,-4.875,3.20703125,0.6597576530612245,,,zero,dmm,best,27
ablation,qwen3-4b,Qwen/Qwen3-4B,27,resid,6,clean_minus_corrupted_logit_diff_after_ablation,5.125,-2.375,1.2802734375,0.48736979166666666,,,zero,dmm,best,27
ablation,qwen3-4b,Qwen/Qwen3-4B,27,attn,0,clean_minus_corrupted_logit_diff_after_ablation,5.375,-5.0,5.375,1.0,,,zero,dmm,best,27
ablation,qwen3-4b,Qwen/Qwen3-4B,27,attn,1,clean_minus_corrupted_logit_diff_after_ablation,9.0,-5.9375,8.8125,0.9874476987447699,,,zero,dmm,best,27
ablation,qwen3-4b,Qwen/Qwen3-4B,27,attn,2,clean_minus_corrupted_logit_diff_after_ablation,8.375,-5.375,8.375,1.0,,,zero,dmm,best,27
ablation,qwen3-4b,Qwen/Qwen3-4B,27,attn,3,clean_minus_corrupted_logit_diff_after_ablation,3.875,-2.125,3.75,0.9791666666666666,,,zero,dmm,best,27
ablation,qwen3-4b,Qwen/Qwen3-4B,27,attn,4,clean_minus_corrupted_logit_diff_after_ablation,6.375,-3.125,6.125,0.9736842105263158,,,zero,dmm,best,27
ablation,qwen3-4b,Qwen/Qwen3-4B,27,attn,5,clean_minus_corrupted_logit_diff_after_ablation,7.375,-4.875,7.25,0.9897959183673469,,,zero,dmm,best,27
ablation,qwen3-4b,Qwen/Qwen3-4B,27,attn,6,clean_minus_corrupted_logit_diff_after_ablation,5.125,-2.375,5.0,0.9833333333333333,,,zero,dmm,best,27
ablation,qwen3-4b,Qwen/Qwen3-4B,27,mlp,0,clean_minus_corrupted_logit_diff_after_ablation,5.375,-5.0,5.0,0.963855421686747,,,zero,dmm,best,27
ablation,qwen3-4b,Qwen/Qwen3-4B,27,mlp,1,clean_minus_corrupted_logit_diff_after_ablation,9.0,-5.9375,8.75,0.9832635983263598,,,zero,dmm,best,27
ablation,qwen3-4b,Qwen/Qwen3-4B,27,mlp,2,clean_minus_corrupted_logit_diff_after_ablation,8.375,-5.375,7.75,0.9545454545454546,,,zero,dmm,best,27
ablation,qwen3-4b,Qwen/Qwen3-4B,27,mlp,3,clean_minus_corrupted_logit_diff_after_ablation,3.875,-2.125,3.375,0.9166666666666666,,,zero,dmm,best,27
ablation,qwen3-4b,Qwen/Qwen3-4B,27,mlp,4,clean_minus_corrupted_logit_diff_after_ablation,6.375,-3.125,6.125,0.9736842105263158,,,zero,dmm,best,27
ablation,qwen3-4b,Qwen/Qwen3-4B,27,mlp,5,clean_minus_corrupted_logit_diff_after_ablation,7.375,-4.875,6.875,0.9591836734693877,,,zero,dmm,best,27
ablation,qwen3-4b,Qwen/Qwen3-4B,27,mlp,6,clean_minus_corrupted_logit_diff_after_ablation,5.125,-2.375,5.125,1.0,,,zero,dmm,best,27
