experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
ablation,qwen3-4b,Qwen/Qwen3-4B,15,resid,0,clean_minus_corrupted_logit_diff_after_ablation,5.375,-5.0,0.625,0.5421686746987951,,,zero,dmm,top-k,"15,16,27"
ablation,qwen3-4b,Qwen/Qwen3-4B,15,resid,1,clean_minus_corrupted_logit_diff_after_ablation,9.0,-5.9375,7.90625,0.9267782426778243,,,zero,dmm,top-k,"15,16,27"
ablation,qwen3-4b,Qwen/Qwen3-4B,15,resid,2,clean_minus_corrupted_logit_diff_after_ablation,8.375,-5.375,4.125,0.6909090909090909,,,zero,dmm,top-k,"15,16,27"
ablation,qwen3-4b,Qwen/Qwen3-4B,15,resid,3,clean_minus_corrupted_logit_diff_after_ablation,3.875,-2.125,4.25,1.0625,,,zero,dmm,top-k,"15,16,27"
ablation,qwen3-4b,Qwen/Qwen3-4B,15,resid,4,clean_minus_corrupted_logit_diff_after_ablation,6.375,-3.125,8.125,1.1842105263157894,,,zero,dmm,top-k,"15,16,27"
ablation,qwen3-4b,Qwen/Qwen3-4B,15,resid,5,clean_minus_corrupted_logit_diff_after_ablation,7.375,-4.875,2.875,0.6326530612244898,,,zero,dmm,top-k,"15,16,27"
ablation,qwen3-4b,Qwen/Qwen3-4B,15,resid,6,clean_minus_corrupted_logit_diff_after_ablation,5.125,-2.375,1.5,0.5166666666666667,,,zero,dmm,top-k,"15,16,27"
ablation,qwen3-4b,Qwen/Qwen3-4B,16,resid,0,clean_minus_corrupted_logit_diff_after_ablation,5.375,-5.0,5.8125,1.0421686746987953,,,zero,dmm,top-k,"15,16,27"
ablation,qwen3-4b,Qwen/Qwen3-4B,16,resid,1,clean_minus_corrupted_logit_diff_after_ablation,9.0,-5.9375,6.875,0.8577405857740585,,,zero,dmm,top-k,"15,16,27"
ablation,qwen3-4b,Qwen/Qwen3-4B,16,resid,2,clean_minus_corrupted_logit_diff_after_ablation,8.375,-5.375,5.375,0.7818181818181819,,,zero,dmm,top-k,"15,16,27"
ablation,qwen3-4b,Qwen/Qwen3-4B,16,resid,3,clean_minus_corrupted_logit_diff_after_ablation,3.875,-2.125,1.125,0.5416666666666666,,,zero,dmm,top-k,"15,16,27"
ablation,qwen3-4b,Qwen/Qwen3-4B,16,resid,4,clean_minus_corrupted_logit_diff_after_ablation,6.375,-3.125,5.0625,0.8618421052631579,,,zero,dmm,top-k,"15,16,27"
ablation,qwen3-4b,Qwen/Qwen3-4B,16,resid,5,clean_minus_corrupted_logit_diff_after_ablation,7.375,-4.875,3.375,0.673469387755102,,,zero,dmm,top-k,"15,16,27"
ablation,qwen3-4b,Qwen/Qwen3-4B,16,resid,6,clean_minus_corrupted_logit_diff_after_ablation,5.125,-2.375,2.625,0.6666666666666666,,,zero,dmm,top-k,"15,16,27"
ablation,qwen3-4b,Qwen/Qwen3-4B,27,resid,0,clean_minus_corrupted_logit_diff_after_ablation,5.375,-5.0,-5.525390625,-0.050640060240963854,,,zero,dmm,top-k,"15,16,27"
ablation,qwen3-4b,Qwen/Qwen3-4B,27,resid,1,clean_minus_corrupted_logit_diff_after_ablation,9.0,-5.9375,1.8671875,0.522489539748954,,,zero,dmm,top-k,"15,16,27"
ablation,qwen3-4b,Qwen/Qwen3-4B,27,resid,2,clean_minus_corrupted_logit_diff_after_ablation,8.375,-5.375,-2.2109375,0.23011363636363635,,,zero,dmm,top-k,"15,16,27"
ablation,qwen3-4b,Qwen/Qwen3-4B,27,resid,3,clean_minus_corrupted_logit_diff_after_ablation,3.875,-2.125,0.998046875,0.5205078125,,,zero,dmm,top-k,"15,16,27"
ablation,qwen3-4b,Qwen/Qwen3-4B,27,resid,4,clean_minus_corrupted_logit_diff_after_ablation,6.375,-3.125,3.515625,0.6990131578947368,,,zero,dmm,top-k,"15,16,27"
ablation,qwen3-4b,Qwen/Qwen3-4B,27,resid,5,clean_minus_corrupted_logit_diff_after_ablation,7.375,-4.875,3.20703125,0.6597576530612245,,,zero,dmm,top-k,"15,16,27"
ablation,qwen3-4b,Qwen/Qwen3-4B,27,resid,6,clean_minus_corrupted_logit_diff_after_ablation,5.125,-2.375,1.2802734375,0.48736979166666666,,,zero,dmm,top-k,"15,16,27"
