experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
ablation,gpt2,gpt2,8,resid,0,clean_minus_corrupted_logit_diff_after_ablation,0.6456069946289062,0.25009918212890625,-2.1454925537109375,-6.057002314814815,,,zero,dmm,top-k,"8,9,11"
ablation,gpt2,gpt2,8,resid,1,clean_minus_corrupted_logit_diff_after_ablation,0.4299774169921875,-0.042999267578125,-1.7429046630859375,-3.5940574894344612,,,zero,dmm,top-k,"8,9,11"
ablation,gpt2,gpt2,8,resid,2,clean_minus_corrupted_logit_diff_after_ablation,0.2717742919921875,0.35225677490234375,-2.8344268798828125,39.59474831737605,,,zero,dmm,top-k,"8,9,11"
ablation,gpt2,gpt2,8,resid,3,clean_minus_corrupted_logit_diff_after_ablation,0.8039779663085938,0.8049468994140625,-2.182952880859375,3083.700787401575,,,zero,dmm,top-k,"8,9,11"
ablation,gpt2,gpt2,8,resid,4,clean_minus_corrupted_logit_diff_after_ablation,0.3958587646484375,0.33736419677734375,-2.6999359130859375,-51.92448154428068,,,zero,dmm,top-k,"8,9,11"
ablation,gpt2,gpt2,8,resid,5,clean_minus_corrupted_logit_diff_after_ablation,0.5470428466796875,0.4954071044921875,-2.4611892700195312,-57.25871749408984,,,zero,dmm,top-k,"8,9,11"
ablation,gpt2,gpt2,8,resid,6,clean_minus_corrupted_logit_diff_after_ablation,0.38825225830078125,0.5938720703125,-0.5821685791015625,5.7194909279804085,,,zero,dmm,top-k,"8,9,11"
ablation,gpt2,gpt2,9,resid,0,clean_minus_corrupted_logit_diff_after_ablation,0.6456069946289062,0.25009918212890625,-1.440826416015625,-4.275327932098765,,,zero,dmm,top-k,"8,9,11"
ablation,gpt2,gpt2,9,resid,1,clean_minus_corrupted_logit_diff_after_ablation,0.4299774169921875,-0.042999267578125,-1.7830028533935547,-3.67883585508275,,,zero,dmm,top-k,"8,9,11"
ablation,gpt2,gpt2,9,resid,2,clean_minus_corrupted_logit_diff_after_ablation,0.2717742919921875,0.35225677490234375,-1.9094600677490234,28.101976490662622,,,zero,dmm,top-k,"8,9,11"
ablation,gpt2,gpt2,9,resid,3,clean_minus_corrupted_logit_diff_after_ablation,0.8039779663085938,0.8049468994140625,-1.3167800903320312,2189.755905511811,,,zero,dmm,top-k,"8,9,11"
ablation,gpt2,gpt2,9,resid,4,clean_minus_corrupted_logit_diff_after_ablation,0.3958587646484375,0.33736419677734375,-1.723978042602539,-35.23989174383723,,,zero,dmm,top-k,"8,9,11"
ablation,gpt2,gpt2,9,resid,5,clean_minus_corrupted_logit_diff_after_ablation,0.5470428466796875,0.4954071044921875,-1.7195568084716797,-42.895944148936174,,,zero,dmm,top-k,"8,9,11"
ablation,gpt2,gpt2,9,resid,6,clean_minus_corrupted_logit_diff_after_ablation,0.38825225830078125,0.5938720703125,-1.5657501220703125,10.502986902155763,,,zero,dmm,top-k,"8,9,11"
ablation,gpt2,gpt2,11,resid,0,clean_minus_corrupted_logit_diff_after_ablation,0.6456069946289062,0.25009918212890625,-0.6759653091430664,-2.341456886574074,,,zero,dmm,top-k,"8,9,11"
ablation,gpt2,gpt2,11,resid,1,clean_minus_corrupted_logit_diff_after_ablation,0.4299774169921875,-0.042999267578125,-0.6759653091430664,-1.338260557473304,,,zero,dmm,top-k,"8,9,11"
ablation,gpt2,gpt2,11,resid,2,clean_minus_corrupted_logit_diff_after_ablation,0.2717742919921875,0.35225677490234375,-0.6759653091430664,12.775725187221537,,,zero,dmm,top-k,"8,9,11"
ablation,gpt2,gpt2,11,resid,3,clean_minus_corrupted_logit_diff_after_ablation,0.8039779663085938,0.8049468994140625,-0.6759653091430664,1528.3946850393702,,,zero,dmm,top-k,"8,9,11"
ablation,gpt2,gpt2,11,resid,4,clean_minus_corrupted_logit_diff_after_ablation,0.3958587646484375,0.33736419677734375,-0.6759653091430664,-17.32348050084779,,,zero,dmm,top-k,"8,9,11"
ablation,gpt2,gpt2,11,resid,5,clean_minus_corrupted_logit_diff_after_ablation,0.5470428466796875,0.4954071044921875,-0.6759653091430664,-22.6853021572104,,,zero,dmm,top-k,"8,9,11"
ablation,gpt2,gpt2,11,resid,6,clean_minus_corrupted_logit_diff_after_ablation,0.38825225830078125,0.5938720703125,-0.6759653091430664,6.175656747430522,,,zero,dmm,top-k,"8,9,11"
