experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,resid,0,clean_minus_corrupted_logit_diff_after_ablation,0.75,0.125,-0.3125,-0.7,,,zero,dmm,best,4
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,resid,1,clean_minus_corrupted_logit_diff_after_ablation,0.5,-0.125,0.4375,0.9,,,zero,dmm,best,4
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,resid,2,clean_minus_corrupted_logit_diff_after_ablation,1.0,0.0,-0.0625,-0.0625,,,zero,dmm,best,4
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,resid,3,clean_minus_corrupted_logit_diff_after_ablation,1.25,0.5,1.375,1.1666666666666667,,,zero,dmm,best,4
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,resid,4,clean_minus_corrupted_logit_diff_after_ablation,0.75,0.625,0.8125,1.5,,,zero,dmm,best,4
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,resid,5,clean_minus_corrupted_logit_diff_after_ablation,1.0,-0.25,1.5,1.4,,,zero,dmm,best,4
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,resid,6,clean_minus_corrupted_logit_diff_after_ablation,0.625,0.25,1.0,2.0,,,zero,dmm,best,4
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,attn,0,clean_minus_corrupted_logit_diff_after_ablation,0.75,0.125,0.625,0.8,,,zero,dmm,best,4
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,attn,1,clean_minus_corrupted_logit_diff_after_ablation,0.5,-0.125,0.5,1.0,,,zero,dmm,best,4
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,attn,2,clean_minus_corrupted_logit_diff_after_ablation,1.0,0.0,0.875,0.875,,,zero,dmm,best,4
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,attn,3,clean_minus_corrupted_logit_diff_after_ablation,1.25,0.5,1.125,0.8333333333333334,,,zero,dmm,best,4
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,attn,4,clean_minus_corrupted_logit_diff_after_ablation,0.75,0.625,0.625,0.0,,,zero,dmm,best,4
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,attn,5,clean_minus_corrupted_logit_diff_after_ablation,1.0,-0.25,1.0,1.0,,,zero,dmm,best,4
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,attn,6,clean_minus_corrupted_logit_diff_after_ablation,0.625,0.25,0.5,0.6666666666666666,,,zero,dmm,best,4
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,mlp,0,clean_minus_corrupted_logit_diff_after_ablation,0.75,0.125,0.75,1.0,,,zero,dmm,best,4
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,mlp,1,clean_minus_corrupted_logit_diff_after_ablation,0.5,-0.125,0.5,1.0,,,zero,dmm,best,4
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,mlp,2,clean_minus_corrupted_logit_diff_after_ablation,1.0,0.0,0.875,0.875,,,zero,dmm,best,4
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,mlp,3,clean_minus_corrupted_logit_diff_after_ablation,1.25,0.5,1.125,0.8333333333333334,,,zero,dmm,best,4
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,mlp,4,clean_minus_corrupted_logit_diff_after_ablation,0.75,0.625,0.875,2.0,,,zero,dmm,best,4
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,mlp,5,clean_minus_corrupted_logit_diff_after_ablation,1.0,-0.25,1.0,1.0,,,zero,dmm,best,4
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,mlp,6,clean_minus_corrupted_logit_diff_after_ablation,0.625,0.25,0.625,1.0,,,zero,dmm,best,4
