experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,resid,0,clean_minus_corrupted_logit_diff_after_ablation,2.0,-6.25,2.75,1.0909090909090908,,,zero,dmm,top-k,"8,13,15"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,resid,1,clean_minus_corrupted_logit_diff_after_ablation,0.75,-8.0,1.0,1.0285714285714285,,,zero,dmm,top-k,"8,13,15"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,resid,2,clean_minus_corrupted_logit_diff_after_ablation,2.5,-5.75,1.5,0.8787878787878788,,,zero,dmm,top-k,"8,13,15"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,resid,3,clean_minus_corrupted_logit_diff_after_ablation,1.5,-5.75,0.5,0.8620689655172413,,,zero,dmm,top-k,"8,13,15"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,resid,4,clean_minus_corrupted_logit_diff_after_ablation,1.5,-5.0,0.25,0.8076923076923077,,,zero,dmm,top-k,"8,13,15"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,resid,5,clean_minus_corrupted_logit_diff_after_ablation,2.0,-8.25,-1.0,0.7073170731707317,,,zero,dmm,top-k,"8,13,15"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,resid,6,clean_minus_corrupted_logit_diff_after_ablation,2.0,-5.25,2.0,1.0,,,zero,dmm,top-k,"8,13,15"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,13,resid,0,clean_minus_corrupted_logit_diff_after_ablation,2.0,-6.25,0.25,0.7878787878787878,,,zero,dmm,top-k,"8,13,15"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,13,resid,1,clean_minus_corrupted_logit_diff_after_ablation,0.75,-8.0,2.25,1.1714285714285715,,,zero,dmm,top-k,"8,13,15"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,13,resid,2,clean_minus_corrupted_logit_diff_after_ablation,2.5,-5.75,1.5,0.8787878787878788,,,zero,dmm,top-k,"8,13,15"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,13,resid,3,clean_minus_corrupted_logit_diff_after_ablation,1.5,-5.75,0.0,0.7931034482758621,,,zero,dmm,top-k,"8,13,15"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,13,resid,4,clean_minus_corrupted_logit_diff_after_ablation,1.5,-5.0,1.25,0.9615384615384616,,,zero,dmm,top-k,"8,13,15"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,13,resid,5,clean_minus_corrupted_logit_diff_after_ablation,2.0,-8.25,0.5,0.8536585365853658,,,zero,dmm,top-k,"8,13,15"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,13,resid,6,clean_minus_corrupted_logit_diff_after_ablation,2.0,-5.25,2.5,1.0689655172413792,,,zero,dmm,top-k,"8,13,15"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,15,resid,0,clean_minus_corrupted_logit_diff_after_ablation,2.0,-6.25,1.0,0.8787878787878788,,,zero,dmm,top-k,"8,13,15"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,15,resid,1,clean_minus_corrupted_logit_diff_after_ablation,0.75,-8.0,2.0,1.1428571428571428,,,zero,dmm,top-k,"8,13,15"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,15,resid,2,clean_minus_corrupted_logit_diff_after_ablation,2.5,-5.75,-0.625,0.6212121212121212,,,zero,dmm,top-k,"8,13,15"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,15,resid,3,clean_minus_corrupted_logit_diff_after_ablation,1.5,-5.75,-0.25,0.7586206896551724,,,zero,dmm,top-k,"8,13,15"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,15,resid,4,clean_minus_corrupted_logit_diff_after_ablation,1.5,-5.0,-0.75,0.6538461538461539,,,zero,dmm,top-k,"8,13,15"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,15,resid,5,clean_minus_corrupted_logit_diff_after_ablation,2.0,-8.25,0.75,0.8780487804878049,,,zero,dmm,top-k,"8,13,15"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,15,resid,6,clean_minus_corrupted_logit_diff_after_ablation,2.0,-5.25,2.625,1.0862068965517242,,,zero,dmm,top-k,"8,13,15"
