experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
ablation,qwen3-4b,Qwen/Qwen3-4B,13,resid,0,clean_minus_corrupted_logit_diff_after_ablation,5.375,-5.0,1.90625,0.6656626506024096,,,zero,lr,best,13
ablation,qwen3-4b,Qwen/Qwen3-4B,13,resid,1,clean_minus_corrupted_logit_diff_after_ablation,9.0,-5.9375,-3.65625,0.15271966527196654,,,zero,lr,best,13
ablation,qwen3-4b,Qwen/Qwen3-4B,13,resid,2,clean_minus_corrupted_logit_diff_after_ablation,8.375,-5.375,1.34375,0.48863636363636365,,,zero,lr,best,13
ablation,qwen3-4b,Qwen/Qwen3-4B,13,resid,3,clean_minus_corrupted_logit_diff_after_ablation,3.875,-2.125,2.875,0.8333333333333334,,,zero,lr,best,13
ablation,qwen3-4b,Qwen/Qwen3-4B,13,resid,4,clean_minus_corrupted_logit_diff_after_ablation,6.375,-3.125,0.78125,0.41118421052631576,,,zero,lr,best,13
ablation,qwen3-4b,Qwen/Qwen3-4B,13,resid,5,clean_minus_corrupted_logit_diff_after_ablation,7.375,-4.875,8.25,1.0714285714285714,,,zero,lr,best,13
ablation,qwen3-4b,Qwen/Qwen3-4B,13,resid,6,clean_minus_corrupted_logit_diff_after_ablation,5.125,-2.375,1.25,0.48333333333333334,,,zero,lr,best,13
ablation,qwen3-4b,Qwen/Qwen3-4B,13,attn,0,clean_minus_corrupted_logit_diff_after_ablation,5.375,-5.0,6.375,1.0963855421686748,,,zero,lr,best,13
ablation,qwen3-4b,Qwen/Qwen3-4B,13,attn,1,clean_minus_corrupted_logit_diff_after_ablation,9.0,-5.9375,9.3125,1.0209205020920502,,,zero,lr,best,13
ablation,qwen3-4b,Qwen/Qwen3-4B,13,attn,2,clean_minus_corrupted_logit_diff_after_ablation,8.375,-5.375,9.25,1.0636363636363637,,,zero,lr,best,13
ablation,qwen3-4b,Qwen/Qwen3-4B,13,attn,3,clean_minus_corrupted_logit_diff_after_ablation,3.875,-2.125,5.875,1.3333333333333333,,,zero,lr,best,13
ablation,qwen3-4b,Qwen/Qwen3-4B,13,attn,4,clean_minus_corrupted_logit_diff_after_ablation,6.375,-3.125,7.5,1.118421052631579,,,zero,lr,best,13
ablation,qwen3-4b,Qwen/Qwen3-4B,13,attn,5,clean_minus_corrupted_logit_diff_after_ablation,7.375,-4.875,7.75,1.030612244897959,,,zero,lr,best,13
ablation,qwen3-4b,Qwen/Qwen3-4B,13,attn,6,clean_minus_corrupted_logit_diff_after_ablation,5.125,-2.375,5.875,1.1,,,zero,lr,best,13
ablation,qwen3-4b,Qwen/Qwen3-4B,13,mlp,0,clean_minus_corrupted_logit_diff_after_ablation,5.375,-5.0,4.125,0.8795180722891566,,,zero,lr,best,13
ablation,qwen3-4b,Qwen/Qwen3-4B,13,mlp,1,clean_minus_corrupted_logit_diff_after_ablation,9.0,-5.9375,8.25,0.9497907949790795,,,zero,lr,best,13
ablation,qwen3-4b,Qwen/Qwen3-4B,13,mlp,2,clean_minus_corrupted_logit_diff_after_ablation,8.375,-5.375,7.625,0.9454545454545454,,,zero,lr,best,13
ablation,qwen3-4b,Qwen/Qwen3-4B,13,mlp,3,clean_minus_corrupted_logit_diff_after_ablation,3.875,-2.125,3.25,0.8958333333333334,,,zero,lr,best,13
ablation,qwen3-4b,Qwen/Qwen3-4B,13,mlp,4,clean_minus_corrupted_logit_diff_after_ablation,6.375,-3.125,5.75,0.9342105263157895,,,zero,lr,best,13
ablation,qwen3-4b,Qwen/Qwen3-4B,13,mlp,5,clean_minus_corrupted_logit_diff_after_ablation,7.375,-4.875,6.25,0.9081632653061225,,,zero,lr,best,13
ablation,qwen3-4b,Qwen/Qwen3-4B,13,mlp,6,clean_minus_corrupted_logit_diff_after_ablation,5.125,-2.375,5.0,0.9833333333333333,,,zero,lr,best,13
