experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
ablation,qwen3-4b,Qwen/Qwen3-4B,12,resid,0,clean_minus_corrupted_logit_diff_after_ablation,5.375,-5.0,2.09375,0.6837349397590361,,,zero,lr,top-k,"12,13,18"
ablation,qwen3-4b,Qwen/Qwen3-4B,12,resid,1,clean_minus_corrupted_logit_diff_after_ablation,9.0,-5.9375,5.10546875,0.7392782426778243,,,zero,lr,top-k,"12,13,18"
ablation,qwen3-4b,Qwen/Qwen3-4B,12,resid,2,clean_minus_corrupted_logit_diff_after_ablation,8.375,-5.375,4.3125,0.7045454545454546,,,zero,lr,top-k,"12,13,18"
ablation,qwen3-4b,Qwen/Qwen3-4B,12,resid,3,clean_minus_corrupted_logit_diff_after_ablation,3.875,-2.125,3.21875,0.890625,,,zero,lr,top-k,"12,13,18"
ablation,qwen3-4b,Qwen/Qwen3-4B,12,resid,4,clean_minus_corrupted_logit_diff_after_ablation,6.375,-3.125,2.375,0.5789473684210527,,,zero,lr,top-k,"12,13,18"
ablation,qwen3-4b,Qwen/Qwen3-4B,12,resid,5,clean_minus_corrupted_logit_diff_after_ablation,7.375,-4.875,3.0,0.6428571428571429,,,zero,lr,top-k,"12,13,18"
ablation,qwen3-4b,Qwen/Qwen3-4B,12,resid,6,clean_minus_corrupted_logit_diff_after_ablation,5.125,-2.375,1.75,0.55,,,zero,lr,top-k,"12,13,18"
ablation,qwen3-4b,Qwen/Qwen3-4B,13,resid,0,clean_minus_corrupted_logit_diff_after_ablation,5.375,-5.0,1.90625,0.6656626506024096,,,zero,lr,top-k,"12,13,18"
ablation,qwen3-4b,Qwen/Qwen3-4B,13,resid,1,clean_minus_corrupted_logit_diff_after_ablation,9.0,-5.9375,-3.65625,0.15271966527196654,,,zero,lr,top-k,"12,13,18"
ablation,qwen3-4b,Qwen/Qwen3-4B,13,resid,2,clean_minus_corrupted_logit_diff_after_ablation,8.375,-5.375,1.34375,0.48863636363636365,,,zero,lr,top-k,"12,13,18"
ablation,qwen3-4b,Qwen/Qwen3-4B,13,resid,3,clean_minus_corrupted_logit_diff_after_ablation,3.875,-2.125,2.875,0.8333333333333334,,,zero,lr,top-k,"12,13,18"
ablation,qwen3-4b,Qwen/Qwen3-4B,13,resid,4,clean_minus_corrupted_logit_diff_after_ablation,6.375,-3.125,0.78125,0.41118421052631576,,,zero,lr,top-k,"12,13,18"
ablation,qwen3-4b,Qwen/Qwen3-4B,13,resid,5,clean_minus_corrupted_logit_diff_after_ablation,7.375,-4.875,8.25,1.0714285714285714,,,zero,lr,top-k,"12,13,18"
ablation,qwen3-4b,Qwen/Qwen3-4B,13,resid,6,clean_minus_corrupted_logit_diff_after_ablation,5.125,-2.375,1.25,0.48333333333333334,,,zero,lr,top-k,"12,13,18"
ablation,qwen3-4b,Qwen/Qwen3-4B,18,resid,0,clean_minus_corrupted_logit_diff_after_ablation,5.375,-5.0,-1.5,0.3373493975903614,,,zero,lr,top-k,"12,13,18"
ablation,qwen3-4b,Qwen/Qwen3-4B,18,resid,1,clean_minus_corrupted_logit_diff_after_ablation,9.0,-5.9375,1.96875,0.5292887029288703,,,zero,lr,top-k,"12,13,18"
ablation,qwen3-4b,Qwen/Qwen3-4B,18,resid,2,clean_minus_corrupted_logit_diff_after_ablation,8.375,-5.375,3.65625,0.6568181818181819,,,zero,lr,top-k,"12,13,18"
ablation,qwen3-4b,Qwen/Qwen3-4B,18,resid,3,clean_minus_corrupted_logit_diff_after_ablation,3.875,-2.125,1.875,0.6666666666666666,,,zero,lr,top-k,"12,13,18"
ablation,qwen3-4b,Qwen/Qwen3-4B,18,resid,4,clean_minus_corrupted_logit_diff_after_ablation,6.375,-3.125,3.375,0.6842105263157895,,,zero,lr,top-k,"12,13,18"
ablation,qwen3-4b,Qwen/Qwen3-4B,18,resid,5,clean_minus_corrupted_logit_diff_after_ablation,7.375,-4.875,0.3125,0.42346938775510207,,,zero,lr,top-k,"12,13,18"
ablation,qwen3-4b,Qwen/Qwen3-4B,18,resid,6,clean_minus_corrupted_logit_diff_after_ablation,5.125,-2.375,-0.1875,0.2916666666666667,,,zero,lr,top-k,"12,13,18"
