experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
ablation,gpt2,gpt2,10,resid,0,clean_minus_corrupted_logit_diff_after_ablation,0.6456069946289062,0.25009918212890625,0.121795654296875,-0.3244020061728395,,,zero,lr,best,10
ablation,gpt2,gpt2,10,resid,1,clean_minus_corrupted_logit_diff_after_ablation,0.4299774169921875,-0.042999267578125,0.020751953125,0.1347872374745943,,,zero,lr,best,10
ablation,gpt2,gpt2,10,resid,2,clean_minus_corrupted_logit_diff_after_ablation,0.2717742919921875,0.35225677490234375,0.0773468017578125,3.4157740070148828,,,zero,lr,best,10
ablation,gpt2,gpt2,10,resid,3,clean_minus_corrupted_logit_diff_after_ablation,0.8039779663085938,0.8049468994140625,0.2158050537109375,608.0314960629921,,,zero,lr,best,10
ablation,gpt2,gpt2,10,resid,4,clean_minus_corrupted_logit_diff_after_ablation,0.3958587646484375,0.33736419677734375,0.0199737548828125,-5.425981479066127,,,zero,lr,best,10
ablation,gpt2,gpt2,10,resid,5,clean_minus_corrupted_logit_diff_after_ablation,0.5470428466796875,0.4954071044921875,0.1530609130859375,-6.630023640661938,,,zero,lr,best,10
ablation,gpt2,gpt2,10,resid,6,clean_minus_corrupted_logit_diff_after_ablation,0.38825225830078125,0.5938720703125,0.0908660888671875,2.446291417758154,,,zero,lr,best,10
ablation,gpt2,gpt2,10,attn,0,clean_minus_corrupted_logit_diff_after_ablation,0.6456069946289062,0.25009918212890625,0.4008636474609375,0.3811921296296296,,,zero,lr,best,10
ablation,gpt2,gpt2,10,attn,1,clean_minus_corrupted_logit_diff_after_ablation,0.4299774169921875,-0.042999267578125,0.31734466552734375,0.7618640513598091,,,zero,lr,best,10
ablation,gpt2,gpt2,10,attn,2,clean_minus_corrupted_logit_diff_after_ablation,0.2717742919921875,0.35225677490234375,0.00543212890625,4.30931841880747,,,zero,lr,best,10
ablation,gpt2,gpt2,10,attn,3,clean_minus_corrupted_logit_diff_after_ablation,0.8039779663085938,0.8049468994140625,0.4831085205078125,332.15748031496065,,,zero,lr,best,10
ablation,gpt2,gpt2,10,attn,4,clean_minus_corrupted_logit_diff_after_ablation,0.3958587646484375,0.33736419677734375,0.18224334716796875,-2.6518847006651884,,,zero,lr,best,10
ablation,gpt2,gpt2,10,attn,5,clean_minus_corrupted_logit_diff_after_ablation,0.5470428466796875,0.4954071044921875,0.39727020263671875,-1.9005614657210401,,,zero,lr,best,10
ablation,gpt2,gpt2,10,attn,6,clean_minus_corrupted_logit_diff_after_ablation,0.38825225830078125,0.5938720703125,0.25432586669921875,1.6513301918296168,,,zero,lr,best,10
ablation,gpt2,gpt2,10,mlp,0,clean_minus_corrupted_logit_diff_after_ablation,0.6456069946289062,0.25009918212890625,0.7912826538085938,1.3683256172839506,,,zero,lr,best,10
ablation,gpt2,gpt2,10,mlp,1,clean_minus_corrupted_logit_diff_after_ablation,0.4299774169921875,-0.042999267578125,0.5041427612304688,1.156805497306191,,,zero,lr,best,10
ablation,gpt2,gpt2,10,mlp,2,clean_minus_corrupted_logit_diff_after_ablation,0.2717742919921875,0.35225677490234375,0.4274444580078125,-0.934211773627832,,,zero,lr,best,10
ablation,gpt2,gpt2,10,mlp,3,clean_minus_corrupted_logit_diff_after_ablation,0.8039779663085938,0.8049468994140625,0.9311676025390625,-130.26771653543307,,,zero,lr,best,10
ablation,gpt2,gpt2,10,mlp,4,clean_minus_corrupted_logit_diff_after_ablation,0.3958587646484375,0.33736419677734375,0.44275665283203125,1.8017477500978218,,,zero,lr,best,10
ablation,gpt2,gpt2,10,mlp,5,clean_minus_corrupted_logit_diff_after_ablation,0.5470428466796875,0.4954071044921875,0.6591873168945312,3.171838061465721,,,zero,lr,best,10
ablation,gpt2,gpt2,10,mlp,6,clean_minus_corrupted_logit_diff_after_ablation,0.38825225830078125,0.5938720703125,0.49713134765625,0.4704834700011131,,,zero,lr,best,10
