experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
ablation,gpt2,gpt2,9,resid,0,clean_minus_corrupted_logit_diff_after_ablation,0.6456222534179688,0.2500762939453125,-1.4408111572265625,-4.274819172533514,,,zero,lr,top-k,"9,10,11"
ablation,gpt2,gpt2,9,resid,1,clean_minus_corrupted_logit_diff_after_ablation,0.4299774169921875,-0.04296875,-1.7829837799072266,-3.6790974350701724,,,zero,lr,top-k,"9,10,11"
ablation,gpt2,gpt2,9,resid,2,clean_minus_corrupted_logit_diff_after_ablation,0.27179718017578125,0.35225677490234375,-1.909463882446289,28.1100180163095,,,zero,lr,top-k,"9,10,11"
ablation,gpt2,gpt2,9,resid,3,clean_minus_corrupted_logit_diff_after_ablation,0.8040008544921875,0.8049392700195312,-1.3167648315429688,2260.9430894308944,,,zero,lr,top-k,"9,10,11"
ablation,gpt2,gpt2,9,resid,4,clean_minus_corrupted_logit_diff_after_ablation,0.39586639404296875,0.33734130859375,-1.7239856719970703,-35.22125537739539,,,zero,lr,top-k,"9,10,11"
ablation,gpt2,gpt2,9,resid,5,clean_minus_corrupted_logit_diff_after_ablation,0.5470657348632812,0.49541473388671875,-1.7195549011230469,-42.88338257016248,,,zero,lr,top-k,"9,10,11"
ablation,gpt2,gpt2,9,resid,6,clean_minus_corrupted_logit_diff_after_ablation,0.38825225830078125,0.5938720703125,-1.5657386779785156,10.502931245593855,,,zero,lr,top-k,"9,10,11"
ablation,gpt2,gpt2,10,resid,0,clean_minus_corrupted_logit_diff_after_ablation,0.6456222534179688,0.2500762939453125,0.121826171875,-0.32423570257498313,,,zero,lr,top-k,"9,10,11"
ablation,gpt2,gpt2,10,resid,1,clean_minus_corrupted_logit_diff_after_ablation,0.4299774169921875,-0.04296875,0.020782470703125,0.1347959348281981,,,zero,lr,top-k,"9,10,11"
ablation,gpt2,gpt2,10,resid,2,clean_minus_corrupted_logit_diff_after_ablation,0.27179718017578125,0.35225677490234375,0.077362060546875,3.416556040204817,,,zero,lr,top-k,"9,10,11"
ablation,gpt2,gpt2,10,resid,3,clean_minus_corrupted_logit_diff_after_ablation,0.8040008544921875,0.8049392700195312,0.2158203125,627.780487804878,,,zero,lr,top-k,"9,10,11"
ablation,gpt2,gpt2,10,resid,4,clean_minus_corrupted_logit_diff_after_ablation,0.39586639404296875,0.33734130859375,0.0200042724609375,-5.4222396037022556,,,zero,lr,top-k,"9,10,11"
ablation,gpt2,gpt2,10,resid,5,clean_minus_corrupted_logit_diff_after_ablation,0.5470657348632812,0.49541473388671875,0.153045654296875,-6.628508124076809,,,zero,lr,top-k,"9,10,11"
ablation,gpt2,gpt2,10,resid,6,clean_minus_corrupted_logit_diff_after_ablation,0.38825225830078125,0.5938720703125,0.0908966064453125,2.4461430002597306,,,zero,lr,top-k,"9,10,11"
ablation,gpt2,gpt2,11,resid,0,clean_minus_corrupted_logit_diff_after_ablation,0.6456222534179688,0.2500762939453125,-0.6759638786315918,-2.3411695920532356,,,zero,lr,top-k,"9,10,11"
ablation,gpt2,gpt2,11,resid,1,clean_minus_corrupted_logit_diff_after_ablation,0.4299774169921875,-0.04296875,-0.6759638786315918,-1.3384084126472011,,,zero,lr,top-k,"9,10,11"
ablation,gpt2,gpt2,11,resid,2,clean_minus_corrupted_logit_diff_after_ablation,0.27179718017578125,0.35225677490234375,-0.6759638786315918,12.779341693533093,,,zero,lr,top-k,"9,10,11"
ablation,gpt2,gpt2,11,resid,3,clean_minus_corrupted_logit_diff_after_ablation,0.8040008544921875,0.8049392700195312,-0.6759638786315918,1578.0889227642276,,,zero,lr,top-k,"9,10,11"
ablation,gpt2,gpt2,11,resid,4,clean_minus_corrupted_logit_diff_after_ablation,0.39586639404296875,0.33734130859375,-0.6759638786315918,-17.31403174292791,,,zero,lr,top-k,"9,10,11"
ablation,gpt2,gpt2,11,resid,5,clean_minus_corrupted_logit_diff_after_ablation,0.5470657348632812,0.49541473388671875,-0.6759638786315918,-22.67872045790251,,,zero,lr,top-k,"9,10,11"
ablation,gpt2,gpt2,11,resid,6,clean_minus_corrupted_logit_diff_after_ablation,0.38825225830078125,0.5938720703125,-0.6759638786315918,6.175649790360284,,,zero,lr,top-k,"9,10,11"
