experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,7,resid,0,clean_minus_corrupted_logit_diff_after_ablation,0.75,0.125,0.5,0.6,,,zero,lr,top-k,"7,8,9"
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,7,resid,1,clean_minus_corrupted_logit_diff_after_ablation,0.5,-0.125,0.0,0.2,,,zero,lr,top-k,"7,8,9"
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,7,resid,2,clean_minus_corrupted_logit_diff_after_ablation,1.0,0.0,0.8125,0.8125,,,zero,lr,top-k,"7,8,9"
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,7,resid,3,clean_minus_corrupted_logit_diff_after_ablation,1.25,0.5,0.8125,0.4166666666666667,,,zero,lr,top-k,"7,8,9"
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,7,resid,4,clean_minus_corrupted_logit_diff_after_ablation,0.75,0.625,0.375,-2.0,,,zero,lr,top-k,"7,8,9"
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,7,resid,5,clean_minus_corrupted_logit_diff_after_ablation,1.0,-0.25,-0.125,0.1,,,zero,lr,top-k,"7,8,9"
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,7,resid,6,clean_minus_corrupted_logit_diff_after_ablation,0.625,0.25,0.0,-0.6666666666666666,,,zero,lr,top-k,"7,8,9"
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,0,clean_minus_corrupted_logit_diff_after_ablation,0.75,0.125,2.4375,3.7,,,zero,lr,top-k,"7,8,9"
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,1,clean_minus_corrupted_logit_diff_after_ablation,0.5,-0.125,0.0,0.2,,,zero,lr,top-k,"7,8,9"
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,2,clean_minus_corrupted_logit_diff_after_ablation,1.0,0.0,0.6875,0.6875,,,zero,lr,top-k,"7,8,9"
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,3,clean_minus_corrupted_logit_diff_after_ablation,1.25,0.5,0.0625,-0.5833333333333334,,,zero,lr,top-k,"7,8,9"
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,4,clean_minus_corrupted_logit_diff_after_ablation,0.75,0.625,1.25,5.0,,,zero,lr,top-k,"7,8,9"
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,5,clean_minus_corrupted_logit_diff_after_ablation,1.0,-0.25,1.1875,1.15,,,zero,lr,top-k,"7,8,9"
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,6,clean_minus_corrupted_logit_diff_after_ablation,0.625,0.25,-0.3125,-1.5,,,zero,lr,top-k,"7,8,9"
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,9,resid,0,clean_minus_corrupted_logit_diff_after_ablation,0.75,0.125,0.25,0.2,,,zero,lr,top-k,"7,8,9"
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,9,resid,1,clean_minus_corrupted_logit_diff_after_ablation,0.5,-0.125,1.5,2.6,,,zero,lr,top-k,"7,8,9"
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,9,resid,2,clean_minus_corrupted_logit_diff_after_ablation,1.0,0.0,0.375,0.375,,,zero,lr,top-k,"7,8,9"
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,9,resid,3,clean_minus_corrupted_logit_diff_after_ablation,1.25,0.5,0.4375,-0.08333333333333333,,,zero,lr,top-k,"7,8,9"
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,9,resid,4,clean_minus_corrupted_logit_diff_after_ablation,0.75,0.625,0.5,-1.0,,,zero,lr,top-k,"7,8,9"
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,9,resid,5,clean_minus_corrupted_logit_diff_after_ablation,1.0,-0.25,0.75,0.8,,,zero,lr,top-k,"7,8,9"
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,9,resid,6,clean_minus_corrupted_logit_diff_after_ablation,0.625,0.25,-0.625,-2.3333333333333335,,,zero,lr,top-k,"7,8,9"
