experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,resid,0,clean_minus_corrupted_logit_diff_after_ablation,2.0,-6.25,-0.8125,0.6590909090909091,,,zero,lr,best,28
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,resid,1,clean_minus_corrupted_logit_diff_after_ablation,0.75,-8.0,-0.4375,0.8642857142857143,,,zero,lr,best,28
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,resid,2,clean_minus_corrupted_logit_diff_after_ablation,2.5,-5.75,-0.6875,0.6136363636363636,,,zero,lr,best,28
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,resid,3,clean_minus_corrupted_logit_diff_after_ablation,1.5,-5.75,-1.625,0.5689655172413793,,,zero,lr,best,28
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,resid,4,clean_minus_corrupted_logit_diff_after_ablation,1.5,-5.0,-1.25,0.5769230769230769,,,zero,lr,best,28
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,resid,5,clean_minus_corrupted_logit_diff_after_ablation,2.0,-8.25,-0.375,0.7682926829268293,,,zero,lr,best,28
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,resid,6,clean_minus_corrupted_logit_diff_after_ablation,2.0,-5.25,-0.5,0.6551724137931034,,,zero,lr,best,28
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,attn,0,clean_minus_corrupted_logit_diff_after_ablation,2.0,-6.25,0.75,0.8484848484848485,,,zero,lr,best,28
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,attn,1,clean_minus_corrupted_logit_diff_after_ablation,0.75,-8.0,-0.25,0.8857142857142857,,,zero,lr,best,28
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,attn,2,clean_minus_corrupted_logit_diff_after_ablation,2.5,-5.75,1.5,0.8787878787878788,,,zero,lr,best,28
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,attn,3,clean_minus_corrupted_logit_diff_after_ablation,1.5,-5.75,0.75,0.896551724137931,,,zero,lr,best,28
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,attn,4,clean_minus_corrupted_logit_diff_after_ablation,1.5,-5.0,0.75,0.8846153846153846,,,zero,lr,best,28
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,attn,5,clean_minus_corrupted_logit_diff_after_ablation,2.0,-8.25,0.75,0.8780487804878049,,,zero,lr,best,28
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,attn,6,clean_minus_corrupted_logit_diff_after_ablation,2.0,-5.25,1.0,0.8620689655172413,,,zero,lr,best,28
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,mlp,0,clean_minus_corrupted_logit_diff_after_ablation,2.0,-6.25,2.25,1.0303030303030303,,,zero,lr,best,28
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,mlp,1,clean_minus_corrupted_logit_diff_after_ablation,0.75,-8.0,1.0,1.0285714285714285,,,zero,lr,best,28
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,mlp,2,clean_minus_corrupted_logit_diff_after_ablation,2.5,-5.75,2.75,1.0303030303030303,,,zero,lr,best,28
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,mlp,3,clean_minus_corrupted_logit_diff_after_ablation,1.5,-5.75,1.75,1.0344827586206897,,,zero,lr,best,28
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,mlp,4,clean_minus_corrupted_logit_diff_after_ablation,1.5,-5.0,1.75,1.0384615384615385,,,zero,lr,best,28
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,mlp,5,clean_minus_corrupted_logit_diff_after_ablation,2.0,-8.25,2.0,1.0,,,zero,lr,best,28
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,mlp,6,clean_minus_corrupted_logit_diff_after_ablation,2.0,-5.25,2.0,1.0,,,zero,lr,best,28
