experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,resid,0,clean_minus_corrupted_logit_diff_after_ablation,2.0,-6.25,-0.8125,0.6590909090909091,,,zero,lr,top-k,"28,29,30"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,resid,1,clean_minus_corrupted_logit_diff_after_ablation,0.75,-8.0,-0.4375,0.8642857142857143,,,zero,lr,top-k,"28,29,30"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,resid,2,clean_minus_corrupted_logit_diff_after_ablation,2.5,-5.75,-0.6875,0.6136363636363636,,,zero,lr,top-k,"28,29,30"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,resid,3,clean_minus_corrupted_logit_diff_after_ablation,1.5,-5.75,-1.625,0.5689655172413793,,,zero,lr,top-k,"28,29,30"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,resid,4,clean_minus_corrupted_logit_diff_after_ablation,1.5,-5.0,-1.25,0.5769230769230769,,,zero,lr,top-k,"28,29,30"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,resid,5,clean_minus_corrupted_logit_diff_after_ablation,2.0,-8.25,-0.375,0.7682926829268293,,,zero,lr,top-k,"28,29,30"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,resid,6,clean_minus_corrupted_logit_diff_after_ablation,2.0,-5.25,-0.5,0.6551724137931034,,,zero,lr,top-k,"28,29,30"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,29,resid,0,clean_minus_corrupted_logit_diff_after_ablation,2.0,-6.25,-1.75,0.5454545454545454,,,zero,lr,top-k,"28,29,30"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,29,resid,1,clean_minus_corrupted_logit_diff_after_ablation,0.75,-8.0,-1.875,0.7,,,zero,lr,top-k,"28,29,30"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,29,resid,2,clean_minus_corrupted_logit_diff_after_ablation,2.5,-5.75,-0.5,0.6363636363636364,,,zero,lr,top-k,"28,29,30"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,29,resid,3,clean_minus_corrupted_logit_diff_after_ablation,1.5,-5.75,-2.25,0.4827586206896552,,,zero,lr,top-k,"28,29,30"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,29,resid,4,clean_minus_corrupted_logit_diff_after_ablation,1.5,-5.0,-1.75,0.5,,,zero,lr,top-k,"28,29,30"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,29,resid,5,clean_minus_corrupted_logit_diff_after_ablation,2.0,-8.25,-2.0,0.6097560975609756,,,zero,lr,top-k,"28,29,30"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,29,resid,6,clean_minus_corrupted_logit_diff_after_ablation,2.0,-5.25,-1.75,0.4827586206896552,,,zero,lr,top-k,"28,29,30"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,30,resid,0,clean_minus_corrupted_logit_diff_after_ablation,2.0,-6.25,0.6875,0.8409090909090909,,,zero,lr,top-k,"28,29,30"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,30,resid,1,clean_minus_corrupted_logit_diff_after_ablation,0.75,-8.0,0.625,0.9857142857142858,,,zero,lr,top-k,"28,29,30"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,30,resid,2,clean_minus_corrupted_logit_diff_after_ablation,2.5,-5.75,0.5,0.7575757575757576,,,zero,lr,top-k,"28,29,30"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,30,resid,3,clean_minus_corrupted_logit_diff_after_ablation,1.5,-5.75,0.6875,0.8879310344827587,,,zero,lr,top-k,"28,29,30"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,30,resid,4,clean_minus_corrupted_logit_diff_after_ablation,1.5,-5.0,0.625,0.8653846153846154,,,zero,lr,top-k,"28,29,30"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,30,resid,5,clean_minus_corrupted_logit_diff_after_ablation,2.0,-8.25,0.6875,0.8719512195121951,,,zero,lr,top-k,"28,29,30"
ablation,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,30,resid,6,clean_minus_corrupted_logit_diff_after_ablation,2.0,-5.25,0.6875,0.8189655172413793,,,zero,lr,top-k,"28,29,30"
