experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
activation_patching,qwen3-4b,Qwen/Qwen3-4B,17,resid,0,clean_minus_corrupted_logit_diff,5.375,-5.0,-5.875,-0.08433734939759036,,,,attn,top-k,"17,25,26"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,17,resid,1,clean_minus_corrupted_logit_diff,9.0,-5.9375,-6.625,-0.04602510460251046,,,,attn,top-k,"17,25,26"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,17,resid,2,clean_minus_corrupted_logit_diff,8.375,-5.375,-6.375,-0.07272727272727272,,,,attn,top-k,"17,25,26"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,17,resid,3,clean_minus_corrupted_logit_diff,3.875,-2.125,-2.875,-0.125,,,,attn,top-k,"17,25,26"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,17,resid,4,clean_minus_corrupted_logit_diff,6.375,-3.125,-3.625,-0.05263157894736842,,,,attn,top-k,"17,25,26"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,17,resid,5,clean_minus_corrupted_logit_diff,7.375,-4.875,-5.75,-0.07142857142857142,,,,attn,top-k,"17,25,26"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,17,resid,6,clean_minus_corrupted_logit_diff,5.125,-2.375,-3.75,-0.18333333333333332,,,,attn,top-k,"17,25,26"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,25,resid,0,clean_minus_corrupted_logit_diff,5.375,-5.0,-0.5,0.43373493975903615,,,,attn,top-k,"17,25,26"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,25,resid,1,clean_minus_corrupted_logit_diff,9.0,-5.9375,1.75,0.5146443514644351,,,,attn,top-k,"17,25,26"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,25,resid,2,clean_minus_corrupted_logit_diff,8.375,-5.375,1.5,0.5,,,,attn,top-k,"17,25,26"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,25,resid,3,clean_minus_corrupted_logit_diff,3.875,-2.125,1.375,0.5833333333333334,,,,attn,top-k,"17,25,26"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,25,resid,4,clean_minus_corrupted_logit_diff,6.375,-3.125,1.625,0.5,,,,attn,top-k,"17,25,26"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,25,resid,5,clean_minus_corrupted_logit_diff,7.375,-4.875,-0.625,0.3469387755102041,,,,attn,top-k,"17,25,26"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,25,resid,6,clean_minus_corrupted_logit_diff,5.125,-2.375,1.75,0.55,,,,attn,top-k,"17,25,26"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,26,resid,0,clean_minus_corrupted_logit_diff,5.375,-5.0,0.625,0.5421686746987951,,,,attn,top-k,"17,25,26"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,26,resid,1,clean_minus_corrupted_logit_diff,9.0,-5.9375,4.125,0.6736401673640168,,,,attn,top-k,"17,25,26"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,26,resid,2,clean_minus_corrupted_logit_diff,8.375,-5.375,3.0,0.6090909090909091,,,,attn,top-k,"17,25,26"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,26,resid,3,clean_minus_corrupted_logit_diff,3.875,-2.125,2.25,0.7291666666666666,,,,attn,top-k,"17,25,26"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,26,resid,4,clean_minus_corrupted_logit_diff,6.375,-3.125,2.875,0.631578947368421,,,,attn,top-k,"17,25,26"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,26,resid,5,clean_minus_corrupted_logit_diff,7.375,-4.875,1.75,0.5408163265306123,,,,attn,top-k,"17,25,26"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,26,resid,6,clean_minus_corrupted_logit_diff,5.125,-2.375,2.75,0.6833333333333333,,,,attn,top-k,"17,25,26"
