experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
activation_patching,gpt2,gpt2,4,resid,0,clean_minus_corrupted_logit_diff,0.6456069946289062,0.25009918212890625,0.3079986572265625,0.14639274691358026,,,,attn,top-k,"4,7,9"
activation_patching,gpt2,gpt2,4,resid,1,clean_minus_corrupted_logit_diff,0.4299774169921875,-0.042999267578125,-0.0290069580078125,0.029583508081427234,,,,attn,top-k,"4,7,9"
activation_patching,gpt2,gpt2,4,resid,2,clean_minus_corrupted_logit_diff,0.2717742919921875,0.35225677490234375,0.368865966796875,-0.20637027206370273,,,,attn,top-k,"4,7,9"
activation_patching,gpt2,gpt2,4,resid,3,clean_minus_corrupted_logit_diff,0.8039779663085938,0.8049468994140625,0.8924102783203125,-90.26771653543307,,,,attn,top-k,"4,7,9"
activation_patching,gpt2,gpt2,4,resid,4,clean_minus_corrupted_logit_diff,0.3958587646484375,0.33736419677734375,0.2908782958984375,-0.7947045780618234,,,,attn,top-k,"4,7,9"
activation_patching,gpt2,gpt2,4,resid,5,clean_minus_corrupted_logit_diff,0.5470428466796875,0.4954071044921875,0.4989471435546875,0.06855791962174941,,,,attn,top-k,"4,7,9"
activation_patching,gpt2,gpt2,4,resid,6,clean_minus_corrupted_logit_diff,0.38825225830078125,0.5938720703125,0.5931930541992188,0.0033022893399131757,,,,attn,top-k,"4,7,9"
activation_patching,gpt2,gpt2,7,resid,0,clean_minus_corrupted_logit_diff,0.6456069946289062,0.25009918212890625,0.327392578125,0.19542824074074075,,,,attn,top-k,"4,7,9"
activation_patching,gpt2,gpt2,7,resid,1,clean_minus_corrupted_logit_diff,0.4299774169921875,-0.042999267578125,0.0698089599609375,0.23850695228570507,,,,attn,top-k,"4,7,9"
activation_patching,gpt2,gpt2,7,resid,2,clean_minus_corrupted_logit_diff,0.2717742919921875,0.35225677490234375,0.41365814208984375,-0.7629159162005877,,,,attn,top-k,"4,7,9"
activation_patching,gpt2,gpt2,7,resid,3,clean_minus_corrupted_logit_diff,0.8039779663085938,0.8049468994140625,0.9863967895507812,-187.26771653543307,,,,attn,top-k,"4,7,9"
activation_patching,gpt2,gpt2,7,resid,4,clean_minus_corrupted_logit_diff,0.3958587646484375,0.33736419677734375,0.34387969970703125,0.11138646145819747,,,,attn,top-k,"4,7,9"
activation_patching,gpt2,gpt2,7,resid,5,clean_minus_corrupted_logit_diff,0.5470428466796875,0.4954071044921875,0.6072921752929688,2.1668144208037825,,,,attn,top-k,"4,7,9"
activation_patching,gpt2,gpt2,7,resid,6,clean_minus_corrupted_logit_diff,0.38825225830078125,0.5938720703125,0.5024642944335938,0.4445475121516827,,,,attn,top-k,"4,7,9"
activation_patching,gpt2,gpt2,9,resid,0,clean_minus_corrupted_logit_diff,0.6456069946289062,0.25009918212890625,0.4239959716796875,0.4396797839506173,,,,attn,top-k,"4,7,9"
activation_patching,gpt2,gpt2,9,resid,1,clean_minus_corrupted_logit_diff,0.4299774169921875,-0.042999267578125,0.29259490966796875,0.7095364067490403,,,,attn,top-k,"4,7,9"
activation_patching,gpt2,gpt2,9,resid,2,clean_minus_corrupted_logit_diff,0.2717742919921875,0.35225677490234375,0.473968505859375,-1.5122760451227604,,,,attn,top-k,"4,7,9"
activation_patching,gpt2,gpt2,9,resid,3,clean_minus_corrupted_logit_diff,0.8039779663085938,0.8049468994140625,0.9752044677734375,-175.71653543307087,,,,attn,top-k,"4,7,9"
activation_patching,gpt2,gpt2,9,resid,4,clean_minus_corrupted_logit_diff,0.3958587646484375,0.33736419677734375,0.211273193359375,-2.1556019303508545,,,,attn,top-k,"4,7,9"
activation_patching,gpt2,gpt2,9,resid,5,clean_minus_corrupted_logit_diff,0.5470428466796875,0.4954071044921875,0.6345672607421875,2.6950354609929077,,,,attn,top-k,"4,7,9"
activation_patching,gpt2,gpt2,9,resid,6,clean_minus_corrupted_logit_diff,0.38825225830078125,0.5938720703125,0.6472854614257812,-0.2597677266149679,,,,attn,top-k,"4,7,9"
