experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
activation_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,resid,0,clean_minus_corrupted_logit_diff,0.75,0.125,0.75,1.0,,,,attn,best,20
activation_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,resid,1,clean_minus_corrupted_logit_diff,0.5,-0.125,0.625,1.2,,,,attn,best,20
activation_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,resid,2,clean_minus_corrupted_logit_diff,1.0,0.0,0.875,0.875,,,,attn,best,20
activation_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,resid,3,clean_minus_corrupted_logit_diff,1.25,0.5,1.125,0.8333333333333334,,,,attn,best,20
activation_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,resid,4,clean_minus_corrupted_logit_diff,0.75,0.625,0.875,2.0,,,,attn,best,20
activation_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,resid,5,clean_minus_corrupted_logit_diff,1.0,-0.25,1.0,1.0,,,,attn,best,20
activation_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,resid,6,clean_minus_corrupted_logit_diff,0.625,0.25,0.875,1.6666666666666667,,,,attn,best,20
activation_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,attn,0,clean_minus_corrupted_logit_diff,0.75,0.125,0.125,0.0,,,,attn,best,20
activation_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,attn,1,clean_minus_corrupted_logit_diff,0.5,-0.125,0.0,0.2,,,,attn,best,20
activation_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,attn,2,clean_minus_corrupted_logit_diff,1.0,0.0,0.125,0.125,,,,attn,best,20
activation_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,attn,3,clean_minus_corrupted_logit_diff,1.25,0.5,0.75,0.3333333333333333,,,,attn,best,20
activation_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,attn,4,clean_minus_corrupted_logit_diff,0.75,0.625,0.625,0.0,,,,attn,best,20
activation_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,attn,5,clean_minus_corrupted_logit_diff,1.0,-0.25,0.125,0.3,,,,attn,best,20
activation_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,attn,6,clean_minus_corrupted_logit_diff,0.625,0.25,0.625,1.0,,,,attn,best,20
activation_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,mlp,0,clean_minus_corrupted_logit_diff,0.75,0.125,0.125,0.0,,,,attn,best,20
activation_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,mlp,1,clean_minus_corrupted_logit_diff,0.5,-0.125,-0.125,0.0,,,,attn,best,20
activation_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,mlp,2,clean_minus_corrupted_logit_diff,1.0,0.0,0.125,0.125,,,,attn,best,20
activation_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,mlp,3,clean_minus_corrupted_logit_diff,1.25,0.5,0.375,-0.16666666666666666,,,,attn,best,20
activation_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,mlp,4,clean_minus_corrupted_logit_diff,0.75,0.625,0.5,-1.0,,,,attn,best,20
activation_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,mlp,5,clean_minus_corrupted_logit_diff,1.0,-0.25,-0.125,0.1,,,,attn,best,20
activation_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,mlp,6,clean_minus_corrupted_logit_diff,0.625,0.25,0.375,0.3333333333333333,,,,attn,best,20
