experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,5,resid,0,clean_minus_corrupted_logit_diff,2.0,-6.25,-6.75,-0.06060606060606061,,,,attn,top-k,"5,8,17"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,5,resid,1,clean_minus_corrupted_logit_diff,0.75,-8.0,-7.75,0.02857142857142857,,,,attn,top-k,"5,8,17"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,5,resid,2,clean_minus_corrupted_logit_diff,2.5,-5.75,-5.75,0.0,,,,attn,top-k,"5,8,17"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,5,resid,3,clean_minus_corrupted_logit_diff,1.5,-5.75,-5.75,0.0,,,,attn,top-k,"5,8,17"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,5,resid,4,clean_minus_corrupted_logit_diff,1.5,-5.0,-4.75,0.038461538461538464,,,,attn,top-k,"5,8,17"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,5,resid,5,clean_minus_corrupted_logit_diff,2.0,-8.25,-8.0,0.024390243902439025,,,,attn,top-k,"5,8,17"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,5,resid,6,clean_minus_corrupted_logit_diff,2.0,-5.25,-5.25,0.0,,,,attn,top-k,"5,8,17"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,resid,0,clean_minus_corrupted_logit_diff,2.0,-6.25,-6.75,-0.06060606060606061,,,,attn,top-k,"5,8,17"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,resid,1,clean_minus_corrupted_logit_diff,0.75,-8.0,-7.75,0.02857142857142857,,,,attn,top-k,"5,8,17"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,resid,2,clean_minus_corrupted_logit_diff,2.5,-5.75,-6.0,-0.030303030303030304,,,,attn,top-k,"5,8,17"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,resid,3,clean_minus_corrupted_logit_diff,1.5,-5.75,-5.75,0.0,,,,attn,top-k,"5,8,17"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,resid,4,clean_minus_corrupted_logit_diff,1.5,-5.0,-4.75,0.038461538461538464,,,,attn,top-k,"5,8,17"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,resid,5,clean_minus_corrupted_logit_diff,2.0,-8.25,-8.25,0.0,,,,attn,top-k,"5,8,17"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,resid,6,clean_minus_corrupted_logit_diff,2.0,-5.25,-5.5,-0.034482758620689655,,,,attn,top-k,"5,8,17"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,17,resid,0,clean_minus_corrupted_logit_diff,2.0,-6.25,-3.25,0.36363636363636365,,,,attn,top-k,"5,8,17"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,17,resid,1,clean_minus_corrupted_logit_diff,0.75,-8.0,-5.0,0.34285714285714286,,,,attn,top-k,"5,8,17"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,17,resid,2,clean_minus_corrupted_logit_diff,2.5,-5.75,-3.0,0.3333333333333333,,,,attn,top-k,"5,8,17"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,17,resid,3,clean_minus_corrupted_logit_diff,1.5,-5.75,-3.25,0.3448275862068966,,,,attn,top-k,"5,8,17"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,17,resid,4,clean_minus_corrupted_logit_diff,1.5,-5.0,-2.25,0.4230769230769231,,,,attn,top-k,"5,8,17"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,17,resid,5,clean_minus_corrupted_logit_diff,2.0,-8.25,-3.75,0.43902439024390244,,,,attn,top-k,"5,8,17"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,17,resid,6,clean_minus_corrupted_logit_diff,2.0,-5.25,-3.0,0.3103448275862069,,,,attn,top-k,"5,8,17"
