experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
activation_patching,qwen3-4b,Qwen/Qwen3-4B,27,resid,0,clean_minus_corrupted_logit_diff,5.375,-5.0,0.75,0.5542168674698795,,,,dmm,best,27
activation_patching,qwen3-4b,Qwen/Qwen3-4B,27,resid,1,clean_minus_corrupted_logit_diff,9.0,-5.9375,4.125,0.6736401673640168,,,,dmm,best,27
activation_patching,qwen3-4b,Qwen/Qwen3-4B,27,resid,2,clean_minus_corrupted_logit_diff,8.375,-5.375,3.0,0.6090909090909091,,,,dmm,best,27
activation_patching,qwen3-4b,Qwen/Qwen3-4B,27,resid,3,clean_minus_corrupted_logit_diff,3.875,-2.125,2.25,0.7291666666666666,,,,dmm,best,27
activation_patching,qwen3-4b,Qwen/Qwen3-4B,27,resid,4,clean_minus_corrupted_logit_diff,6.375,-3.125,3.0,0.6447368421052632,,,,dmm,best,27
activation_patching,qwen3-4b,Qwen/Qwen3-4B,27,resid,5,clean_minus_corrupted_logit_diff,7.375,-4.875,2.0,0.5612244897959183,,,,dmm,best,27
activation_patching,qwen3-4b,Qwen/Qwen3-4B,27,resid,6,clean_minus_corrupted_logit_diff,5.125,-2.375,2.75,0.6833333333333333,,,,dmm,best,27
activation_patching,qwen3-4b,Qwen/Qwen3-4B,27,attn,0,clean_minus_corrupted_logit_diff,5.375,-5.0,-5.0,0.0,,,,dmm,best,27
activation_patching,qwen3-4b,Qwen/Qwen3-4B,27,attn,1,clean_minus_corrupted_logit_diff,9.0,-5.9375,-6.0,-0.0041841004184100415,,,,dmm,best,27
activation_patching,qwen3-4b,Qwen/Qwen3-4B,27,attn,2,clean_minus_corrupted_logit_diff,8.375,-5.375,-5.625,-0.01818181818181818,,,,dmm,best,27
activation_patching,qwen3-4b,Qwen/Qwen3-4B,27,attn,3,clean_minus_corrupted_logit_diff,3.875,-2.125,-2.25,-0.020833333333333332,,,,dmm,best,27
activation_patching,qwen3-4b,Qwen/Qwen3-4B,27,attn,4,clean_minus_corrupted_logit_diff,6.375,-3.125,-3.25,-0.013157894736842105,,,,dmm,best,27
activation_patching,qwen3-4b,Qwen/Qwen3-4B,27,attn,5,clean_minus_corrupted_logit_diff,7.375,-4.875,-4.875,0.0,,,,dmm,best,27
activation_patching,qwen3-4b,Qwen/Qwen3-4B,27,attn,6,clean_minus_corrupted_logit_diff,5.125,-2.375,-2.375,0.0,,,,dmm,best,27
activation_patching,qwen3-4b,Qwen/Qwen3-4B,27,mlp,0,clean_minus_corrupted_logit_diff,5.375,-5.0,-3.875,0.10843373493975904,,,,dmm,best,27
activation_patching,qwen3-4b,Qwen/Qwen3-4B,27,mlp,1,clean_minus_corrupted_logit_diff,9.0,-5.9375,-4.75,0.0794979079497908,,,,dmm,best,27
activation_patching,qwen3-4b,Qwen/Qwen3-4B,27,mlp,2,clean_minus_corrupted_logit_diff,8.375,-5.375,-4.0,0.1,,,,dmm,best,27
activation_patching,qwen3-4b,Qwen/Qwen3-4B,27,mlp,3,clean_minus_corrupted_logit_diff,3.875,-2.125,-1.125,0.16666666666666666,,,,dmm,best,27
activation_patching,qwen3-4b,Qwen/Qwen3-4B,27,mlp,4,clean_minus_corrupted_logit_diff,6.375,-3.125,-2.125,0.10526315789473684,,,,dmm,best,27
activation_patching,qwen3-4b,Qwen/Qwen3-4B,27,mlp,5,clean_minus_corrupted_logit_diff,7.375,-4.875,-3.5,0.11224489795918367,,,,dmm,best,27
activation_patching,qwen3-4b,Qwen/Qwen3-4B,27,mlp,6,clean_minus_corrupted_logit_diff,5.125,-2.375,-1.625,0.1,,,,dmm,best,27
