experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
activation_patching,qwen3-4b,Qwen/Qwen3-4B,15,resid,0,clean_minus_corrupted_logit_diff,5.375,-5.0,-5.625,-0.060240963855421686,,,,dmm,top-k,"15,16,27"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,15,resid,1,clean_minus_corrupted_logit_diff,9.0,-5.9375,-6.3125,-0.02510460251046025,,,,dmm,top-k,"15,16,27"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,15,resid,2,clean_minus_corrupted_logit_diff,8.375,-5.375,-5.625,-0.01818181818181818,,,,dmm,top-k,"15,16,27"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,15,resid,3,clean_minus_corrupted_logit_diff,3.875,-2.125,-2.5,-0.0625,,,,dmm,top-k,"15,16,27"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,15,resid,4,clean_minus_corrupted_logit_diff,6.375,-3.125,-3.375,-0.02631578947368421,,,,dmm,top-k,"15,16,27"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,15,resid,5,clean_minus_corrupted_logit_diff,7.375,-4.875,-5.25,-0.030612244897959183,,,,dmm,top-k,"15,16,27"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,15,resid,6,clean_minus_corrupted_logit_diff,5.125,-2.375,-3.5,-0.15,,,,dmm,top-k,"15,16,27"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,16,resid,0,clean_minus_corrupted_logit_diff,5.375,-5.0,-5.5,-0.04819277108433735,,,,dmm,top-k,"15,16,27"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,16,resid,1,clean_minus_corrupted_logit_diff,9.0,-5.9375,-6.3125,-0.02510460251046025,,,,dmm,top-k,"15,16,27"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,16,resid,2,clean_minus_corrupted_logit_diff,8.375,-5.375,-6.0,-0.045454545454545456,,,,dmm,top-k,"15,16,27"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,16,resid,3,clean_minus_corrupted_logit_diff,3.875,-2.125,-2.625,-0.08333333333333333,,,,dmm,top-k,"15,16,27"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,16,resid,4,clean_minus_corrupted_logit_diff,6.375,-3.125,-3.5,-0.039473684210526314,,,,dmm,top-k,"15,16,27"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,16,resid,5,clean_minus_corrupted_logit_diff,7.375,-4.875,-5.375,-0.04081632653061224,,,,dmm,top-k,"15,16,27"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,16,resid,6,clean_minus_corrupted_logit_diff,5.125,-2.375,-3.625,-0.16666666666666666,,,,dmm,top-k,"15,16,27"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,27,resid,0,clean_minus_corrupted_logit_diff,5.375,-5.0,0.75,0.5542168674698795,,,,dmm,top-k,"15,16,27"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,27,resid,1,clean_minus_corrupted_logit_diff,9.0,-5.9375,4.125,0.6736401673640168,,,,dmm,top-k,"15,16,27"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,27,resid,2,clean_minus_corrupted_logit_diff,8.375,-5.375,3.0,0.6090909090909091,,,,dmm,top-k,"15,16,27"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,27,resid,3,clean_minus_corrupted_logit_diff,3.875,-2.125,2.25,0.7291666666666666,,,,dmm,top-k,"15,16,27"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,27,resid,4,clean_minus_corrupted_logit_diff,6.375,-3.125,3.0,0.6447368421052632,,,,dmm,top-k,"15,16,27"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,27,resid,5,clean_minus_corrupted_logit_diff,7.375,-4.875,2.0,0.5612244897959183,,,,dmm,top-k,"15,16,27"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,27,resid,6,clean_minus_corrupted_logit_diff,5.125,-2.375,2.75,0.6833333333333333,,,,dmm,top-k,"15,16,27"
