experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,resid,0,clean_minus_corrupted_logit_diff,2.0,-6.25,-6.75,-0.06060606060606061,,,,dmm,best,8
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,resid,1,clean_minus_corrupted_logit_diff,0.75,-8.0,-7.75,0.02857142857142857,,,,dmm,best,8
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,resid,2,clean_minus_corrupted_logit_diff,2.5,-5.75,-6.0,-0.030303030303030304,,,,dmm,best,8
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,resid,3,clean_minus_corrupted_logit_diff,1.5,-5.75,-5.75,0.0,,,,dmm,best,8
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,resid,4,clean_minus_corrupted_logit_diff,1.5,-5.0,-4.75,0.038461538461538464,,,,dmm,best,8
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,resid,5,clean_minus_corrupted_logit_diff,2.0,-8.25,-8.25,0.0,,,,dmm,best,8
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,resid,6,clean_minus_corrupted_logit_diff,2.0,-5.25,-5.5,-0.034482758620689655,,,,dmm,best,8
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,attn,0,clean_minus_corrupted_logit_diff,2.0,-6.25,-6.5,-0.030303030303030304,,,,dmm,best,8
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,attn,1,clean_minus_corrupted_logit_diff,0.75,-8.0,-8.0,0.0,,,,dmm,best,8
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,attn,2,clean_minus_corrupted_logit_diff,2.5,-5.75,-6.0,-0.030303030303030304,,,,dmm,best,8
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,attn,3,clean_minus_corrupted_logit_diff,1.5,-5.75,-5.5,0.034482758620689655,,,,dmm,best,8
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,attn,4,clean_minus_corrupted_logit_diff,1.5,-5.0,-4.75,0.038461538461538464,,,,dmm,best,8
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,attn,5,clean_minus_corrupted_logit_diff,2.0,-8.25,-8.0,0.024390243902439025,,,,dmm,best,8
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,attn,6,clean_minus_corrupted_logit_diff,2.0,-5.25,-5.25,0.0,,,,dmm,best,8
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,mlp,0,clean_minus_corrupted_logit_diff,2.0,-6.25,-6.25,0.0,,,,dmm,best,8
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,mlp,1,clean_minus_corrupted_logit_diff,0.75,-8.0,-8.0,0.0,,,,dmm,best,8
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,mlp,2,clean_minus_corrupted_logit_diff,2.5,-5.75,-5.5,0.030303030303030304,,,,dmm,best,8
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,mlp,3,clean_minus_corrupted_logit_diff,1.5,-5.75,-5.75,0.0,,,,dmm,best,8
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,mlp,4,clean_minus_corrupted_logit_diff,1.5,-5.0,-4.75,0.038461538461538464,,,,dmm,best,8
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,mlp,5,clean_minus_corrupted_logit_diff,2.0,-8.25,-8.25,0.0,,,,dmm,best,8
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,mlp,6,clean_minus_corrupted_logit_diff,2.0,-5.25,-5.25,0.0,,,,dmm,best,8
