experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,resid,0,clean_minus_corrupted_logit_diff,2.0,-6.25,-6.75,-0.06060606060606061,,,,dmm,top-k,"8,13,15"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,resid,1,clean_minus_corrupted_logit_diff,0.75,-8.0,-7.75,0.02857142857142857,,,,dmm,top-k,"8,13,15"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,resid,2,clean_minus_corrupted_logit_diff,2.5,-5.75,-6.0,-0.030303030303030304,,,,dmm,top-k,"8,13,15"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,resid,3,clean_minus_corrupted_logit_diff,1.5,-5.75,-5.75,0.0,,,,dmm,top-k,"8,13,15"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,resid,4,clean_minus_corrupted_logit_diff,1.5,-5.0,-4.75,0.038461538461538464,,,,dmm,top-k,"8,13,15"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,resid,5,clean_minus_corrupted_logit_diff,2.0,-8.25,-8.25,0.0,,,,dmm,top-k,"8,13,15"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,resid,6,clean_minus_corrupted_logit_diff,2.0,-5.25,-5.5,-0.034482758620689655,,,,dmm,top-k,"8,13,15"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,13,resid,0,clean_minus_corrupted_logit_diff,2.0,-6.25,-7.0,-0.09090909090909091,,,,dmm,top-k,"8,13,15"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,13,resid,1,clean_minus_corrupted_logit_diff,0.75,-8.0,-7.75,0.02857142857142857,,,,dmm,top-k,"8,13,15"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,13,resid,2,clean_minus_corrupted_logit_diff,2.5,-5.75,-6.75,-0.12121212121212122,,,,dmm,top-k,"8,13,15"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,13,resid,3,clean_minus_corrupted_logit_diff,1.5,-5.75,-6.25,-0.06896551724137931,,,,dmm,top-k,"8,13,15"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,13,resid,4,clean_minus_corrupted_logit_diff,1.5,-5.0,-4.75,0.038461538461538464,,,,dmm,top-k,"8,13,15"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,13,resid,5,clean_minus_corrupted_logit_diff,2.0,-8.25,-8.0,0.024390243902439025,,,,dmm,top-k,"8,13,15"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,13,resid,6,clean_minus_corrupted_logit_diff,2.0,-5.25,-5.75,-0.06896551724137931,,,,dmm,top-k,"8,13,15"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,15,resid,0,clean_minus_corrupted_logit_diff,2.0,-6.25,-7.0,-0.09090909090909091,,,,dmm,top-k,"8,13,15"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,15,resid,1,clean_minus_corrupted_logit_diff,0.75,-8.0,-7.5,0.05714285714285714,,,,dmm,top-k,"8,13,15"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,15,resid,2,clean_minus_corrupted_logit_diff,2.5,-5.75,-6.5,-0.09090909090909091,,,,dmm,top-k,"8,13,15"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,15,resid,3,clean_minus_corrupted_logit_diff,1.5,-5.75,-6.25,-0.06896551724137931,,,,dmm,top-k,"8,13,15"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,15,resid,4,clean_minus_corrupted_logit_diff,1.5,-5.0,-4.75,0.038461538461538464,,,,dmm,top-k,"8,13,15"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,15,resid,5,clean_minus_corrupted_logit_diff,2.0,-8.25,-7.75,0.04878048780487805,,,,dmm,top-k,"8,13,15"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,15,resid,6,clean_minus_corrupted_logit_diff,2.0,-5.25,-5.75,-0.06896551724137931,,,,dmm,top-k,"8,13,15"
