experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
activation_patching,qwen3-4b,Qwen/Qwen3-4B,13,resid,0,clean_minus_corrupted_logit_diff,5.375,-5.0,-5.125,-0.012048192771084338,,,,lr,best,13
activation_patching,qwen3-4b,Qwen/Qwen3-4B,13,resid,1,clean_minus_corrupted_logit_diff,9.0,-5.9375,-6.25,-0.02092050209205021,,,,lr,best,13
activation_patching,qwen3-4b,Qwen/Qwen3-4B,13,resid,2,clean_minus_corrupted_logit_diff,8.375,-5.375,-5.5625,-0.013636363636363636,,,,lr,best,13
activation_patching,qwen3-4b,Qwen/Qwen3-4B,13,resid,3,clean_minus_corrupted_logit_diff,3.875,-2.125,-2.25,-0.020833333333333332,,,,lr,best,13
activation_patching,qwen3-4b,Qwen/Qwen3-4B,13,resid,4,clean_minus_corrupted_logit_diff,6.375,-3.125,-3.0,0.013157894736842105,,,,lr,best,13
activation_patching,qwen3-4b,Qwen/Qwen3-4B,13,resid,5,clean_minus_corrupted_logit_diff,7.375,-4.875,-5.375,-0.04081632653061224,,,,lr,best,13
activation_patching,qwen3-4b,Qwen/Qwen3-4B,13,resid,6,clean_minus_corrupted_logit_diff,5.125,-2.375,-2.75,-0.05,,,,lr,best,13
activation_patching,qwen3-4b,Qwen/Qwen3-4B,13,attn,0,clean_minus_corrupted_logit_diff,5.375,-5.0,-5.125,-0.012048192771084338,,,,lr,best,13
activation_patching,qwen3-4b,Qwen/Qwen3-4B,13,attn,1,clean_minus_corrupted_logit_diff,9.0,-5.9375,-5.75,0.012552301255230125,,,,lr,best,13
activation_patching,qwen3-4b,Qwen/Qwen3-4B,13,attn,2,clean_minus_corrupted_logit_diff,8.375,-5.375,-5.875,-0.03636363636363636,,,,lr,best,13
activation_patching,qwen3-4b,Qwen/Qwen3-4B,13,attn,3,clean_minus_corrupted_logit_diff,3.875,-2.125,-2.125,0.0,,,,lr,best,13
activation_patching,qwen3-4b,Qwen/Qwen3-4B,13,attn,4,clean_minus_corrupted_logit_diff,6.375,-3.125,-3.125,0.0,,,,lr,best,13
activation_patching,qwen3-4b,Qwen/Qwen3-4B,13,attn,5,clean_minus_corrupted_logit_diff,7.375,-4.875,-5.25,-0.030612244897959183,,,,lr,best,13
activation_patching,qwen3-4b,Qwen/Qwen3-4B,13,attn,6,clean_minus_corrupted_logit_diff,5.125,-2.375,-2.625,-0.03333333333333333,,,,lr,best,13
activation_patching,qwen3-4b,Qwen/Qwen3-4B,13,mlp,0,clean_minus_corrupted_logit_diff,5.375,-5.0,-5.375,-0.03614457831325301,,,,lr,best,13
activation_patching,qwen3-4b,Qwen/Qwen3-4B,13,mlp,1,clean_minus_corrupted_logit_diff,9.0,-5.9375,-6.1875,-0.016736401673640166,,,,lr,best,13
activation_patching,qwen3-4b,Qwen/Qwen3-4B,13,mlp,2,clean_minus_corrupted_logit_diff,8.375,-5.375,-5.6875,-0.022727272727272728,,,,lr,best,13
activation_patching,qwen3-4b,Qwen/Qwen3-4B,13,mlp,3,clean_minus_corrupted_logit_diff,3.875,-2.125,-2.0,0.020833333333333332,,,,lr,best,13
activation_patching,qwen3-4b,Qwen/Qwen3-4B,13,mlp,4,clean_minus_corrupted_logit_diff,6.375,-3.125,-3.375,-0.02631578947368421,,,,lr,best,13
activation_patching,qwen3-4b,Qwen/Qwen3-4B,13,mlp,5,clean_minus_corrupted_logit_diff,7.375,-4.875,-5.75,-0.07142857142857142,,,,lr,best,13
activation_patching,qwen3-4b,Qwen/Qwen3-4B,13,mlp,6,clean_minus_corrupted_logit_diff,5.125,-2.375,-2.25,0.016666666666666666,,,,lr,best,13
