experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
activation_patching,qwen3-4b,Qwen/Qwen3-4B,12,resid,0,clean_minus_corrupted_logit_diff,5.875,-4.75,-5.125,-0.03529411764705882,,,,lr,top-k,"12,13,18"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,12,resid,1,clean_minus_corrupted_logit_diff,8.875,-6.0625,-6.1875,-0.008368200836820083,,,,lr,top-k,"12,13,18"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,12,resid,2,clean_minus_corrupted_logit_diff,8.25,-5.375,-5.4375,-0.0045871559633027525,,,,lr,top-k,"12,13,18"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,12,resid,3,clean_minus_corrupted_logit_diff,4.125,-2.0,-2.125,-0.02040816326530612,,,,lr,top-k,"12,13,18"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,12,resid,4,clean_minus_corrupted_logit_diff,6.375,-3.125,-3.375,-0.02631578947368421,,,,lr,top-k,"12,13,18"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,12,resid,5,clean_minus_corrupted_logit_diff,7.25,-4.875,-4.625,0.020618556701030927,,,,lr,top-k,"12,13,18"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,12,resid,6,clean_minus_corrupted_logit_diff,5.125,-2.75,-3.0,-0.031746031746031744,,,,lr,top-k,"12,13,18"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,13,resid,0,clean_minus_corrupted_logit_diff,5.875,-4.75,-5.375,-0.058823529411764705,,,,lr,top-k,"12,13,18"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,13,resid,1,clean_minus_corrupted_logit_diff,8.875,-6.0625,-6.25,-0.012552301255230125,,,,lr,top-k,"12,13,18"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,13,resid,2,clean_minus_corrupted_logit_diff,8.25,-5.375,-5.875,-0.03669724770642202,,,,lr,top-k,"12,13,18"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,13,resid,3,clean_minus_corrupted_logit_diff,4.125,-2.0,-2.0,0.0,,,,lr,top-k,"12,13,18"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,13,resid,4,clean_minus_corrupted_logit_diff,6.375,-3.125,-2.75,0.039473684210526314,,,,lr,top-k,"12,13,18"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,13,resid,5,clean_minus_corrupted_logit_diff,7.25,-4.875,-5.0,-0.010309278350515464,,,,lr,top-k,"12,13,18"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,13,resid,6,clean_minus_corrupted_logit_diff,5.125,-2.75,-2.875,-0.015873015873015872,,,,lr,top-k,"12,13,18"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,18,resid,0,clean_minus_corrupted_logit_diff,5.875,-4.75,-6.5,-0.16470588235294117,,,,lr,top-k,"12,13,18"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,18,resid,1,clean_minus_corrupted_logit_diff,8.875,-6.0625,-6.625,-0.03765690376569038,,,,lr,top-k,"12,13,18"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,18,resid,2,clean_minus_corrupted_logit_diff,8.25,-5.375,-6.8125,-0.10550458715596331,,,,lr,top-k,"12,13,18"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,18,resid,3,clean_minus_corrupted_logit_diff,4.125,-2.0,-2.625,-0.10204081632653061,,,,lr,top-k,"12,13,18"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,18,resid,4,clean_minus_corrupted_logit_diff,6.375,-3.125,-3.125,0.0,,,,lr,top-k,"12,13,18"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,18,resid,5,clean_minus_corrupted_logit_diff,7.25,-4.875,-5.625,-0.061855670103092786,,,,lr,top-k,"12,13,18"
activation_patching,qwen3-4b,Qwen/Qwen3-4B,18,resid,6,clean_minus_corrupted_logit_diff,5.125,-2.75,-4.125,-0.1746031746031746,,,,lr,top-k,"12,13,18"
