experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
activation_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,7,resid,0,clean_minus_corrupted_logit_diff,0.75,0.125,0.125,0.0,,,,lr,top-k,"7,8,9"
activation_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,7,resid,1,clean_minus_corrupted_logit_diff,0.5,-0.125,-0.375,-0.4,,,,lr,top-k,"7,8,9"
activation_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,7,resid,2,clean_minus_corrupted_logit_diff,1.0,0.0,0.0,0.0,,,,lr,top-k,"7,8,9"
activation_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,7,resid,3,clean_minus_corrupted_logit_diff,1.25,0.5,0.5,0.0,,,,lr,top-k,"7,8,9"
activation_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,7,resid,4,clean_minus_corrupted_logit_diff,0.75,0.625,0.5,-1.0,,,,lr,top-k,"7,8,9"
activation_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,7,resid,5,clean_minus_corrupted_logit_diff,1.0,-0.25,-0.125,0.1,,,,lr,top-k,"7,8,9"
activation_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,7,resid,6,clean_minus_corrupted_logit_diff,0.625,0.25,0.375,0.3333333333333333,,,,lr,top-k,"7,8,9"
activation_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,0,clean_minus_corrupted_logit_diff,0.75,0.125,0.125,0.0,,,,lr,top-k,"7,8,9"
activation_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,1,clean_minus_corrupted_logit_diff,0.5,-0.125,-0.25,-0.2,,,,lr,top-k,"7,8,9"
activation_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,2,clean_minus_corrupted_logit_diff,1.0,0.0,0.0,0.0,,,,lr,top-k,"7,8,9"
activation_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,3,clean_minus_corrupted_logit_diff,1.25,0.5,0.5,0.0,,,,lr,top-k,"7,8,9"
activation_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,4,clean_minus_corrupted_logit_diff,0.75,0.625,0.5,-1.0,,,,lr,top-k,"7,8,9"
activation_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,5,clean_minus_corrupted_logit_diff,1.0,-0.25,-0.125,0.1,,,,lr,top-k,"7,8,9"
activation_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,6,clean_minus_corrupted_logit_diff,0.625,0.25,0.375,0.3333333333333333,,,,lr,top-k,"7,8,9"
activation_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,9,resid,0,clean_minus_corrupted_logit_diff,0.75,0.125,0.25,0.2,,,,lr,top-k,"7,8,9"
activation_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,9,resid,1,clean_minus_corrupted_logit_diff,0.5,-0.125,-0.375,-0.4,,,,lr,top-k,"7,8,9"
activation_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,9,resid,2,clean_minus_corrupted_logit_diff,1.0,0.0,0.0,0.0,,,,lr,top-k,"7,8,9"
activation_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,9,resid,3,clean_minus_corrupted_logit_diff,1.25,0.5,0.5,0.0,,,,lr,top-k,"7,8,9"
activation_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,9,resid,4,clean_minus_corrupted_logit_diff,0.75,0.625,0.5,-1.0,,,,lr,top-k,"7,8,9"
activation_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,9,resid,5,clean_minus_corrupted_logit_diff,1.0,-0.25,-0.125,0.1,,,,lr,top-k,"7,8,9"
activation_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,9,resid,6,clean_minus_corrupted_logit_diff,0.625,0.25,0.375,0.3333333333333333,,,,lr,top-k,"7,8,9"
