experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,resid,0,clean_minus_corrupted_logit_diff,2.0,-6.25,1.0,0.8787878787878788,,,,lr,best,28
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,resid,1,clean_minus_corrupted_logit_diff,0.75,-8.0,-0.25,0.8857142857142857,,,,lr,best,28
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,resid,2,clean_minus_corrupted_logit_diff,2.5,-5.75,1.75,0.9090909090909091,,,,lr,best,28
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,resid,3,clean_minus_corrupted_logit_diff,1.5,-5.75,0.75,0.896551724137931,,,,lr,best,28
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,resid,4,clean_minus_corrupted_logit_diff,1.5,-5.0,1.0,0.9230769230769231,,,,lr,best,28
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,resid,5,clean_minus_corrupted_logit_diff,2.0,-8.25,0.75,0.8780487804878049,,,,lr,best,28
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,resid,6,clean_minus_corrupted_logit_diff,2.0,-5.25,1.25,0.896551724137931,,,,lr,best,28
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,attn,0,clean_minus_corrupted_logit_diff,2.0,-6.25,-4.75,0.18181818181818182,,,,lr,best,28
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,attn,1,clean_minus_corrupted_logit_diff,0.75,-8.0,-6.0,0.22857142857142856,,,,lr,best,28
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,attn,2,clean_minus_corrupted_logit_diff,2.5,-5.75,-4.25,0.18181818181818182,,,,lr,best,28
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,attn,3,clean_minus_corrupted_logit_diff,1.5,-5.75,-4.5,0.1724137931034483,,,,lr,best,28
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,attn,4,clean_minus_corrupted_logit_diff,1.5,-5.0,-4.0,0.15384615384615385,,,,lr,best,28
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,attn,5,clean_minus_corrupted_logit_diff,2.0,-8.25,-5.5,0.2682926829268293,,,,lr,best,28
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,attn,6,clean_minus_corrupted_logit_diff,2.0,-5.25,-3.75,0.20689655172413793,,,,lr,best,28
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,mlp,0,clean_minus_corrupted_logit_diff,2.0,-6.25,-7.5,-0.15151515151515152,,,,lr,best,28
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,mlp,1,clean_minus_corrupted_logit_diff,0.75,-8.0,-8.5,-0.05714285714285714,,,,lr,best,28
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,mlp,2,clean_minus_corrupted_logit_diff,2.5,-5.75,-7.75,-0.24242424242424243,,,,lr,best,28
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,mlp,3,clean_minus_corrupted_logit_diff,1.5,-5.75,-6.25,-0.06896551724137931,,,,lr,best,28
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,mlp,4,clean_minus_corrupted_logit_diff,1.5,-5.0,-6.0,-0.15384615384615385,,,,lr,best,28
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,mlp,5,clean_minus_corrupted_logit_diff,2.0,-8.25,-9.5,-0.12195121951219512,,,,lr,best,28
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,mlp,6,clean_minus_corrupted_logit_diff,2.0,-5.25,-7.25,-0.27586206896551724,,,,lr,best,28
