experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,resid,0,clean_minus_corrupted_logit_diff,2.0,-6.25,1.0,0.8787878787878788,,,,lr,top-k,"28,29,30"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,resid,1,clean_minus_corrupted_logit_diff,0.75,-8.0,-0.25,0.8857142857142857,,,,lr,top-k,"28,29,30"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,resid,2,clean_minus_corrupted_logit_diff,2.5,-5.75,1.75,0.9090909090909091,,,,lr,top-k,"28,29,30"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,resid,3,clean_minus_corrupted_logit_diff,1.5,-5.75,0.75,0.896551724137931,,,,lr,top-k,"28,29,30"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,resid,4,clean_minus_corrupted_logit_diff,1.5,-5.0,1.0,0.9230769230769231,,,,lr,top-k,"28,29,30"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,resid,5,clean_minus_corrupted_logit_diff,2.0,-8.25,0.75,0.8780487804878049,,,,lr,top-k,"28,29,30"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,resid,6,clean_minus_corrupted_logit_diff,2.0,-5.25,1.25,0.896551724137931,,,,lr,top-k,"28,29,30"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,29,resid,0,clean_minus_corrupted_logit_diff,2.0,-6.25,1.5,0.9393939393939394,,,,lr,top-k,"28,29,30"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,29,resid,1,clean_minus_corrupted_logit_diff,0.75,-8.0,0.5,0.9714285714285714,,,,lr,top-k,"28,29,30"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,29,resid,2,clean_minus_corrupted_logit_diff,2.5,-5.75,2.25,0.9696969696969697,,,,lr,top-k,"28,29,30"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,29,resid,3,clean_minus_corrupted_logit_diff,1.5,-5.75,1.0,0.9310344827586207,,,,lr,top-k,"28,29,30"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,29,resid,4,clean_minus_corrupted_logit_diff,1.5,-5.0,1.0,0.9230769230769231,,,,lr,top-k,"28,29,30"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,29,resid,5,clean_minus_corrupted_logit_diff,2.0,-8.25,1.25,0.926829268292683,,,,lr,top-k,"28,29,30"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,29,resid,6,clean_minus_corrupted_logit_diff,2.0,-5.25,1.5,0.9310344827586207,,,,lr,top-k,"28,29,30"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,30,resid,0,clean_minus_corrupted_logit_diff,2.0,-6.25,1.75,0.9696969696969697,,,,lr,top-k,"28,29,30"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,30,resid,1,clean_minus_corrupted_logit_diff,0.75,-8.0,0.5,0.9714285714285714,,,,lr,top-k,"28,29,30"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,30,resid,2,clean_minus_corrupted_logit_diff,2.5,-5.75,2.25,0.9696969696969697,,,,lr,top-k,"28,29,30"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,30,resid,3,clean_minus_corrupted_logit_diff,1.5,-5.75,1.25,0.9655172413793104,,,,lr,top-k,"28,29,30"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,30,resid,4,clean_minus_corrupted_logit_diff,1.5,-5.0,1.5,1.0,,,,lr,top-k,"28,29,30"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,30,resid,5,clean_minus_corrupted_logit_diff,2.0,-8.25,1.5,0.9512195121951219,,,,lr,top-k,"28,29,30"
activation_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,30,resid,6,clean_minus_corrupted_logit_diff,2.0,-5.25,1.75,0.9655172413793104,,,,lr,top-k,"28,29,30"
