experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,26,resid,0,estimated_clean_minus_corrupted_logit_diff_change,5.375,-5.0,5.002479076385498,0.4821666579648673,,,,attn,best,26
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,26,resid,1,estimated_clean_minus_corrupted_logit_diff_change,9.0,-5.9375,7.215044975280762,0.4830155631987121,,,,attn,best,26
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,26,resid,2,estimated_clean_minus_corrupted_logit_diff_change,8.375,-5.375,6.166594505310059,0.44847960038618606,,,,attn,best,26
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,26,resid,3,estimated_clean_minus_corrupted_logit_diff_change,3.875,-2.125,4.153677463531494,0.692279577255249,,,,attn,best,26
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,26,resid,4,estimated_clean_minus_corrupted_logit_diff_change,6.375,-3.125,6.387359619140625,0.6723536441200658,,,,attn,best,26
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,26,resid,5,estimated_clean_minus_corrupted_logit_diff_change,7.375,-4.875,6.5632500648498535,0.5357755154979472,,,,attn,best,26
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,26,resid,6,estimated_clean_minus_corrupted_logit_diff_change,5.125,-2.375,5.564864158630371,0.7419818878173828,,,,attn,best,26
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,26,attn,0,estimated_clean_minus_corrupted_logit_diff_change,5.375,-5.0,1.522125005722046,0.14671084392501646,,,,attn,best,26
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,26,attn,1,estimated_clean_minus_corrupted_logit_diff_change,9.0,-5.9375,2.2560067176818848,0.15102973842221823,,,,attn,best,26
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,26,attn,2,estimated_clean_minus_corrupted_logit_diff_change,8.375,-5.375,1.9651159048080444,0.14291752034967595,,,,attn,best,26
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,26,attn,3,estimated_clean_minus_corrupted_logit_diff_change,3.875,-2.125,1.1686660051345825,0.19477766752243042,,,,attn,best,26
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,26,attn,4,estimated_clean_minus_corrupted_logit_diff_change,6.375,-3.125,1.8918120861053467,0.19913811432687858,,,,attn,best,26
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,26,attn,5,estimated_clean_minus_corrupted_logit_diff_change,7.375,-4.875,2.657782793045044,0.21696186065673828,,,,attn,best,26
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,26,attn,6,estimated_clean_minus_corrupted_logit_diff_change,5.125,-2.375,1.4890477657318115,0.19853970209757488,,,,attn,best,26
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,26,mlp,0,estimated_clean_minus_corrupted_logit_diff_change,5.375,-5.0,-0.029707929119467735,-0.0028634148548884564,,,,attn,best,26
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,26,mlp,1,estimated_clean_minus_corrupted_logit_diff_change,9.0,-5.9375,-0.1858707219362259,-0.01244322824677663,,,,attn,best,26
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,26,mlp,2,estimated_clean_minus_corrupted_logit_diff_change,8.375,-5.375,-0.20328271389007568,-0.014784197373823686,,,,attn,best,26
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,26,mlp,3,estimated_clean_minus_corrupted_logit_diff_change,3.875,-2.125,-0.25359225273132324,-0.04226537545522054,,,,attn,best,26
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,26,mlp,4,estimated_clean_minus_corrupted_logit_diff_change,6.375,-3.125,0.11081384867429733,0.011664615649926035,,,,attn,best,26
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,26,mlp,5,estimated_clean_minus_corrupted_logit_diff_change,7.375,-4.875,-0.15334376692771912,-0.012517858524711765,,,,attn,best,26
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,26,mlp,6,estimated_clean_minus_corrupted_logit_diff_change,5.125,-2.375,-0.06563212722539902,-0.00875095029671987,,,,attn,best,26
