experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,resid,0,estimated_clean_minus_corrupted_logit_diff_change,0.75,0.125,0.5957075357437134,0.9531320571899414,,,,attn,best,20
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,resid,1,estimated_clean_minus_corrupted_logit_diff_change,0.5,-0.125,0.9542009234428406,1.526721477508545,,,,attn,best,20
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,resid,2,estimated_clean_minus_corrupted_logit_diff_change,1.0,0.0,0.8472229242324829,0.8472229242324829,,,,attn,best,20
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,resid,3,estimated_clean_minus_corrupted_logit_diff_change,1.25,0.5,0.7144047617912292,0.9525396823883057,,,,attn,best,20
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,resid,4,estimated_clean_minus_corrupted_logit_diff_change,0.75,0.625,0.4217289984226227,3.3738319873809814,,,,attn,best,20
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,resid,5,estimated_clean_minus_corrupted_logit_diff_change,1.0,-0.25,1.257021188735962,1.0056169509887696,,,,attn,best,20
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,resid,6,estimated_clean_minus_corrupted_logit_diff_change,0.625,0.25,0.6208173036575317,1.655512809753418,,,,attn,best,20
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,attn,0,estimated_clean_minus_corrupted_logit_diff_change,0.75,0.125,0.09891295433044434,0.15826072692871093,,,,attn,best,20
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,attn,1,estimated_clean_minus_corrupted_logit_diff_change,0.5,-0.125,0.07432722300291061,0.11892355680465698,,,,attn,best,20
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,attn,2,estimated_clean_minus_corrupted_logit_diff_change,1.0,0.0,0.09796536713838577,0.09796536713838577,,,,attn,best,20
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,attn,3,estimated_clean_minus_corrupted_logit_diff_change,1.25,0.5,0.22767868638038635,0.30357158184051514,,,,attn,best,20
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,attn,4,estimated_clean_minus_corrupted_logit_diff_change,0.75,0.625,0.1000577062368393,0.8004616498947144,,,,attn,best,20
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,attn,5,estimated_clean_minus_corrupted_logit_diff_change,1.0,-0.25,0.24622228741645813,0.1969778299331665,,,,attn,best,20
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,attn,6,estimated_clean_minus_corrupted_logit_diff_change,0.625,0.25,0.22444972395896912,0.5985325972239176,,,,attn,best,20
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,mlp,0,estimated_clean_minus_corrupted_logit_diff_change,0.75,0.125,-0.02899327129125595,-0.04638923406600952,,,,attn,best,20
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,mlp,1,estimated_clean_minus_corrupted_logit_diff_change,0.5,-0.125,0.005030635744333267,0.008049017190933228,,,,attn,best,20
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,mlp,2,estimated_clean_minus_corrupted_logit_diff_change,1.0,0.0,0.07443774491548538,0.07443774491548538,,,,attn,best,20
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,mlp,3,estimated_clean_minus_corrupted_logit_diff_change,1.25,0.5,0.008064663968980312,0.01075288529197375,,,,attn,best,20
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,mlp,4,estimated_clean_minus_corrupted_logit_diff_change,0.75,0.625,-0.036189548671245575,-0.2895163893699646,,,,attn,best,20
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,mlp,5,estimated_clean_minus_corrupted_logit_diff_change,1.0,-0.25,-0.045787934213876724,-0.03663034737110138,,,,attn,best,20
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,20,mlp,6,estimated_clean_minus_corrupted_logit_diff_change,0.625,0.25,0.023398779332637787,0.062396744887034096,,,,attn,best,20
