experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,5,resid,0,estimated_clean_minus_corrupted_logit_diff_change,2.0,-6.25,-0.15579940378665924,-0.018884776216564758,,,,attn,top-k,"5,8,17"
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,5,resid,1,estimated_clean_minus_corrupted_logit_diff_change,0.75,-8.0,0.0502370223402977,0.005741373981748309,,,,attn,top-k,"5,8,17"
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,5,resid,2,estimated_clean_minus_corrupted_logit_diff_change,2.5,-5.75,-0.037297818809747696,-0.0045209477345148725,,,,attn,top-k,"5,8,17"
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,5,resid,3,estimated_clean_minus_corrupted_logit_diff_change,1.5,-5.75,-0.005827896296977997,-0.0008038477651004134,,,,attn,top-k,"5,8,17"
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,5,resid,4,estimated_clean_minus_corrupted_logit_diff_change,1.5,-5.0,0.06177760660648346,0.009504247170228224,,,,attn,top-k,"5,8,17"
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,5,resid,5,estimated_clean_minus_corrupted_logit_diff_change,2.0,-8.25,0.05876897647976875,0.005733558680953049,,,,attn,top-k,"5,8,17"
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,5,resid,6,estimated_clean_minus_corrupted_logit_diff_change,2.0,-5.25,-0.06148933246731758,-0.008481287236871391,,,,attn,top-k,"5,8,17"
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,resid,0,estimated_clean_minus_corrupted_logit_diff_change,2.0,-6.25,-0.3492647111415863,-0.04233511650201046,,,,attn,top-k,"5,8,17"
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,resid,1,estimated_clean_minus_corrupted_logit_diff_change,0.75,-8.0,0.0076482221484184265,0.0008740825312478201,,,,attn,top-k,"5,8,17"
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,resid,2,estimated_clean_minus_corrupted_logit_diff_change,2.5,-5.75,-0.30867817997932434,-0.03741553696719083,,,,attn,top-k,"5,8,17"
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,resid,3,estimated_clean_minus_corrupted_logit_diff_change,1.5,-5.75,-0.19095362722873688,-0.02633843134189474,,,,attn,top-k,"5,8,17"
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,resid,4,estimated_clean_minus_corrupted_logit_diff_change,1.5,-5.0,0.09542164206504822,0.014680252625392033,,,,attn,top-k,"5,8,17"
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,resid,5,estimated_clean_minus_corrupted_logit_diff_change,2.0,-8.25,-0.026044607162475586,-0.0025409372841439597,,,,attn,top-k,"5,8,17"
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,8,resid,6,estimated_clean_minus_corrupted_logit_diff_change,2.0,-5.25,-0.2603873908519745,-0.03591550218647924,,,,attn,top-k,"5,8,17"
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,17,resid,0,estimated_clean_minus_corrupted_logit_diff_change,2.0,-6.25,2.1035895347595215,0.2549805496678208,,,,attn,top-k,"5,8,17"
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,17,resid,1,estimated_clean_minus_corrupted_logit_diff_change,0.75,-8.0,1.6862431764602661,0.19271350588117328,,,,attn,top-k,"5,8,17"
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,17,resid,2,estimated_clean_minus_corrupted_logit_diff_change,2.5,-5.75,1.5772446393966675,0.19118116841171728,,,,attn,top-k,"5,8,17"
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,17,resid,3,estimated_clean_minus_corrupted_logit_diff_change,1.5,-5.75,1.7012497186660767,0.23465513360911402,,,,attn,top-k,"5,8,17"
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,17,resid,4,estimated_clean_minus_corrupted_logit_diff_change,1.5,-5.0,1.9863930940628052,0.3055989375481239,,,,attn,top-k,"5,8,17"
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,17,resid,5,estimated_clean_minus_corrupted_logit_diff_change,2.0,-8.25,3.3845129013061523,0.3301963806152344,,,,attn,top-k,"5,8,17"
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,17,resid,6,estimated_clean_minus_corrupted_logit_diff_change,2.0,-5.25,1.3994758129119873,0.19303114660854997,,,,attn,top-k,"5,8,17"
