experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,27,resid,0,estimated_clean_minus_corrupted_logit_diff_change,5.375,-5.0,5.086808204650879,0.4902947667133377,,,,dmm,best,27
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,27,resid,1,estimated_clean_minus_corrupted_logit_diff_change,9.0,-5.9375,7.167231559753418,0.47981466508809495,,,,dmm,best,27
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,27,resid,2,estimated_clean_minus_corrupted_logit_diff_change,8.375,-5.375,5.929586410522461,0.43124264803799717,,,,dmm,best,27
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,27,resid,3,estimated_clean_minus_corrupted_logit_diff_change,3.875,-2.125,4.09423828125,0.682373046875,,,,dmm,best,27
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,27,resid,4,estimated_clean_minus_corrupted_logit_diff_change,6.375,-3.125,6.474222183227539,0.6814970719186884,,,,dmm,best,27
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,27,resid,5,estimated_clean_minus_corrupted_logit_diff_change,7.375,-4.875,6.610831260681152,0.5396596947494818,,,,dmm,best,27
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,27,resid,6,estimated_clean_minus_corrupted_logit_diff_change,5.125,-2.375,5.5262908935546875,0.7368387858072917,,,,dmm,best,27
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,27,attn,0,estimated_clean_minus_corrupted_logit_diff_change,5.375,-5.0,-0.029366664588451385,-0.002830521888043507,,,,dmm,best,27
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,27,attn,1,estimated_clean_minus_corrupted_logit_diff_change,9.0,-5.9375,-0.11344662308692932,-0.007594753010003637,,,,dmm,best,27
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,27,attn,2,estimated_clean_minus_corrupted_logit_diff_change,8.375,-5.375,-0.21094141900539398,-0.0153411941094832,,,,dmm,best,27
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,27,attn,3,estimated_clean_minus_corrupted_logit_diff_change,3.875,-2.125,-0.1965784728527069,-0.032763078808784485,,,,dmm,best,27
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,27,attn,4,estimated_clean_minus_corrupted_logit_diff_change,6.375,-3.125,-0.0818428099155426,-0.008615032622688696,,,,dmm,best,27
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,27,attn,5,estimated_clean_minus_corrupted_logit_diff_change,7.375,-4.875,-0.07287101447582245,-0.005948654242924282,,,,dmm,best,27
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,27,attn,6,estimated_clean_minus_corrupted_logit_diff_change,5.125,-2.375,-0.14619427919387817,-0.019492570559183756,,,,dmm,best,27
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,27,mlp,0,estimated_clean_minus_corrupted_logit_diff_change,5.375,-5.0,0.9533962607383728,0.09189361549285521,,,,dmm,best,27
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,27,mlp,1,estimated_clean_minus_corrupted_logit_diff_change,9.0,-5.9375,0.9735069870948792,0.06517201587246053,,,,dmm,best,27
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,27,mlp,2,estimated_clean_minus_corrupted_logit_diff_change,8.375,-5.375,1.1413404941558838,0.08300658139315518,,,,dmm,best,27
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,27,mlp,3,estimated_clean_minus_corrupted_logit_diff_change,3.875,-2.125,0.8407539129257202,0.1401256521542867,,,,dmm,best,27
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,27,mlp,4,estimated_clean_minus_corrupted_logit_diff_change,6.375,-3.125,1.1316207647323608,0.11911797523498535,,,,dmm,best,27
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,27,mlp,5,estimated_clean_minus_corrupted_logit_diff_change,7.375,-4.875,1.1712422370910645,0.0956116111911073,,,,dmm,best,27
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,27,mlp,6,estimated_clean_minus_corrupted_logit_diff_change,5.125,-2.375,0.8091918230056763,0.1078922430674235,,,,dmm,best,27
