experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
attribution_patching,gpt2,gpt2,8,resid,0,estimated_clean_minus_corrupted_logit_diff_change,0.6456069946289062,0.25009918212890625,0.07604500651359558,0.1922718189380787,,,,dmm,best,8
attribution_patching,gpt2,gpt2,8,resid,1,estimated_clean_minus_corrupted_logit_diff_change,0.4299774169921875,-0.042999267578125,0.28171783685684204,0.5956273238135948,,,,dmm,best,8
attribution_patching,gpt2,gpt2,8,resid,2,estimated_clean_minus_corrupted_logit_diff_change,0.2717742919921875,0.35225677490234375,0.16649922728538513,-2.068763552824912,,,,dmm,best,8
attribution_patching,gpt2,gpt2,8,resid,3,estimated_clean_minus_corrupted_logit_diff_change,0.8039779663085938,0.8049468994140625,0.25050628185272217,-258.5382627952756,,,,dmm,best,8
attribution_patching,gpt2,gpt2,8,resid,4,estimated_clean_minus_corrupted_logit_diff_change,0.3958587646484375,0.33736419677734375,-0.0032802652567625046,-0.05607811761241359,,,,dmm,best,8
attribution_patching,gpt2,gpt2,8,resid,5,estimated_clean_minus_corrupted_logit_diff_change,0.5470428466796875,0.4954071044921875,0.17053520679473877,3.3026581892730498,,,,dmm,best,8
attribution_patching,gpt2,gpt2,8,resid,6,estimated_clean_minus_corrupted_logit_diff_change,0.38825225830078125,0.5938720703125,0.10394766926765442,-0.5055333348020482,,,,dmm,best,8
attribution_patching,gpt2,gpt2,8,attn,0,estimated_clean_minus_corrupted_logit_diff_change,0.6456069946289062,0.25009918212890625,0.0015995949506759644,0.004044407974054784,,,,dmm,best,8
attribution_patching,gpt2,gpt2,8,attn,1,estimated_clean_minus_corrupted_logit_diff_change,0.4299774169921875,-0.042999267578125,0.14604192972183228,0.3087719426476756,,,,dmm,best,8
attribution_patching,gpt2,gpt2,8,attn,2,estimated_clean_minus_corrupted_logit_diff_change,0.2717742919921875,0.35225677490234375,0.059464648365974426,-0.7388520609180965,,,,dmm,best,8
attribution_patching,gpt2,gpt2,8,attn,3,estimated_clean_minus_corrupted_logit_diff_change,0.8039779663085938,0.8049468994140625,0.09502241015434265,-98.06911294291339,,,,dmm,best,8
attribution_patching,gpt2,gpt2,8,attn,4,estimated_clean_minus_corrupted_logit_diff_change,0.3958587646484375,0.33736419677734375,-0.0020295195281505585,-0.03469586325730403,,,,dmm,best,8
attribution_patching,gpt2,gpt2,8,attn,5,estimated_clean_minus_corrupted_logit_diff_change,0.5470428466796875,0.4954071044921875,0.060353513807058334,1.1688321160931958,,,,dmm,best,8
attribution_patching,gpt2,gpt2,8,attn,6,estimated_clean_minus_corrupted_logit_diff_change,0.38825225830078125,0.5938720703125,0.15401610732078552,-0.7490334020537271,,,,dmm,best,8
attribution_patching,gpt2,gpt2,8,mlp,0,estimated_clean_minus_corrupted_logit_diff_change,0.6456069946289062,0.25009918212890625,-0.03173945099115372,-0.08024987114800347,,,,dmm,best,8
attribution_patching,gpt2,gpt2,8,mlp,1,estimated_clean_minus_corrupted_logit_diff_change,0.4299774169921875,-0.042999267578125,0.06978903710842133,0.14755280626955836,,,,dmm,best,8
attribution_patching,gpt2,gpt2,8,mlp,2,estimated_clean_minus_corrupted_logit_diff_change,0.2717742919921875,0.35225677490234375,0.07828223705291748,-0.9726618044364395,,,,dmm,best,8
attribution_patching,gpt2,gpt2,8,mlp,3,estimated_clean_minus_corrupted_logit_diff_change,0.8039779663085938,0.8049468994140625,0.06503832340240479,-67.1236466535433,,,,dmm,best,8
attribution_patching,gpt2,gpt2,8,mlp,4,estimated_clean_minus_corrupted_logit_diff_change,0.3958587646484375,0.33736419677734375,-0.007114165462553501,-0.12162095937235066,,,,dmm,best,8
attribution_patching,gpt2,gpt2,8,mlp,5,estimated_clean_minus_corrupted_logit_diff_change,0.5470428466796875,0.4954071044921875,0.14640673995018005,2.83537591884604,,,,dmm,best,8
attribution_patching,gpt2,gpt2,8,mlp,6,estimated_clean_minus_corrupted_logit_diff_change,0.38825225830078125,0.5938720703125,0.0584692656993866,-0.28435618692256315,,,,dmm,best,8
