experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,resid,0,estimated_clean_minus_corrupted_logit_diff_change,0.75,0.125,-0.0029366351664066315,-0.00469861626625061,,,,dmm,best,4
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,resid,1,estimated_clean_minus_corrupted_logit_diff_change,0.5,-0.125,-0.15538769960403442,-0.24862031936645507,,,,dmm,best,4
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,resid,2,estimated_clean_minus_corrupted_logit_diff_change,1.0,0.0,0.024789512157440186,0.024789512157440186,,,,dmm,best,4
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,resid,3,estimated_clean_minus_corrupted_logit_diff_change,1.25,0.5,0.013412239961326122,0.017882986615101498,,,,dmm,best,4
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,resid,4,estimated_clean_minus_corrupted_logit_diff_change,0.75,0.625,-0.008550116792321205,-0.06840093433856964,,,,dmm,best,4
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,resid,5,estimated_clean_minus_corrupted_logit_diff_change,1.0,-0.25,0.01493004895746708,0.011944039165973664,,,,dmm,best,4
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,resid,6,estimated_clean_minus_corrupted_logit_diff_change,0.625,0.25,-0.021567167714238167,-0.057512447237968445,,,,dmm,best,4
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,attn,0,estimated_clean_minus_corrupted_logit_diff_change,0.75,0.125,-0.014524166472256184,-0.023238666355609894,,,,dmm,best,4
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,attn,1,estimated_clean_minus_corrupted_logit_diff_change,0.5,-0.125,-0.03590483218431473,-0.057447731494903564,,,,dmm,best,4
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,attn,2,estimated_clean_minus_corrupted_logit_diff_change,1.0,0.0,-0.003861553966999054,-0.003861553966999054,,,,dmm,best,4
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,attn,3,estimated_clean_minus_corrupted_logit_diff_change,1.25,0.5,0.009195751510560513,0.012261002014080683,,,,dmm,best,4
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,attn,4,estimated_clean_minus_corrupted_logit_diff_change,0.75,0.625,0.0044572437182068825,0.03565794974565506,,,,dmm,best,4
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,attn,5,estimated_clean_minus_corrupted_logit_diff_change,1.0,-0.25,0.023340318351984024,0.01867225468158722,,,,dmm,best,4
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,attn,6,estimated_clean_minus_corrupted_logit_diff_change,0.625,0.25,-0.015774399042129517,-0.042065064112345375,,,,dmm,best,4
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,mlp,0,estimated_clean_minus_corrupted_logit_diff_change,0.75,0.125,0.0003658639034256339,0.0005853822454810143,,,,dmm,best,4
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,mlp,1,estimated_clean_minus_corrupted_logit_diff_change,0.5,-0.125,-0.09269475936889648,-0.14831161499023438,,,,dmm,best,4
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,mlp,2,estimated_clean_minus_corrupted_logit_diff_change,1.0,0.0,0.008680058643221855,0.008680058643221855,,,,dmm,best,4
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,mlp,3,estimated_clean_minus_corrupted_logit_diff_change,1.25,0.5,0.03085308149456978,0.041137441992759705,,,,dmm,best,4
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,mlp,4,estimated_clean_minus_corrupted_logit_diff_change,0.75,0.625,0.004725825972855091,0.03780660778284073,,,,dmm,best,4
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,mlp,5,estimated_clean_minus_corrupted_logit_diff_change,1.0,-0.25,0.029071902856230736,0.023257522284984587,,,,dmm,best,4
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,mlp,6,estimated_clean_minus_corrupted_logit_diff_change,0.625,0.25,-0.01011897437274456,-0.02698393166065216,,,,dmm,best,4
