experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,resid,0,estimated_clean_minus_corrupted_logit_diff_change,0.75,0.125,-0.0029366351664066315,-0.00469861626625061,,,,dmm,top-k,"4,7,8"
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,resid,1,estimated_clean_minus_corrupted_logit_diff_change,0.5,-0.125,-0.15538769960403442,-0.24862031936645507,,,,dmm,top-k,"4,7,8"
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,resid,2,estimated_clean_minus_corrupted_logit_diff_change,1.0,0.0,0.024789512157440186,0.024789512157440186,,,,dmm,top-k,"4,7,8"
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,resid,3,estimated_clean_minus_corrupted_logit_diff_change,1.25,0.5,0.013412239961326122,0.017882986615101498,,,,dmm,top-k,"4,7,8"
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,resid,4,estimated_clean_minus_corrupted_logit_diff_change,0.75,0.625,-0.008550116792321205,-0.06840093433856964,,,,dmm,top-k,"4,7,8"
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,resid,5,estimated_clean_minus_corrupted_logit_diff_change,1.0,-0.25,0.01493004895746708,0.011944039165973664,,,,dmm,top-k,"4,7,8"
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,4,resid,6,estimated_clean_minus_corrupted_logit_diff_change,0.625,0.25,-0.021567167714238167,-0.057512447237968445,,,,dmm,top-k,"4,7,8"
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,7,resid,0,estimated_clean_minus_corrupted_logit_diff_change,0.75,0.125,0.03710121288895607,0.05936194062232971,,,,dmm,top-k,"4,7,8"
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,7,resid,1,estimated_clean_minus_corrupted_logit_diff_change,0.5,-0.125,-0.254754900932312,-0.4076078414916992,,,,dmm,top-k,"4,7,8"
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,7,resid,2,estimated_clean_minus_corrupted_logit_diff_change,1.0,0.0,0.06704289466142654,0.06704289466142654,,,,dmm,top-k,"4,7,8"
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,7,resid,3,estimated_clean_minus_corrupted_logit_diff_change,1.25,0.5,0.04512663930654526,0.06016885240872701,,,,dmm,top-k,"4,7,8"
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,7,resid,4,estimated_clean_minus_corrupted_logit_diff_change,0.75,0.625,0.009900772012770176,0.07920617610216141,,,,dmm,top-k,"4,7,8"
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,7,resid,5,estimated_clean_minus_corrupted_logit_diff_change,1.0,-0.25,0.01905178092420101,0.015241424739360809,,,,dmm,top-k,"4,7,8"
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,7,resid,6,estimated_clean_minus_corrupted_logit_diff_change,0.625,0.25,-0.001859990879893303,-0.004959975679715474,,,,dmm,top-k,"4,7,8"
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,0,estimated_clean_minus_corrupted_logit_diff_change,0.75,0.125,0.027018161490559578,0.043229058384895325,,,,dmm,top-k,"4,7,8"
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,1,estimated_clean_minus_corrupted_logit_diff_change,0.5,-0.125,-0.21731160581111908,-0.3476985692977905,,,,dmm,top-k,"4,7,8"
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,2,estimated_clean_minus_corrupted_logit_diff_change,1.0,0.0,0.0320606529712677,0.0320606529712677,,,,dmm,top-k,"4,7,8"
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,3,estimated_clean_minus_corrupted_logit_diff_change,1.25,0.5,0.06427574902772903,0.08570099870363872,,,,dmm,top-k,"4,7,8"
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,4,estimated_clean_minus_corrupted_logit_diff_change,0.75,0.625,0.007143260911107063,0.057146087288856506,,,,dmm,top-k,"4,7,8"
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,5,estimated_clean_minus_corrupted_logit_diff_change,1.0,-0.25,0.02261173352599144,0.01808938682079315,,,,dmm,top-k,"4,7,8"
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,6,estimated_clean_minus_corrupted_logit_diff_change,0.625,0.25,-0.008545286022126675,-0.0227874293923378,,,,dmm,top-k,"4,7,8"
