experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,13,resid,0,estimated_clean_minus_corrupted_logit_diff_change,5.375,-5.0,-0.2793119251728058,-0.026921631341957183,,,,lr,best,13
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,13,resid,1,estimated_clean_minus_corrupted_logit_diff_change,9.0,-5.9375,-0.46158885955810547,-0.03090134624656773,,,,lr,best,13
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,13,resid,2,estimated_clean_minus_corrupted_logit_diff_change,8.375,-5.375,-0.5020309090614319,-0.03651133884083141,,,,lr,best,13
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,13,resid,3,estimated_clean_minus_corrupted_logit_diff_change,3.875,-2.125,-0.43259283900260925,-0.07209880650043488,,,,lr,best,13
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,13,resid,4,estimated_clean_minus_corrupted_logit_diff_change,6.375,-3.125,0.1849309355020523,0.019466414263373928,,,,lr,best,13
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,13,resid,5,estimated_clean_minus_corrupted_logit_diff_change,7.375,-4.875,-0.4821850657463074,-0.03936204618337203,,,,lr,best,13
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,13,resid,6,estimated_clean_minus_corrupted_logit_diff_change,5.125,-2.375,-0.5085152387619019,-0.06780203183492024,,,,lr,best,13
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,13,attn,0,estimated_clean_minus_corrupted_logit_diff_change,5.375,-5.0,-0.3159164786338806,-0.03044978107314512,,,,lr,best,13
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,13,attn,1,estimated_clean_minus_corrupted_logit_diff_change,9.0,-5.9375,0.24828475713729858,0.016621573699568105,,,,lr,best,13
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,13,attn,2,estimated_clean_minus_corrupted_logit_diff_change,8.375,-5.375,-0.37240132689476013,-0.027083732865073464,,,,lr,best,13
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,13,attn,3,estimated_clean_minus_corrupted_logit_diff_change,3.875,-2.125,-0.018119223415851593,-0.003019870569308599,,,,lr,best,13
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,13,attn,4,estimated_clean_minus_corrupted_logit_diff_change,6.375,-3.125,0.09060971438884735,0.009537864672510247,,,,lr,best,13
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,13,attn,5,estimated_clean_minus_corrupted_logit_diff_change,7.375,-4.875,-0.4438440203666687,-0.036232164927891324,,,,lr,best,13
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,13,attn,6,estimated_clean_minus_corrupted_logit_diff_change,5.125,-2.375,-0.17830096185207367,-0.02377346158027649,,,,lr,best,13
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,13,mlp,0,estimated_clean_minus_corrupted_logit_diff_change,5.375,-5.0,-0.39378952980041504,-0.037955617330160486,,,,lr,best,13
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,13,mlp,1,estimated_clean_minus_corrupted_logit_diff_change,9.0,-5.9375,-0.6316633224487305,-0.04228708434803217,,,,lr,best,13
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,13,mlp,2,estimated_clean_minus_corrupted_logit_diff_change,8.375,-5.375,-0.4953153431415558,-0.0360229340466586,,,,lr,best,13
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,13,mlp,3,estimated_clean_minus_corrupted_logit_diff_change,3.875,-2.125,-0.24686290323734283,-0.04114381720622381,,,,lr,best,13
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,13,mlp,4,estimated_clean_minus_corrupted_logit_diff_change,6.375,-3.125,-0.037193626165390015,-0.003915118543725265,,,,lr,best,13
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,13,mlp,5,estimated_clean_minus_corrupted_logit_diff_change,7.375,-4.875,-0.803256094455719,-0.06557192607801787,,,,lr,best,13
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,13,mlp,6,estimated_clean_minus_corrupted_logit_diff_change,5.125,-2.375,-0.16336429119110107,-0.02178190549214681,,,,lr,best,13
