experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,12,resid,0,estimated_clean_minus_corrupted_logit_diff_change,5.375,-5.0,-0.1333262026309967,-0.012850718325879201,,,,lr,top-k,"12,13,18"
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,12,resid,1,estimated_clean_minus_corrupted_logit_diff_change,9.0,-5.9375,-0.2806987166404724,-0.018791545883881,,,,lr,top-k,"12,13,18"
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,12,resid,2,estimated_clean_minus_corrupted_logit_diff_change,8.375,-5.375,-0.2106175422668457,-0.015317639437588779,,,,lr,top-k,"12,13,18"
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,12,resid,3,estimated_clean_minus_corrupted_logit_diff_change,3.875,-2.125,-0.44592899084091187,-0.0743214984734853,,,,lr,top-k,"12,13,18"
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,12,resid,4,estimated_clean_minus_corrupted_logit_diff_change,6.375,-3.125,0.21940878033638,0.02309566108804,,,,lr,top-k,"12,13,18"
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,12,resid,5,estimated_clean_minus_corrupted_logit_diff_change,7.375,-4.875,-0.04049845039844513,-0.0033059959508934798,,,,lr,top-k,"12,13,18"
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,12,resid,6,estimated_clean_minus_corrupted_logit_diff_change,5.125,-2.375,-0.24307240545749664,-0.032409654060999556,,,,lr,top-k,"12,13,18"
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,13,resid,0,estimated_clean_minus_corrupted_logit_diff_change,5.375,-5.0,-0.2793119251728058,-0.026921631341957183,,,,lr,top-k,"12,13,18"
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,13,resid,1,estimated_clean_minus_corrupted_logit_diff_change,9.0,-5.9375,-0.46158885955810547,-0.03090134624656773,,,,lr,top-k,"12,13,18"
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,13,resid,2,estimated_clean_minus_corrupted_logit_diff_change,8.375,-5.375,-0.5020309090614319,-0.03651133884083141,,,,lr,top-k,"12,13,18"
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,13,resid,3,estimated_clean_minus_corrupted_logit_diff_change,3.875,-2.125,-0.43259283900260925,-0.07209880650043488,,,,lr,top-k,"12,13,18"
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,13,resid,4,estimated_clean_minus_corrupted_logit_diff_change,6.375,-3.125,0.1849309355020523,0.019466414263373928,,,,lr,top-k,"12,13,18"
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,13,resid,5,estimated_clean_minus_corrupted_logit_diff_change,7.375,-4.875,-0.4821850657463074,-0.03936204618337203,,,,lr,top-k,"12,13,18"
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,13,resid,6,estimated_clean_minus_corrupted_logit_diff_change,5.125,-2.375,-0.5085152387619019,-0.06780203183492024,,,,lr,top-k,"12,13,18"
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,18,resid,0,estimated_clean_minus_corrupted_logit_diff_change,5.375,-5.0,-1.5131348371505737,-0.14584432165306735,,,,lr,top-k,"12,13,18"
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,18,resid,1,estimated_clean_minus_corrupted_logit_diff_change,9.0,-5.9375,-0.542454719543457,-0.036314960304164486,,,,lr,top-k,"12,13,18"
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,18,resid,2,estimated_clean_minus_corrupted_logit_diff_change,8.375,-5.375,-1.224109411239624,-0.08902613899924539,,,,lr,top-k,"12,13,18"
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,18,resid,3,estimated_clean_minus_corrupted_logit_diff_change,3.875,-2.125,-1.5158147811889648,-0.25263579686482746,,,,lr,top-k,"12,13,18"
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,18,resid,4,estimated_clean_minus_corrupted_logit_diff_change,6.375,-3.125,-0.1118839681148529,-0.011777259801563463,,,,lr,top-k,"12,13,18"
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,18,resid,5,estimated_clean_minus_corrupted_logit_diff_change,7.375,-4.875,-1.15370774269104,-0.09418022389314612,,,,lr,top-k,"12,13,18"
attribution_patching,qwen3-4b,Qwen/Qwen3-4B,18,resid,6,estimated_clean_minus_corrupted_logit_diff_change,5.125,-2.375,-2.003019332885742,-0.26706924438476565,,,,lr,top-k,"12,13,18"
