experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,0,estimated_clean_minus_corrupted_logit_diff_change,0.75,0.125,0.027018161490559578,0.043229058384895325,,,,lr,best,8
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,1,estimated_clean_minus_corrupted_logit_diff_change,0.5,-0.125,-0.21731160581111908,-0.3476985692977905,,,,lr,best,8
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,2,estimated_clean_minus_corrupted_logit_diff_change,1.0,0.0,0.0320606529712677,0.0320606529712677,,,,lr,best,8
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,3,estimated_clean_minus_corrupted_logit_diff_change,1.25,0.5,0.06427574902772903,0.08570099870363872,,,,lr,best,8
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,4,estimated_clean_minus_corrupted_logit_diff_change,0.75,0.625,0.007143260911107063,0.057146087288856506,,,,lr,best,8
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,5,estimated_clean_minus_corrupted_logit_diff_change,1.0,-0.25,0.02261173352599144,0.01808938682079315,,,,lr,best,8
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,6,estimated_clean_minus_corrupted_logit_diff_change,0.625,0.25,-0.008545286022126675,-0.0227874293923378,,,,lr,best,8
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,attn,0,estimated_clean_minus_corrupted_logit_diff_change,0.75,0.125,0.007018439471721649,0.011229503154754638,,,,lr,best,8
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,attn,1,estimated_clean_minus_corrupted_logit_diff_change,0.5,-0.125,-0.027118952944874763,-0.04339032471179962,,,,lr,best,8
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,attn,2,estimated_clean_minus_corrupted_logit_diff_change,1.0,0.0,-0.042058803141117096,-0.042058803141117096,,,,lr,best,8
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,attn,3,estimated_clean_minus_corrupted_logit_diff_change,1.25,0.5,0.026247981935739517,0.03499730924765269,,,,lr,best,8
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,attn,4,estimated_clean_minus_corrupted_logit_diff_change,0.75,0.625,-0.030344171449542046,-0.24275337159633636,,,,lr,best,8
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,attn,5,estimated_clean_minus_corrupted_logit_diff_change,1.0,-0.25,0.013838883489370346,0.011071106791496277,,,,lr,best,8
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,attn,6,estimated_clean_minus_corrupted_logit_diff_change,0.625,0.25,-0.006651685573160648,-0.017737828195095062,,,,lr,best,8
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,mlp,0,estimated_clean_minus_corrupted_logit_diff_change,0.75,0.125,0.02847493253648281,0.0455598920583725,,,,lr,best,8
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,mlp,1,estimated_clean_minus_corrupted_logit_diff_change,0.5,-0.125,-0.07563626021146774,-0.12101801633834838,,,,lr,best,8
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,mlp,2,estimated_clean_minus_corrupted_logit_diff_change,1.0,0.0,0.015132732689380646,0.015132732689380646,,,,lr,best,8
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,mlp,3,estimated_clean_minus_corrupted_logit_diff_change,1.25,0.5,0.004630038980394602,0.006173385307192802,,,,lr,best,8
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,mlp,4,estimated_clean_minus_corrupted_logit_diff_change,0.75,0.625,-0.06260819733142853,-0.5008655786514282,,,,lr,best,8
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,mlp,5,estimated_clean_minus_corrupted_logit_diff_change,1.0,-0.25,0.02844921126961708,0.022759369015693663,,,,lr,best,8
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,mlp,6,estimated_clean_minus_corrupted_logit_diff_change,0.625,0.25,-0.056574881076812744,-0.15086634953816733,,,,lr,best,8
