experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,7,resid,0,estimated_clean_minus_corrupted_logit_diff_change,0.75,0.125,0.03710121288895607,0.05936194062232971,,,,lr,top-k,"7,8,9"
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,7,resid,1,estimated_clean_minus_corrupted_logit_diff_change,0.5,-0.125,-0.254754900932312,-0.4076078414916992,,,,lr,top-k,"7,8,9"
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,7,resid,2,estimated_clean_minus_corrupted_logit_diff_change,1.0,0.0,0.06704289466142654,0.06704289466142654,,,,lr,top-k,"7,8,9"
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,7,resid,3,estimated_clean_minus_corrupted_logit_diff_change,1.25,0.5,0.04512663930654526,0.06016885240872701,,,,lr,top-k,"7,8,9"
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,7,resid,4,estimated_clean_minus_corrupted_logit_diff_change,0.75,0.625,0.009900772012770176,0.07920617610216141,,,,lr,top-k,"7,8,9"
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,7,resid,5,estimated_clean_minus_corrupted_logit_diff_change,1.0,-0.25,0.01905178092420101,0.015241424739360809,,,,lr,top-k,"7,8,9"
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,7,resid,6,estimated_clean_minus_corrupted_logit_diff_change,0.625,0.25,-0.001859990879893303,-0.004959975679715474,,,,lr,top-k,"7,8,9"
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,0,estimated_clean_minus_corrupted_logit_diff_change,0.75,0.125,0.027018161490559578,0.043229058384895325,,,,lr,top-k,"7,8,9"
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,1,estimated_clean_minus_corrupted_logit_diff_change,0.5,-0.125,-0.21731160581111908,-0.3476985692977905,,,,lr,top-k,"7,8,9"
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,2,estimated_clean_minus_corrupted_logit_diff_change,1.0,0.0,0.0320606529712677,0.0320606529712677,,,,lr,top-k,"7,8,9"
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,3,estimated_clean_minus_corrupted_logit_diff_change,1.25,0.5,0.06427574902772903,0.08570099870363872,,,,lr,top-k,"7,8,9"
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,4,estimated_clean_minus_corrupted_logit_diff_change,0.75,0.625,0.007143260911107063,0.057146087288856506,,,,lr,top-k,"7,8,9"
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,5,estimated_clean_minus_corrupted_logit_diff_change,1.0,-0.25,0.02261173352599144,0.01808938682079315,,,,lr,top-k,"7,8,9"
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,6,estimated_clean_minus_corrupted_logit_diff_change,0.625,0.25,-0.008545286022126675,-0.0227874293923378,,,,lr,top-k,"7,8,9"
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,9,resid,0,estimated_clean_minus_corrupted_logit_diff_change,0.75,0.125,0.05721211060881615,0.09153937697410583,,,,lr,top-k,"7,8,9"
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,9,resid,1,estimated_clean_minus_corrupted_logit_diff_change,0.5,-0.125,-0.2501324415206909,-0.40021190643310545,,,,lr,top-k,"7,8,9"
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,9,resid,2,estimated_clean_minus_corrupted_logit_diff_change,1.0,0.0,0.05549587309360504,0.05549587309360504,,,,lr,top-k,"7,8,9"
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,9,resid,3,estimated_clean_minus_corrupted_logit_diff_change,1.25,0.5,0.09651483595371246,0.1286864479382833,,,,lr,top-k,"7,8,9"
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,9,resid,4,estimated_clean_minus_corrupted_logit_diff_change,0.75,0.625,-0.015659239143133163,-0.1252739131450653,,,,lr,top-k,"7,8,9"
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,9,resid,5,estimated_clean_minus_corrupted_logit_diff_change,1.0,-0.25,0.056284092366695404,0.045027273893356326,,,,lr,top-k,"7,8,9"
attribution_patching,llama-3.2-3b,meta-llama/Llama-3.2-3B,9,resid,6,estimated_clean_minus_corrupted_logit_diff_change,0.625,0.25,0.03859412670135498,0.10291767120361328,,,,lr,top-k,"7,8,9"
