experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,resid,0,estimated_clean_minus_corrupted_logit_diff_change,2.0,-6.25,8.146211624145508,0.9874195908055161,,,,lr,best,28
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,resid,1,estimated_clean_minus_corrupted_logit_diff_change,0.75,-8.0,8.770820617675781,1.0023794991629464,,,,lr,best,28
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,resid,2,estimated_clean_minus_corrupted_logit_diff_change,2.5,-5.75,7.673416614532471,0.9301111047918146,,,,lr,best,28
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,resid,3,estimated_clean_minus_corrupted_logit_diff_change,1.5,-5.75,5.795250415802002,0.7993448849382072,,,,lr,best,28
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,resid,4,estimated_clean_minus_corrupted_logit_diff_change,1.5,-5.0,5.7255964279174805,0.8808609889103816,,,,lr,best,28
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,resid,5,estimated_clean_minus_corrupted_logit_diff_change,2.0,-8.25,10.399598121643066,1.0145949386968844,,,,lr,best,28
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,resid,6,estimated_clean_minus_corrupted_logit_diff_change,2.0,-5.25,7.100131034851074,0.9793284186001482,,,,lr,best,28
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,attn,0,estimated_clean_minus_corrupted_logit_diff_change,2.0,-6.25,1.98301362991333,0.24036528847434305,,,,lr,best,28
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,attn,1,estimated_clean_minus_corrupted_logit_diff_change,0.75,-8.0,1.9062100648880005,0.21785257884434292,,,,lr,best,28
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,attn,2,estimated_clean_minus_corrupted_logit_diff_change,2.5,-5.75,1.5831838846206665,0.19190107692371716,,,,lr,best,28
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,attn,3,estimated_clean_minus_corrupted_logit_diff_change,1.5,-5.75,1.3027927875518799,0.17969555690370756,,,,lr,best,28
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,attn,4,estimated_clean_minus_corrupted_logit_diff_change,1.5,-5.0,1.0455342531204224,0.16085142355698806,,,,lr,best,28
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,attn,5,estimated_clean_minus_corrupted_logit_diff_change,2.0,-8.25,2.7013299465179443,0.2635443850261409,,,,lr,best,28
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,attn,6,estimated_clean_minus_corrupted_logit_diff_change,2.0,-5.25,1.775394320487976,0.24488197523972083,,,,lr,best,28
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,mlp,0,estimated_clean_minus_corrupted_logit_diff_change,2.0,-6.25,-0.9864514470100403,-0.11956987236485336,,,,lr,best,28
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,mlp,1,estimated_clean_minus_corrupted_logit_diff_change,0.75,-8.0,-0.8162879943847656,-0.09329005650111608,,,,lr,best,28
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,mlp,2,estimated_clean_minus_corrupted_logit_diff_change,2.5,-5.75,-1.6452807188034058,-0.19942796591556433,,,,lr,best,28
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,mlp,3,estimated_clean_minus_corrupted_logit_diff_change,1.5,-5.75,-0.5802386403083801,-0.08003291590460415,,,,lr,best,28
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,mlp,4,estimated_clean_minus_corrupted_logit_diff_change,1.5,-5.0,-0.9188699722290039,-0.14136461111215445,,,,lr,best,28
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,mlp,5,estimated_clean_minus_corrupted_logit_diff_change,2.0,-8.25,-1.492318868637085,-0.14559208474508145,,,,lr,best,28
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,mlp,6,estimated_clean_minus_corrupted_logit_diff_change,2.0,-5.25,-1.7261326313018799,-0.23808725948991447,,,,lr,best,28
