experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,resid,0,estimated_clean_minus_corrupted_logit_diff_change,2.0,-6.25,8.146211624145508,0.9874195908055161,,,,lr,top-k,"28,29,30"
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,resid,1,estimated_clean_minus_corrupted_logit_diff_change,0.75,-8.0,8.770820617675781,1.0023794991629464,,,,lr,top-k,"28,29,30"
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,resid,2,estimated_clean_minus_corrupted_logit_diff_change,2.5,-5.75,7.673416614532471,0.9301111047918146,,,,lr,top-k,"28,29,30"
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,resid,3,estimated_clean_minus_corrupted_logit_diff_change,1.5,-5.75,5.795250415802002,0.7993448849382072,,,,lr,top-k,"28,29,30"
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,resid,4,estimated_clean_minus_corrupted_logit_diff_change,1.5,-5.0,5.7255964279174805,0.8808609889103816,,,,lr,top-k,"28,29,30"
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,resid,5,estimated_clean_minus_corrupted_logit_diff_change,2.0,-8.25,10.399598121643066,1.0145949386968844,,,,lr,top-k,"28,29,30"
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,28,resid,6,estimated_clean_minus_corrupted_logit_diff_change,2.0,-5.25,7.100131034851074,0.9793284186001482,,,,lr,top-k,"28,29,30"
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,29,resid,0,estimated_clean_minus_corrupted_logit_diff_change,2.0,-6.25,8.008296012878418,0.9707025470155658,,,,lr,top-k,"28,29,30"
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,29,resid,1,estimated_clean_minus_corrupted_logit_diff_change,0.75,-8.0,7.042136192321777,0.8048155648367745,,,,lr,top-k,"28,29,30"
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,29,resid,2,estimated_clean_minus_corrupted_logit_diff_change,2.5,-5.75,7.94318962097168,0.9628108631480824,,,,lr,top-k,"28,29,30"
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,29,resid,3,estimated_clean_minus_corrupted_logit_diff_change,1.5,-5.75,5.5672197341918945,0.7678923771299165,,,,lr,top-k,"28,29,30"
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,29,resid,4,estimated_clean_minus_corrupted_logit_diff_change,1.5,-5.0,6.074627876281738,0.9345581348125751,,,,lr,top-k,"28,29,30"
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,29,resid,5,estimated_clean_minus_corrupted_logit_diff_change,2.0,-8.25,9.112398147583008,0.8890144534227324,,,,lr,top-k,"28,29,30"
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,29,resid,6,estimated_clean_minus_corrupted_logit_diff_change,2.0,-5.25,7.226590156555176,0.996771056076576,,,,lr,top-k,"28,29,30"
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,30,resid,0,estimated_clean_minus_corrupted_logit_diff_change,2.0,-6.25,8.144343376159668,0.9871931365042022,,,,lr,top-k,"28,29,30"
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,30,resid,1,estimated_clean_minus_corrupted_logit_diff_change,0.75,-8.0,7.1790547370910645,0.8204633985246931,,,,lr,top-k,"28,29,30"
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,30,resid,2,estimated_clean_minus_corrupted_logit_diff_change,2.5,-5.75,8.084844589233398,0.979981162331321,,,,lr,top-k,"28,29,30"
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,30,resid,3,estimated_clean_minus_corrupted_logit_diff_change,1.5,-5.75,5.905785083770752,0.8145910460373451,,,,lr,top-k,"28,29,30"
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,30,resid,4,estimated_clean_minus_corrupted_logit_diff_change,1.5,-5.0,6.293069839477539,0.9681645906888522,,,,lr,top-k,"28,29,30"
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,30,resid,5,estimated_clean_minus_corrupted_logit_diff_change,2.0,-8.25,9.361615180969238,0.9133283103384623,,,,lr,top-k,"28,29,30"
attribution_patching,phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,30,resid,6,estimated_clean_minus_corrupted_logit_diff_change,2.0,-5.25,7.393126010894775,1.019741518744107,,,,lr,top-k,"28,29,30"
