experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
steering,gpt2,gpt2,9,resid,0,long_minus_short_logit_diff,-0.6456069946289062,-0.25009918212890625,-0.6869735717773438,,-3.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,0,long_minus_short_logit_diff,-0.6456069946289062,-0.25009918212890625,-0.67333984375,,-2.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,0,long_minus_short_logit_diff,-0.6456069946289062,-0.25009918212890625,-0.6595687866210938,,-1.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,0,long_minus_short_logit_diff,-0.6456069946289062,-0.25009918212890625,-0.6456069946289062,,0.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,0,long_minus_short_logit_diff,-0.6456069946289062,-0.25009918212890625,-0.6314468383789062,,1.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,0,long_minus_short_logit_diff,-0.6456069946289062,-0.25009918212890625,-0.6171493530273438,,2.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,0,long_minus_short_logit_diff,-0.6456069946289062,-0.25009918212890625,-0.6026840209960938,,3.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,1,long_minus_short_logit_diff,-0.4299774169921875,0.042999267578125,-0.47206878662109375,,-3.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,1,long_minus_short_logit_diff,-0.4299774169921875,0.042999267578125,-0.45821380615234375,,-2.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,1,long_minus_short_logit_diff,-0.4299774169921875,0.042999267578125,-0.44416046142578125,,-1.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,1,long_minus_short_logit_diff,-0.4299774169921875,0.042999267578125,-0.4299774169921875,,0.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,1,long_minus_short_logit_diff,-0.4299774169921875,0.042999267578125,-0.41558837890625,,1.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,1,long_minus_short_logit_diff,-0.4299774169921875,0.042999267578125,-0.40100860595703125,,2.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,1,long_minus_short_logit_diff,-0.4299774169921875,0.042999267578125,-0.38625335693359375,,3.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,2,long_minus_short_logit_diff,-0.2717742919921875,-0.35225677490234375,-0.31278228759765625,,-3.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,2,long_minus_short_logit_diff,-0.2717742919921875,-0.35225677490234375,-0.29925537109375,,-2.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,2,long_minus_short_logit_diff,-0.2717742919921875,-0.35225677490234375,-0.2855987548828125,,-1.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,2,long_minus_short_logit_diff,-0.2717742919921875,-0.35225677490234375,-0.2717742919921875,,0.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,2,long_minus_short_logit_diff,-0.2717742919921875,-0.35225677490234375,-0.2578582763671875,,1.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,2,long_minus_short_logit_diff,-0.2717742919921875,-0.35225677490234375,-0.24375152587890625,,2.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,2,long_minus_short_logit_diff,-0.2717742919921875,-0.35225677490234375,-0.22951507568359375,,3.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,3,long_minus_short_logit_diff,-0.8039779663085938,-0.8049468994140625,-0.8436050415039062,,-3.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,3,long_minus_short_logit_diff,-0.8039779663085938,-0.8049468994140625,-0.83062744140625,,-2.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,3,long_minus_short_logit_diff,-0.8039779663085938,-0.8049468994140625,-0.8174285888671875,,-1.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,3,long_minus_short_logit_diff,-0.8039779663085938,-0.8049468994140625,-0.8039779663085938,,0.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,3,long_minus_short_logit_diff,-0.8039779663085938,-0.8049468994140625,-0.7903289794921875,,1.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,3,long_minus_short_logit_diff,-0.8039779663085938,-0.8049468994140625,-0.7764511108398438,,2.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,3,long_minus_short_logit_diff,-0.8039779663085938,-0.8049468994140625,-0.7623138427734375,,3.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,4,long_minus_short_logit_diff,-0.3958587646484375,-0.33736419677734375,-0.43480682373046875,,-3.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,4,long_minus_short_logit_diff,-0.3958587646484375,-0.33736419677734375,-0.4219970703125,,-2.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,4,long_minus_short_logit_diff,-0.3958587646484375,-0.33736419677734375,-0.40898895263671875,,-1.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,4,long_minus_short_logit_diff,-0.3958587646484375,-0.33736419677734375,-0.3958587646484375,,0.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,4,long_minus_short_logit_diff,-0.3958587646484375,-0.33736419677734375,-0.3825225830078125,,1.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,4,long_minus_short_logit_diff,-0.3958587646484375,-0.33736419677734375,-0.36907196044921875,,2.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,4,long_minus_short_logit_diff,-0.3958587646484375,-0.33736419677734375,-0.35546875,,3.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,5,long_minus_short_logit_diff,-0.5470428466796875,-0.4954071044921875,-0.5860977172851562,,-3.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,5,long_minus_short_logit_diff,-0.5470428466796875,-0.4954071044921875,-0.5732650756835938,,-2.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,5,long_minus_short_logit_diff,-0.5470428466796875,-0.4954071044921875,-0.5602645874023438,,-1.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,5,long_minus_short_logit_diff,-0.5470428466796875,-0.4954071044921875,-0.5470428466796875,,0.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,5,long_minus_short_logit_diff,-0.5470428466796875,-0.4954071044921875,-0.5336837768554688,,1.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,5,long_minus_short_logit_diff,-0.5470428466796875,-0.4954071044921875,-0.5201644897460938,,2.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,5,long_minus_short_logit_diff,-0.5470428466796875,-0.4954071044921875,-0.5064315795898438,,3.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,6,long_minus_short_logit_diff,-0.38825225830078125,-0.5938720703125,-0.42493438720703125,,-3.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,6,long_minus_short_logit_diff,-0.38825225830078125,-0.5938720703125,-0.41287994384765625,,-2.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,6,long_minus_short_logit_diff,-0.38825225830078125,-0.5938720703125,-0.400634765625,,-1.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,6,long_minus_short_logit_diff,-0.38825225830078125,-0.5938720703125,-0.38825225830078125,,0.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,6,long_minus_short_logit_diff,-0.38825225830078125,-0.5938720703125,-0.37563323974609375,,1.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,6,long_minus_short_logit_diff,-0.38825225830078125,-0.5938720703125,-0.36287689208984375,,2.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,resid,6,long_minus_short_logit_diff,-0.38825225830078125,-0.5938720703125,-0.34989166259765625,,3.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,attn,0,long_minus_short_logit_diff,-0.6456069946289062,-0.25009918212890625,-0.6758499145507812,,-3.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,attn,0,long_minus_short_logit_diff,-0.6456069946289062,-0.25009918212890625,-0.6659927368164062,,-2.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,attn,0,long_minus_short_logit_diff,-0.6456069946289062,-0.25009918212890625,-0.6558990478515625,,-1.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,attn,0,long_minus_short_logit_diff,-0.6456069946289062,-0.25009918212890625,-0.6456069946289062,,0.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,attn,0,long_minus_short_logit_diff,-0.6456069946289062,-0.25009918212890625,-0.6350784301757812,,1.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,attn,0,long_minus_short_logit_diff,-0.6456069946289062,-0.25009918212890625,-0.6242904663085938,,2.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,attn,0,long_minus_short_logit_diff,-0.6456069946289062,-0.25009918212890625,-0.6132659912109375,,3.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,attn,1,long_minus_short_logit_diff,-0.4299774169921875,0.042999267578125,-0.466949462890625,,-3.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,attn,1,long_minus_short_logit_diff,-0.4299774169921875,0.042999267578125,-0.4548492431640625,,-2.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,attn,1,long_minus_short_logit_diff,-0.4299774169921875,0.042999267578125,-0.44255828857421875,,-1.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,attn,1,long_minus_short_logit_diff,-0.4299774169921875,0.042999267578125,-0.4299774169921875,,0.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,attn,1,long_minus_short_logit_diff,-0.4299774169921875,0.042999267578125,-0.417144775390625,,1.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,attn,1,long_minus_short_logit_diff,-0.4299774169921875,0.042999267578125,-0.40411376953125,,2.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,attn,1,long_minus_short_logit_diff,-0.4299774169921875,0.042999267578125,-0.39080810546875,,3.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,attn,2,long_minus_short_logit_diff,-0.2717742919921875,-0.35225677490234375,-0.298095703125,,-3.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,attn,2,long_minus_short_logit_diff,-0.2717742919921875,-0.35225677490234375,-0.28942108154296875,,-2.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,attn,2,long_minus_short_logit_diff,-0.2717742919921875,-0.35225677490234375,-0.280670166015625,,-1.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,attn,2,long_minus_short_logit_diff,-0.2717742919921875,-0.35225677490234375,-0.2717742919921875,,0.0,corrupted,,attn,best,9
steering,gpt2,gpt2,9,attn,2,long_minus_short_logit_diff,-0.2717742919921875,-0.35225677490234375,-0.2627716064453125,,1.0,corrupted,,attn,best,9
