experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
steering,gpt2,gpt2,4,resid,0,long_minus_short_logit_diff,-0.6456069946289062,-0.25009918212890625,-0.6316452026367188,,-3.0,corrupted,,attn,top-k,"4,7,9"
steering,gpt2,gpt2,4,resid,0,long_minus_short_logit_diff,-0.6456069946289062,-0.25009918212890625,-0.6362075805664062,,-2.0,corrupted,,attn,top-k,"4,7,9"
steering,gpt2,gpt2,4,resid,0,long_minus_short_logit_diff,-0.6456069946289062,-0.25009918212890625,-0.6408767700195312,,-1.0,corrupted,,attn,top-k,"4,7,9"
steering,gpt2,gpt2,4,resid,0,long_minus_short_logit_diff,-0.6456069946289062,-0.25009918212890625,-0.6456069946289062,,0.0,corrupted,,attn,top-k,"4,7,9"
steering,gpt2,gpt2,4,resid,0,long_minus_short_logit_diff,-0.6456069946289062,-0.25009918212890625,-0.6504058837890625,,1.0,corrupted,,attn,top-k,"4,7,9"
steering,gpt2,gpt2,4,resid,0,long_minus_short_logit_diff,-0.6456069946289062,-0.25009918212890625,-0.6552886962890625,,2.0,corrupted,,attn,top-k,"4,7,9"
steering,gpt2,gpt2,4,resid,0,long_minus_short_logit_diff,-0.6456069946289062,-0.25009918212890625,-0.6601715087890625,,3.0,corrupted,,attn,top-k,"4,7,9"
steering,gpt2,gpt2,4,resid,1,long_minus_short_logit_diff,-0.4299774169921875,0.042999267578125,-0.41655731201171875,,-3.0,corrupted,,attn,top-k,"4,7,9"
steering,gpt2,gpt2,4,resid,1,long_minus_short_logit_diff,-0.4299774169921875,0.042999267578125,-0.4212493896484375,,-2.0,corrupted,,attn,top-k,"4,7,9"
steering,gpt2,gpt2,4,resid,1,long_minus_short_logit_diff,-0.4299774169921875,0.042999267578125,-0.4257354736328125,,-1.0,corrupted,,attn,top-k,"4,7,9"
steering,gpt2,gpt2,4,resid,1,long_minus_short_logit_diff,-0.4299774169921875,0.042999267578125,-0.4299774169921875,,0.0,corrupted,,attn,top-k,"4,7,9"
steering,gpt2,gpt2,4,resid,1,long_minus_short_logit_diff,-0.4299774169921875,0.042999267578125,-0.43395233154296875,,1.0,corrupted,,attn,top-k,"4,7,9"
steering,gpt2,gpt2,4,resid,1,long_minus_short_logit_diff,-0.4299774169921875,0.042999267578125,-0.43762969970703125,,2.0,corrupted,,attn,top-k,"4,7,9"
steering,gpt2,gpt2,4,resid,1,long_minus_short_logit_diff,-0.4299774169921875,0.042999267578125,-0.44097137451171875,,3.0,corrupted,,attn,top-k,"4,7,9"
steering,gpt2,gpt2,4,resid,2,long_minus_short_logit_diff,-0.2717742919921875,-0.35225677490234375,-0.2572784423828125,,-3.0,corrupted,,attn,top-k,"4,7,9"
steering,gpt2,gpt2,4,resid,2,long_minus_short_logit_diff,-0.2717742919921875,-0.35225677490234375,-0.262054443359375,,-2.0,corrupted,,attn,top-k,"4,7,9"
steering,gpt2,gpt2,4,resid,2,long_minus_short_logit_diff,-0.2717742919921875,-0.35225677490234375,-0.2668914794921875,,-1.0,corrupted,,attn,top-k,"4,7,9"
steering,gpt2,gpt2,4,resid,2,long_minus_short_logit_diff,-0.2717742919921875,-0.35225677490234375,-0.2717742919921875,,0.0,corrupted,,attn,top-k,"4,7,9"
