experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
steering,qwen3-4b,Qwen/Qwen3-4B,27,resid,0,long_minus_short_logit_diff,-5.375,5.0,-5.5,,-3.0,corrupted,,dmm,best,27
steering,qwen3-4b,Qwen/Qwen3-4B,27,resid,0,long_minus_short_logit_diff,-5.375,5.0,-5.5,,-2.0,corrupted,,dmm,best,27
steering,qwen3-4b,Qwen/Qwen3-4B,27,resid,0,long_minus_short_logit_diff,-5.375,5.0,-5.5,,-1.0,corrupted,,dmm,best,27
steering,qwen3-4b,Qwen/Qwen3-4B,27,resid,0,long_minus_short_logit_diff,-5.375,5.0,-5.375,,0.0,corrupted,,dmm,best,27
steering,qwen3-4b,Qwen/Qwen3-4B,27,resid,0,long_minus_short_logit_diff,-5.375,5.0,-5.5,,1.0,corrupted,,dmm,best,27
steering,qwen3-4b,Qwen/Qwen3-4B,27,resid,0,long_minus_short_logit_diff,-5.375,5.0,-5.5,,2.0,corrupted,,dmm,best,27
steering,qwen3-4b,Qwen/Qwen3-4B,27,resid,0,long_minus_short_logit_diff,-5.375,5.0,-5.375,,3.0,corrupted,,dmm,best,27
steering,qwen3-4b,Qwen/Qwen3-4B,27,resid,1,long_minus_short_logit_diff,-9.0,5.9375,-9.0625,,-3.0,corrupted,,dmm,best,27
steering,qwen3-4b,Qwen/Qwen3-4B,27,resid,1,long_minus_short_logit_diff,-9.0,5.9375,-9.0,,-2.0,corrupted,,dmm,best,27
steering,qwen3-4b,Qwen/Qwen3-4B,27,resid,1,long_minus_short_logit_diff,-9.0,5.9375,-9.0,,-1.0,corrupted,,dmm,best,27
steering,qwen3-4b,Qwen/Qwen3-4B,27,resid,1,long_minus_short_logit_diff,-9.0,5.9375,-9.0,,0.0,corrupted,,dmm,best,27
steering,qwen3-4b,Qwen/Qwen3-4B,27,resid,1,long_minus_short_logit_diff,-9.0,5.9375,-8.9375,,1.0,corrupted,,dmm,best,27
