experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,0,long_minus_short_logit_diff,-5.875,4.75,-5.625,,-3.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,0,long_minus_short_logit_diff,-5.875,4.75,-5.625,,-2.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,0,long_minus_short_logit_diff,-5.875,4.75,-5.625,,-1.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,0,long_minus_short_logit_diff,-5.875,4.75,-5.875,,0.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,0,long_minus_short_logit_diff,-5.875,4.75,-5.75,,1.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,0,long_minus_short_logit_diff,-5.875,4.75,-5.75,,2.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,0,long_minus_short_logit_diff,-5.875,4.75,-5.875,,3.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,1,long_minus_short_logit_diff,-8.875,6.0625,-8.9375,,-3.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,1,long_minus_short_logit_diff,-8.875,6.0625,-9.0,,-2.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,1,long_minus_short_logit_diff,-8.875,6.0625,-8.9375,,-1.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,1,long_minus_short_logit_diff,-8.875,6.0625,-8.875,,0.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,1,long_minus_short_logit_diff,-8.875,6.0625,-9.0,,1.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,1,long_minus_short_logit_diff,-8.875,6.0625,-9.0625,,2.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,1,long_minus_short_logit_diff,-8.875,6.0625,-9.0,,3.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,2,long_minus_short_logit_diff,-8.25,5.375,-8.4375,,-3.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,2,long_minus_short_logit_diff,-8.25,5.375,-8.375,,-2.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,2,long_minus_short_logit_diff,-8.25,5.375,-8.375,,-1.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,2,long_minus_short_logit_diff,-8.25,5.375,-8.25,,0.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,2,long_minus_short_logit_diff,-8.25,5.375,-8.3125,,1.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,2,long_minus_short_logit_diff,-8.25,5.375,-8.25,,2.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,2,long_minus_short_logit_diff,-8.25,5.375,-8.375,,3.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,3,long_minus_short_logit_diff,-4.125,2.0,-4.125,,-3.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,3,long_minus_short_logit_diff,-4.125,2.0,-4.0,,-2.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,3,long_minus_short_logit_diff,-4.125,2.0,-4.0,,-1.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,3,long_minus_short_logit_diff,-4.125,2.0,-4.125,,0.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,3,long_minus_short_logit_diff,-4.125,2.0,-3.875,,1.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,3,long_minus_short_logit_diff,-4.125,2.0,-4.125,,2.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,3,long_minus_short_logit_diff,-4.125,2.0,-4.125,,3.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,4,long_minus_short_logit_diff,-6.375,3.125,-6.625,,-3.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,4,long_minus_short_logit_diff,-6.375,3.125,-6.625,,-2.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,4,long_minus_short_logit_diff,-6.375,3.125,-6.5,,-1.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,4,long_minus_short_logit_diff,-6.375,3.125,-6.375,,0.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,4,long_minus_short_logit_diff,-6.375,3.125,-6.375,,1.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,4,long_minus_short_logit_diff,-6.375,3.125,-6.5,,2.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,4,long_minus_short_logit_diff,-6.375,3.125,-6.5,,3.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,5,long_minus_short_logit_diff,-7.25,4.875,-7.25,,-3.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,5,long_minus_short_logit_diff,-7.25,4.875,-7.25,,-2.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,5,long_minus_short_logit_diff,-7.25,4.875,-7.25,,-1.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,5,long_minus_short_logit_diff,-7.25,4.875,-7.25,,0.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,5,long_minus_short_logit_diff,-7.25,4.875,-7.375,,1.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,5,long_minus_short_logit_diff,-7.25,4.875,-7.375,,2.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,5,long_minus_short_logit_diff,-7.25,4.875,-7.25,,3.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,6,long_minus_short_logit_diff,-5.125,2.75,-5.125,,-3.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,6,long_minus_short_logit_diff,-5.125,2.75,-5.25,,-2.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,6,long_minus_short_logit_diff,-5.125,2.75,-5.25,,-1.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,6,long_minus_short_logit_diff,-5.125,2.75,-5.125,,0.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,6,long_minus_short_logit_diff,-5.125,2.75,-5.25,,1.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,6,long_minus_short_logit_diff,-5.125,2.75,-5.25,,2.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,12,resid,6,long_minus_short_logit_diff,-5.125,2.75,-5.25,,3.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,13,resid,0,long_minus_short_logit_diff,-5.875,4.75,-5.875,,-3.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,13,resid,0,long_minus_short_logit_diff,-5.875,4.75,-5.875,,-2.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,13,resid,0,long_minus_short_logit_diff,-5.875,4.75,-5.875,,-1.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,13,resid,0,long_minus_short_logit_diff,-5.875,4.75,-5.875,,0.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,13,resid,0,long_minus_short_logit_diff,-5.875,4.75,-5.625,,1.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,13,resid,0,long_minus_short_logit_diff,-5.875,4.75,-5.75,,2.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,13,resid,0,long_minus_short_logit_diff,-5.875,4.75,-5.625,,3.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,13,resid,1,long_minus_short_logit_diff,-8.875,6.0625,-9.0625,,-3.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,13,resid,1,long_minus_short_logit_diff,-8.875,6.0625,-9.0,,-2.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,13,resid,1,long_minus_short_logit_diff,-8.875,6.0625,-9.0,,-1.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,13,resid,1,long_minus_short_logit_diff,-8.875,6.0625,-8.875,,0.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,13,resid,1,long_minus_short_logit_diff,-8.875,6.0625,-9.0625,,1.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,13,resid,1,long_minus_short_logit_diff,-8.875,6.0625,-8.9375,,2.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,13,resid,1,long_minus_short_logit_diff,-8.875,6.0625,-8.9375,,3.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,13,resid,2,long_minus_short_logit_diff,-8.25,5.375,-8.375,,-3.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,13,resid,2,long_minus_short_logit_diff,-8.25,5.375,-8.375,,-2.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,13,resid,2,long_minus_short_logit_diff,-8.25,5.375,-8.4375,,-1.0,corrupted,,lr,top-k,"12,13,18"
steering,qwen3-4b,Qwen/Qwen3-4B,13,resid,2,long_minus_short_logit_diff,-8.25,5.375,-8.25,,0.0,corrupted,,lr,top-k,"12,13,18"
