experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
steering,gpt2,gpt2,10,resid,0,long_minus_short_logit_diff,-0.6456069946289062,-0.25009918212890625,-0.687042236328125,,-3.0,corrupted,,lr,best,10
steering,gpt2,gpt2,10,resid,0,long_minus_short_logit_diff,-0.6456069946289062,-0.25009918212890625,-0.673248291015625,,-2.0,corrupted,,lr,best,10
steering,gpt2,gpt2,10,resid,0,long_minus_short_logit_diff,-0.6456069946289062,-0.25009918212890625,-0.6594314575195312,,-1.0,corrupted,,lr,best,10
steering,gpt2,gpt2,10,resid,0,long_minus_short_logit_diff,-0.6456069946289062,-0.25009918212890625,-0.6456069946289062,,0.0,corrupted,,lr,best,10
steering,gpt2,gpt2,10,resid,0,long_minus_short_logit_diff,-0.6456069946289062,-0.25009918212890625,-0.631744384765625,,1.0,corrupted,,lr,best,10
steering,gpt2,gpt2,10,resid,0,long_minus_short_logit_diff,-0.6456069946289062,-0.25009918212890625,-0.6178665161132812,,2.0,corrupted,,lr,best,10
steering,gpt2,gpt2,10,resid,0,long_minus_short_logit_diff,-0.6456069946289062,-0.25009918212890625,-0.6039276123046875,,3.0,corrupted,,lr,best,10
steering,gpt2,gpt2,10,resid,1,long_minus_short_logit_diff,-0.4299774169921875,0.042999267578125,-0.47650146484375,,-3.0,corrupted,,lr,best,10
steering,gpt2,gpt2,10,resid,1,long_minus_short_logit_diff,-0.4299774169921875,0.042999267578125,-0.46099853515625,,-2.0,corrupted,,lr,best,10
steering,gpt2,gpt2,10,resid,1,long_minus_short_logit_diff,-0.4299774169921875,0.042999267578125,-0.44550323486328125,,-1.0,corrupted,,lr,best,10
steering,gpt2,gpt2,10,resid,1,long_minus_short_logit_diff,-0.4299774169921875,0.042999267578125,-0.4299774169921875,,0.0,corrupted,,lr,best,10
steering,gpt2,gpt2,10,resid,1,long_minus_short_logit_diff,-0.4299774169921875,0.042999267578125,-0.414398193359375,,1.0,corrupted,,lr,best,10
steering,gpt2,gpt2,10,resid,1,long_minus_short_logit_diff,-0.4299774169921875,0.042999267578125,-0.39882659912109375,,2.0,corrupted,,lr,best,10
steering,gpt2,gpt2,10,resid,1,long_minus_short_logit_diff,-0.4299774169921875,0.042999267578125,-0.38323974609375,,3.0,corrupted,,lr,best,10
