experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
steering,gpt2,gpt2,9,resid,0,long_minus_short_logit_diff,-0.6456222534179688,-0.2500762939453125,-0.6869659423828125,,-3.0,corrupted,,lr,top-k,"9,10,11"
steering,gpt2,gpt2,9,resid,0,long_minus_short_logit_diff,-0.6456222534179688,-0.2500762939453125,-0.6733779907226562,,-2.0,corrupted,,lr,top-k,"9,10,11"
steering,gpt2,gpt2,9,resid,0,long_minus_short_logit_diff,-0.6456222534179688,-0.2500762939453125,-0.659576416015625,,-1.0,corrupted,,lr,top-k,"9,10,11"
steering,gpt2,gpt2,9,resid,0,long_minus_short_logit_diff,-0.6456222534179688,-0.2500762939453125,-0.6456222534179688,,0.0,corrupted,,lr,top-k,"9,10,11"
steering,gpt2,gpt2,9,resid,0,long_minus_short_logit_diff,-0.6456222534179688,-0.2500762939453125,-0.6314315795898438,,1.0,corrupted,,lr,top-k,"9,10,11"
steering,gpt2,gpt2,9,resid,0,long_minus_short_logit_diff,-0.6456222534179688,-0.2500762939453125,-0.6171188354492188,,2.0,corrupted,,lr,top-k,"9,10,11"
steering,gpt2,gpt2,9,resid,0,long_minus_short_logit_diff,-0.6456222534179688,-0.2500762939453125,-0.602691650390625,,3.0,corrupted,,lr,top-k,"9,10,11"
steering,gpt2,gpt2,9,resid,1,long_minus_short_logit_diff,-0.4299774169921875,0.04296875,-0.47205352783203125,,-3.0,corrupted,,lr,top-k,"9,10,11"
steering,gpt2,gpt2,9,resid,1,long_minus_short_logit_diff,-0.4299774169921875,0.04296875,-0.4582366943359375,,-2.0,corrupted,,lr,top-k,"9,10,11"
steering,gpt2,gpt2,9,resid,1,long_minus_short_logit_diff,-0.4299774169921875,0.04296875,-0.4441986083984375,,-1.0,corrupted,,lr,top-k,"9,10,11"
steering,gpt2,gpt2,9,resid,1,long_minus_short_logit_diff,-0.4299774169921875,0.04296875,-0.4299774169921875,,0.0,corrupted,,lr,top-k,"9,10,11"
steering,gpt2,gpt2,9,resid,1,long_minus_short_logit_diff,-0.4299774169921875,0.04296875,-0.4156036376953125,,1.0,corrupted,,lr,top-k,"9,10,11"
steering,gpt2,gpt2,9,resid,1,long_minus_short_logit_diff,-0.4299774169921875,0.04296875,-0.40102386474609375,,2.0,corrupted,,lr,top-k,"9,10,11"
steering,gpt2,gpt2,9,resid,1,long_minus_short_logit_diff,-0.4299774169921875,0.04296875,-0.3862762451171875,,3.0,corrupted,,lr,top-k,"9,10,11"
steering,gpt2,gpt2,9,resid,2,long_minus_short_logit_diff,-0.27179718017578125,-0.35225677490234375,-0.31279754638671875,,-3.0,corrupted,,lr,top-k,"9,10,11"
steering,gpt2,gpt2,9,resid,2,long_minus_short_logit_diff,-0.27179718017578125,-0.35225677490234375,-0.29925537109375,,-2.0,corrupted,,lr,top-k,"9,10,11"
steering,gpt2,gpt2,9,resid,2,long_minus_short_logit_diff,-0.27179718017578125,-0.35225677490234375,-0.2855987548828125,,-1.0,corrupted,,lr,top-k,"9,10,11"
steering,gpt2,gpt2,9,resid,2,long_minus_short_logit_diff,-0.27179718017578125,-0.35225677490234375,-0.27179718017578125,,0.0,corrupted,,lr,top-k,"9,10,11"
steering,gpt2,gpt2,9,resid,2,long_minus_short_logit_diff,-0.27179718017578125,-0.35225677490234375,-0.25787353515625,,1.0,corrupted,,lr,top-k,"9,10,11"
steering,gpt2,gpt2,9,resid,2,long_minus_short_logit_diff,-0.27179718017578125,-0.35225677490234375,-0.24373626708984375,,2.0,corrupted,,lr,top-k,"9,10,11"
steering,gpt2,gpt2,9,resid,2,long_minus_short_logit_diff,-0.27179718017578125,-0.35225677490234375,-0.2295074462890625,,3.0,corrupted,,lr,top-k,"9,10,11"
