experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
steering,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,0,long_minus_short_logit_diff,-0.75,-0.125,-0.75,,-3.0,corrupted,,lr,best,8
steering,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,0,long_minus_short_logit_diff,-0.75,-0.125,-0.75,,-2.0,corrupted,,lr,best,8
steering,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,0,long_minus_short_logit_diff,-0.75,-0.125,-0.75,,-1.0,corrupted,,lr,best,8
steering,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,0,long_minus_short_logit_diff,-0.75,-0.125,-0.75,,0.0,corrupted,,lr,best,8
steering,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,0,long_minus_short_logit_diff,-0.75,-0.125,-0.625,,1.0,corrupted,,lr,best,8
steering,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,0,long_minus_short_logit_diff,-0.75,-0.125,-0.625,,2.0,corrupted,,lr,best,8
steering,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,0,long_minus_short_logit_diff,-0.75,-0.125,-0.5,,3.0,corrupted,,lr,best,8
steering,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,1,long_minus_short_logit_diff,-0.5,0.125,-0.5,,-3.0,corrupted,,lr,best,8
steering,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,1,long_minus_short_logit_diff,-0.5,0.125,-0.625,,-2.0,corrupted,,lr,best,8
steering,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,1,long_minus_short_logit_diff,-0.5,0.125,-0.625,,-1.0,corrupted,,lr,best,8
steering,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,1,long_minus_short_logit_diff,-0.5,0.125,-0.5,,0.0,corrupted,,lr,best,8
steering,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,1,long_minus_short_logit_diff,-0.5,0.125,-0.625,,1.0,corrupted,,lr,best,8
steering,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,1,long_minus_short_logit_diff,-0.5,0.125,-0.5,,2.0,corrupted,,lr,best,8
