y_later,t_delay,n_total,n_choose_x,n_choose_y,n_unparsed,var_choose_y,n_parsed,prop_choose_x_parsed,prop_choose_y_parsed,unparsed_rate
100,10 years,10,0,1,9,0.0,1,0.0,1.0,0.9
100,2 years,10,1,2,7,0.22222222222222224,3,0.3333333333333333,0.6666666666666666,0.7
100,3 years,10,2,0,8,0.0,2,1.0,0.0,0.8
100,5 years,10,2,1,7,0.22222222222222224,3,0.6666666666666666,0.3333333333333333,0.7
100,month,10,1,1,8,0.25,2,0.5,0.5,0.8
100,tomorrow,10,1,1,8,0.25,2,0.5,0.5,0.8
100,week,10,2,4,4,0.22222222222222224,6,0.3333333333333333,0.6666666666666666,0.4
100,year,10,1,2,7,0.22222222222222224,3,0.3333333333333333,0.6666666666666666,0.7
101,10 years,10,0,1,9,0.0,1,0.0,1.0,0.9
101,2 years,10,1,2,7,0.22222222222222224,3,0.3333333333333333,0.6666666666666666,0.7
101,3 years,10,0,0,10,,0,,,1.0
101,5 years,10,5,0,5,0.0,5,1.0,0.0,0.5
101,month,10,1,1,8,0.25,2,0.5,0.5,0.8
101,tomorrow,10,2,0,8,0.0,2,1.0,0.0,0.8
101,week,10,1,1,8,0.25,2,0.5,0.5,0.8
101,year,10,2,1,7,0.22222222222222224,3,0.6666666666666666,0.3333333333333333,0.7
110,10 years,10,0,1,9,0.0,1,0.0,1.0,0.9
110,2 years,10,1,1,8,0.25,2,0.5,0.5,0.8
110,3 years,10,1,1,8,0.25,2,0.5,0.5,0.8
110,5 years,10,1,1,8,0.25,2,0.5,0.5,0.8
110,month,10,2,0,8,0.0,2,1.0,0.0,0.8
110,tomorrow,10,1,1,8,0.25,2,0.5,0.5,0.8
110,week,10,1,1,8,0.25,2,0.5,0.5,0.8
110,year,10,1,1,8,0.25,2,0.5,0.5,0.8
150,10 years,10,0,1,9,0.0,1,0.0,1.0,0.9
150,2 years,10,2,1,7,0.22222222222222224,3,0.6666666666666666,0.3333333333333333,0.7
150,3 years,10,0,0,10,,0,,,1.0
150,5 years,10,4,0,6,0.0,4,1.0,0.0,0.6
150,month,10,1,1,8,0.25,2,0.5,0.5,0.8
150,tomorrow,10,1,3,6,0.1875,4,0.25,0.75,0.6
150,week,10,1,1,8,0.25,2,0.5,0.5,0.8
150,year,10,2,2,6,0.25,4,0.5,0.5,0.6
200,10 years,10,2,1,7,0.22222222222222224,3,0.6666666666666666,0.3333333333333333,0.7
200,2 years,10,2,1,7,0.22222222222222224,3,0.6666666666666666,0.3333333333333333,0.7
200,3 years,10,0,1,9,0.0,1,0.0,1.0,0.9
200,5 years,10,3,0,7,0.0,3,1.0,0.0,0.7
200,month,10,2,1,7,0.22222222222222224,3,0.6666666666666666,0.3333333333333333,0.7
200,tomorrow,10,4,0,6,0.0,4,1.0,0.0,0.6
200,week,10,1,3,6,0.1875,4,0.25,0.75,0.6
200,year,10,0,1,9,0.0,1,0.0,1.0,0.9
500,10 years,10,1,2,7,0.22222222222222224,3,0.3333333333333333,0.6666666666666666,0.7
500,2 years,10,1,1,8,0.25,2,0.5,0.5,0.8
500,3 years,10,2,1,7,0.22222222222222224,3,0.6666666666666666,0.3333333333333333,0.7
500,5 years,10,0,2,8,0.0,2,0.0,1.0,0.8
500,month,10,0,4,6,0.0,4,0.0,1.0,0.6
500,tomorrow,10,0,0,10,,0,,,1.0
500,week,10,1,1,8,0.25,2,0.5,0.5,0.8
500,year,10,0,3,7,0.0,3,0.0,1.0,0.7
1000,10 years,10,2,1,7,0.22222222222222224,3,0.6666666666666666,0.3333333333333333,0.7
1000,2 years,10,5,1,4,0.13888888888888892,6,0.8333333333333334,0.16666666666666666,0.4
1000,3 years,10,4,0,6,0.0,4,1.0,0.0,0.6
1000,5 years,10,0,0,10,,0,,,1.0
1000,month,10,2,0,8,0.0,2,1.0,0.0,0.8
1000,tomorrow,10,2,0,8,0.0,2,1.0,0.0,0.8
1000,week,10,1,1,8,0.25,2,0.5,0.5,0.8
1000,year,10,4,2,4,0.22222222222222224,6,0.6666666666666666,0.3333333333333333,0.4
10000,10 years,10,2,2,6,0.25,4,0.5,0.5,0.6
10000,2 years,10,3,2,5,0.24000000000000005,5,0.6,0.4,0.5
10000,3 years,10,0,2,8,0.0,2,0.0,1.0,0.8
10000,5 years,10,0,1,9,0.0,1,0.0,1.0,0.9
10000,month,10,0,1,9,0.0,1,0.0,1.0,0.9
10000,tomorrow,10,1,0,9,0.0,1,1.0,0.0,0.9
10000,week,10,1,0,9,0.0,1,1.0,0.0,0.9
10000,year,10,2,1,7,0.22222222222222224,3,0.6666666666666666,0.3333333333333333,0.7
