y_later,t_delay_days,t_delay_days_label,t_delay_original_label,n_total,n_choose_x,n_choose_y,n_unparsed,n_parsed,prop_choose_x_parsed,prop_choose_y_parsed,unparsed_rate
100,1,1 day,tomorrow,1,1,0,0,1,1.0,0.0,0.0
100,5,5 days,week,1,1,0,0,1,1.0,0.0,0.0
100,30,30 days,month,1,1,0,0,1,1.0,0.0,0.0
100,365,365 days,year,1,1,0,0,1,1.0,0.0,0.0
100,730,730 days,2 years,1,1,0,0,1,1.0,0.0,0.0
100,1095,1095 days,3 years,1,1,0,0,1,1.0,0.0,0.0
100,1825,1825 days,5 years,1,1,0,0,1,1.0,0.0,0.0
100,3650,3650 days,10 years,1,1,0,0,1,1.0,0.0,0.0
101,1,1 day,tomorrow,1,0,1,0,1,0.0,1.0,0.0
101,5,5 days,week,1,1,0,0,1,1.0,0.0,0.0
101,30,30 days,month,1,1,0,0,1,1.0,0.0,0.0
101,365,365 days,year,1,1,0,0,1,1.0,0.0,0.0
101,730,730 days,2 years,1,1,0,0,1,1.0,0.0,0.0
101,1095,1095 days,3 years,1,1,0,0,1,1.0,0.0,0.0
101,1825,1825 days,5 years,1,1,0,0,1,1.0,0.0,0.0
101,3650,3650 days,10 years,1,1,0,0,1,1.0,0.0,0.0
110,1,1 day,tomorrow,1,0,1,0,1,0.0,1.0,0.0
110,5,5 days,week,1,0,1,0,1,0.0,1.0,0.0
110,30,30 days,month,1,0,1,0,1,0.0,1.0,0.0
110,365,365 days,year,1,1,0,0,1,1.0,0.0,0.0
110,730,730 days,2 years,1,1,0,0,1,1.0,0.0,0.0
110,1095,1095 days,3 years,1,0,1,0,1,0.0,1.0,0.0
110,1825,1825 days,5 years,1,0,1,0,1,0.0,1.0,0.0
110,3650,3650 days,10 years,1,1,0,0,1,1.0,0.0,0.0
150,1,1 day,tomorrow,1,0,1,0,1,0.0,1.0,0.0
150,5,5 days,week,1,0,1,0,1,0.0,1.0,0.0
150,30,30 days,month,1,0,1,0,1,0.0,1.0,0.0
150,365,365 days,year,1,1,0,0,1,1.0,0.0,0.0
150,730,730 days,2 years,1,1,0,0,1,1.0,0.0,0.0
150,1095,1095 days,3 years,1,0,1,0,1,0.0,1.0,0.0
150,1825,1825 days,5 years,1,0,1,0,1,0.0,1.0,0.0
150,3650,3650 days,10 years,1,0,1,0,1,0.0,1.0,0.0
200,1,1 day,tomorrow,1,0,1,0,1,0.0,1.0,0.0
200,5,5 days,week,1,0,1,0,1,0.0,1.0,0.0
200,30,30 days,month,1,0,1,0,1,0.0,1.0,0.0
200,365,365 days,year,1,0,1,0,1,0.0,1.0,0.0
200,730,730 days,2 years,1,0,1,0,1,0.0,1.0,0.0
200,1095,1095 days,3 years,1,0,1,0,1,0.0,1.0,0.0
200,1825,1825 days,5 years,1,0,1,0,1,0.0,1.0,0.0
200,3650,3650 days,10 years,1,0,1,0,1,0.0,1.0,0.0
500,1,1 day,tomorrow,1,0,1,0,1,0.0,1.0,0.0
500,5,5 days,week,1,0,1,0,1,0.0,1.0,0.0
500,30,30 days,month,1,0,1,0,1,0.0,1.0,0.0
500,365,365 days,year,1,0,1,0,1,0.0,1.0,0.0
500,730,730 days,2 years,1,0,1,0,1,0.0,1.0,0.0
500,1095,1095 days,3 years,1,0,1,0,1,0.0,1.0,0.0
500,1825,1825 days,5 years,1,0,1,0,1,0.0,1.0,0.0
500,3650,3650 days,10 years,1,0,1,0,1,0.0,1.0,0.0
1000,1,1 day,tomorrow,1,0,1,0,1,0.0,1.0,0.0
1000,5,5 days,week,1,0,1,0,1,0.0,1.0,0.0
1000,30,30 days,month,1,0,1,0,1,0.0,1.0,0.0
1000,365,365 days,year,1,0,1,0,1,0.0,1.0,0.0
1000,730,730 days,2 years,1,0,1,0,1,0.0,1.0,0.0
1000,1095,1095 days,3 years,1,0,1,0,1,0.0,1.0,0.0
1000,1825,1825 days,5 years,1,0,1,0,1,0.0,1.0,0.0
1000,3650,3650 days,10 years,1,0,1,0,1,0.0,1.0,0.0
10000,1,1 day,tomorrow,1,0,1,0,1,0.0,1.0,0.0
10000,5,5 days,week,1,0,1,0,1,0.0,1.0,0.0
10000,30,30 days,month,1,0,1,0,1,0.0,1.0,0.0
10000,365,365 days,year,1,0,1,0,1,0.0,1.0,0.0
10000,730,730 days,2 years,1,0,1,0,1,0.0,1.0,0.0
10000,1095,1095 days,3 years,1,0,1,0,1,0.0,1.0,0.0
10000,1825,1825 days,5 years,1,0,1,0,1,0.0,1.0,0.0
10000,3650,3650 days,10 years,1,0,1,0,1,0.0,1.0,0.0
