y_later,t_delay,n_total,n_choose_x,n_choose_y,n_unparsed,n_parsed,prop_choose_x_parsed,prop_choose_y_parsed,unparsed_rate
100,10 years,1,1,0,0,1,1.0,0.0,0.0
100,2 years,1,1,0,0,1,1.0,0.0,0.0
100,3 years,1,1,0,0,1,1.0,0.0,0.0
100,5 years,1,1,0,0,1,1.0,0.0,0.0
100,month,1,1,0,0,1,1.0,0.0,0.0
100,tomorrow,1,1,0,0,1,1.0,0.0,0.0
100,week,1,1,0,0,1,1.0,0.0,0.0
100,year,1,1,0,0,1,1.0,0.0,0.0
101,10 years,1,1,0,0,1,1.0,0.0,0.0
101,2 years,1,1,0,0,1,1.0,0.0,0.0
101,3 years,1,1,0,0,1,1.0,0.0,0.0
101,5 years,1,1,0,0,1,1.0,0.0,0.0
101,month,1,1,0,0,1,1.0,0.0,0.0
101,tomorrow,1,1,0,0,1,1.0,0.0,0.0
101,week,1,0,1,0,1,0.0,1.0,0.0
101,year,1,1,0,0,1,1.0,0.0,0.0
110,10 years,1,1,0,0,1,1.0,0.0,0.0
110,2 years,1,1,0,0,1,1.0,0.0,0.0
110,3 years,1,1,0,0,1,1.0,0.0,0.0
110,5 years,1,1,0,0,1,1.0,0.0,0.0
110,month,1,1,0,0,1,1.0,0.0,0.0
110,tomorrow,1,0,1,0,1,0.0,1.0,0.0
110,week,1,0,1,0,1,0.0,1.0,0.0
110,year,1,1,0,0,1,1.0,0.0,0.0
150,10 years,1,1,0,0,1,1.0,0.0,0.0
150,2 years,1,0,1,0,1,0.0,1.0,0.0
150,3 years,1,1,0,0,1,1.0,0.0,0.0
150,5 years,1,1,0,0,1,1.0,0.0,0.0
150,month,1,0,1,0,1,0.0,1.0,0.0
150,tomorrow,1,0,1,0,1,0.0,1.0,0.0
150,week,1,0,1,0,1,0.0,1.0,0.0
150,year,1,1,0,0,1,1.0,0.0,0.0
200,10 years,1,1,0,0,1,1.0,0.0,0.0
200,2 years,1,0,1,0,1,0.0,1.0,0.0
200,3 years,1,0,1,0,1,0.0,1.0,0.0
200,5 years,1,0,1,0,1,0.0,1.0,0.0
200,month,1,0,1,0,1,0.0,1.0,0.0
200,tomorrow,1,0,1,0,1,0.0,1.0,0.0
200,week,1,0,1,0,1,0.0,1.0,0.0
200,year,1,1,0,0,1,1.0,0.0,0.0
500,10 years,1,0,1,0,1,0.0,1.0,0.0
500,2 years,1,0,1,0,1,0.0,1.0,0.0
500,3 years,1,0,1,0,1,0.0,1.0,0.0
500,5 years,1,0,1,0,1,0.0,1.0,0.0
500,month,1,0,1,0,1,0.0,1.0,0.0
500,tomorrow,1,0,1,0,1,0.0,1.0,0.0
500,week,1,0,1,0,1,0.0,1.0,0.0
500,year,1,0,1,0,1,0.0,1.0,0.0
1000,10 years,1,0,1,0,1,0.0,1.0,0.0
1000,2 years,1,0,1,0,1,0.0,1.0,0.0
1000,3 years,1,0,1,0,1,0.0,1.0,0.0
1000,5 years,1,0,1,0,1,0.0,1.0,0.0
1000,month,1,0,1,0,1,0.0,1.0,0.0
1000,tomorrow,1,0,1,0,1,0.0,1.0,0.0
1000,week,1,0,1,0,1,0.0,1.0,0.0
1000,year,1,0,1,0,1,0.0,1.0,0.0
10000,10 years,1,0,1,0,1,0.0,1.0,0.0
10000,2 years,1,0,1,0,1,0.0,1.0,0.0
10000,3 years,1,0,1,0,1,0.0,1.0,0.0
10000,5 years,1,0,1,0,1,0.0,1.0,0.0
10000,month,1,0,1,0,1,0.0,1.0,0.0
10000,tomorrow,1,0,1,0,1,0.0,1.0,0.0
10000,week,1,0,1,0,1,0.0,1.0,0.0
10000,year,1,0,1,0,1,0.0,1.0,0.0
