y_later,t_delay,n_total,n_choose_x,n_choose_y,n_it_depends,n_unparsed,n_parsed,prop_choose_x_parsed,prop_choose_y_parsed,prop_it_depends_parsed,unparsed_rate
100,10 years,10,10,0,0,0,10,1.0,0.0,0.0,0.0
100,2 years,10,10,0,0,0,10,1.0,0.0,0.0,0.0
100,3 years,10,10,0,0,0,10,1.0,0.0,0.0,0.0
100,5 years,10,10,0,0,0,10,1.0,0.0,0.0,0.0
100,month,10,10,0,0,0,10,1.0,0.0,0.0,0.0
100,tomorrow,10,10,0,0,0,10,1.0,0.0,0.0,0.0
100,week,10,10,0,0,0,10,1.0,0.0,0.0,0.0
100,year,10,10,0,0,0,10,1.0,0.0,0.0,0.0
101,10 years,10,10,0,0,0,10,1.0,0.0,0.0,0.0
101,2 years,10,10,0,0,0,10,1.0,0.0,0.0,0.0
101,3 years,10,10,0,0,0,10,1.0,0.0,0.0,0.0
101,5 years,10,10,0,0,0,10,1.0,0.0,0.0,0.0
101,month,10,10,0,0,0,10,1.0,0.0,0.0,0.0
101,tomorrow,10,10,0,0,0,10,1.0,0.0,0.0,0.0
101,week,10,10,0,0,0,10,1.0,0.0,0.0,0.0
101,year,10,10,0,0,0,10,1.0,0.0,0.0,0.0
110,10 years,10,10,0,0,0,10,1.0,0.0,0.0,0.0
110,2 years,10,10,0,0,0,10,1.0,0.0,0.0,0.0
110,3 years,10,10,0,0,0,10,1.0,0.0,0.0,0.0
110,5 years,10,10,0,0,0,10,1.0,0.0,0.0,0.0
110,month,10,10,0,0,0,10,1.0,0.0,0.0,0.0
110,tomorrow,10,10,0,0,0,10,1.0,0.0,0.0,0.0
110,week,10,10,0,0,0,10,1.0,0.0,0.0,0.0
110,year,10,10,0,0,0,10,1.0,0.0,0.0,0.0
150,10 years,10,10,0,0,0,10,1.0,0.0,0.0,0.0
150,2 years,10,9,0,1,0,10,0.95,0.05,0.1,0.0
150,3 years,10,10,0,0,0,10,1.0,0.0,0.0,0.0
150,5 years,10,10,0,0,0,10,1.0,0.0,0.0,0.0
150,month,10,4,1,5,0,10,0.65,0.35,0.5,0.0
150,tomorrow,10,10,0,0,0,10,1.0,0.0,0.0,0.0
150,week,10,10,0,0,0,10,1.0,0.0,0.0,0.0
150,year,10,10,0,0,0,10,1.0,0.0,0.0,0.0
200,10 years,10,10,0,0,0,10,1.0,0.0,0.0,0.0
200,2 years,10,10,0,0,0,10,1.0,0.0,0.0,0.0
200,3 years,10,10,0,0,0,10,1.0,0.0,0.0,0.0
200,5 years,10,10,0,0,0,10,1.0,0.0,0.0,0.0
200,month,10,6,1,3,0,10,0.75,0.25,0.3,0.0
200,tomorrow,10,6,4,0,0,10,0.6,0.4,0.0,0.0
200,week,10,9,1,0,0,10,0.9,0.1,0.0,0.0
200,year,10,10,0,0,0,10,1.0,0.0,0.0,0.0
500,10 years,10,7,1,2,0,10,0.8,0.2,0.2,0.0
500,2 years,10,3,6,1,0,10,0.35,0.65,0.1,0.0
500,3 years,10,2,8,0,0,10,0.2,0.8,0.0,0.0
500,5 years,10,7,3,0,0,10,0.7,0.3,0.0,0.0
500,month,10,3,4,3,0,10,0.45,0.55,0.3,0.0
500,tomorrow,10,0,10,0,0,10,0.0,1.0,0.0,0.0
500,week,10,4,6,0,0,10,0.4,0.6,0.0,0.0
500,year,10,7,1,2,0,10,0.8,0.2,0.2,0.0
1000,10 years,10,4,6,0,0,10,0.4,0.6,0.0,0.0
1000,2 years,10,0,10,0,0,10,0.0,1.0,0.0,0.0
1000,3 years,10,1,9,0,0,10,0.1,0.9,0.0,0.0
1000,5 years,10,2,8,0,0,10,0.2,0.8,0.0,0.0
1000,month,10,0,10,0,0,10,0.0,1.0,0.0,0.0
1000,tomorrow,10,0,10,0,0,10,0.0,1.0,0.0,0.0
1000,week,10,0,10,0,0,10,0.0,1.0,0.0,0.0
1000,year,10,5,5,0,0,10,0.5,0.5,0.0,0.0
10000,10 years,10,2,8,0,0,10,0.2,0.8,0.0,0.0
10000,2 years,10,0,10,0,0,10,0.0,1.0,0.0,0.0
10000,3 years,10,1,9,0,0,10,0.1,0.9,0.0,0.0
10000,5 years,10,3,7,0,0,10,0.3,0.7,0.0,0.0
10000,month,10,0,10,0,0,10,0.0,1.0,0.0,0.0
10000,tomorrow,10,0,10,0,0,10,0.0,1.0,0.0,0.0
10000,week,10,0,10,0,0,10,0.0,1.0,0.0,0.0
10000,year,10,0,10,0,0,10,0.0,1.0,0.0,0.0
