layer,cv_accuracy_mean,cv_accuracy_std,n_samples,n_features
0,0.6100000000000001,0.03741657386773941,100,768
1,0.5800000000000001,0.05099019513592784,100,768
2,0.61,0.07348469228349533,100,768
3,0.6599999999999999,0.08000000000000002,100,768
4,0.7100000000000001,0.08602325267042626,100,768
5,0.7,0.130384048104053,100,768
6,0.74,0.11575836902790225,100,768
7,0.72,0.12083045973594571,100,768
8,0.78,0.0678232998312527,100,768
9,0.73,0.06782329983125268,100,768
10,0.72,0.039999999999999994,100,768
11,0.7799999999999999,0.10295630140987001,100,768
